,R2(Train),R2(Validation),RMSE(Train),RMSE(Validation),StandardError(Validation),Adjusted R2(Validation),MAE(Train),MAE(Validation),MAPE(Validation),Target,Algorithm
0,0.294250580874852,-0.19338983813789765,4.540225969343692,4.801734331052527,0.27640308768465194,-0.2431144147269766,3.6917580116730897,3.8933204574978273,11.216689700079074,Agreeableness,Random Forest
1,0.47063813714817543,-0.1486666752740572,4.1289739763970825,4.479929646677426,0.20039908105224888,-0.19652778674380955,3.261030502562769,3.6123141813073247,9.77509370185006,Conscientiousness,Random Forest
2,0.6271089213276142,-0.4018895000249464,4.100538264195894,4.3052816627037975,0.4943016971644044,-0.46030156252598586,3.085166191448668,3.214877251925745,11.355581977309951,Extraversion,Random Forest
3,0.31129963715212405,-0.2903023478776445,4.858409852206622,5.12522453385089,0.5227194475320132,-0.34406494570587975,3.5643915387745215,3.790649731090208,11.320676497633608,Openness,Random Forest
4,0.5123940311397902,-0.09818683358803694,6.65596987031625,6.973383400184029,0.18220459057246455,-0.1439446183208719,5.366116390445418,5.580206123812665,27.62858694804866,Neuroticism,Random Forest
0,0.2695534103039904,-0.11440130392244247,4.619459693316401,4.659454895890086,0.25336026020023084,-0.1608346915858776,3.56376732323125,3.5789280163620814,10.83059565619127,Agreeableness,SVM
1,0.43483255068083526,-0.2582327321152934,4.267230042022308,4.60610556591724,0.3029130342233487,-0.31065909595343033,3.2828697928163377,3.6308112075419663,10.13905050833102,Conscientiousness,SVM
2,0.6206907091024354,-0.7943463980600322,4.138114714068178,4.499809320197897,0.6089041319791999,-0.8691108313125335,3.150692208111235,3.4916894840680364,11.805361614870383,Extraversion,SVM
3,0.32470370904116574,-0.09853989227145954,4.815867311476309,4.92045837746367,0.38408969653771763,-0.14431238778277033,3.5192585118434856,3.654730394925164,11.476670385942194,Openness,SVM
4,0.5011456442813434,-0.3335765615403763,6.733292640518345,7.499197511667801,0.33794920629313213,-0.3891422516045586,5.111989240926184,6.201417175179604,24.822065287224028,Neuroticism,SVM
0,0.30191753388169507,-0.19049029150994085,4.515224727437863,4.750963486941079,0.35104992518805445,-0.2400940536561884,3.4886320595419464,3.665178352180572,10.67455178989705,Agreeableness,Linear Regression SGD
1,0.3502865122405422,-0.23688998511593182,4.578751225897337,4.609034517377444,0.2928152877548543,-0.28842706782909566,3.634803547901336,3.643122840860539,10.98278424011961,Conscientiousness,Linear Regression SGD
2,0.5819415183622336,-0.9348088569335083,4.343415015549806,4.756813740236597,0.6238918728207454,-1.0154258926390711,3.355044571303749,3.6428357573419268,12.475616970544845,Extraversion,Linear Regression SGD
3,0.36625217042523955,-0.1961835979071135,4.666181706048285,4.83086417662538,0.4794036363761812,-0.24602458115324333,3.445601520027149,3.6202508684567327,11.020831232279207,Openness,Linear Regression SGD
4,0.46249957992891116,-0.47225745322405177,6.987343110434789,7.537093488754408,0.5379041096826166,-0.533601513775054,5.7997563032609785,6.2550438711190255,29.870191486461334,Neuroticism,Linear Regression SGD
0,0.30217761232179996,-0.196335190737687,4.514373859117541,4.758244659415451,0.3571006103308171,-0.24618249035175732,3.4957548041675075,3.6785665508729513,10.668960690939484,Agreeableness,Linear Regression
1,0.379352308926845,-0.24620670571458167,4.472325561673319,4.674719837203187,0.2709264959531738,-0.2981319851193558,3.559252815310033,3.7485855021021113,10.794320398625032,Conscientiousness,Linear Regression
2,0.5820843752040893,-0.928400869066284,4.342681898409284,4.742189709511632,0.631719958842064,-1.0087509052773793,3.356035259473141,3.633039083346183,12.442540979603137,Extraversion,Linear Regression
3,0.3667861757291616,-0.20826442387991312,4.664276461575719,4.838271323131063,0.483382619197937,-0.2586087748749095,3.4555106595889358,3.6303700362894546,11.026996336928125,Openness,Linear Regression
4,0.4627039715944516,-0.45790836829706916,6.985971184776896,7.516796658433378,0.5144397059266872,-0.5186545503094468,5.79553271536796,6.238308950443296,29.85127553608663,Neuroticism,Linear Regression
0,0.293373149275655,-0.18030310523962068,4.542831780243136,4.726481191702304,0.3275533770307897,-0.2294824012912715,3.535649303140185,3.672991050220537,10.776892104351191,Agreeableness,Lasso Regression
1,0.37935085341783886,-0.24635577321237725,4.47233077801944,4.674889248898154,0.2717153504866321,-0.29828726376289305,3.558992164221583,3.7487804477783575,10.79443358183719,Conscientiousness,Lasso Regression
