,R2(Train),R2(Validation),RMSE(Train),RMSE(Validation),StandardError(Validation),Adjusted R2(Validation),MAE(Train),MAE(Validation),MAPE(Validation),Target,Algorithm
0,0.2867542259443864,-0.2199640512810617,4.563527065259297,4.836292990168337,0.3902812723046365,-0.5249550641013272,3.735059920502895,3.9262357078815704,11.258203610066202,Agreeableness,Random Forest
1,0.42817320014453253,-0.1455527242550159,4.291591877857276,4.4175680101218475,0.2069404732141623,-0.4319409053187697,3.3945693700337394,3.497779494614292,10.18148503410077,Conscientiousness,Random Forest
2,0.6482754207725746,-0.3826171227916622,3.9880578620716167,4.2820435766840905,0.49499334941918705,-0.7282714034895779,2.9384619115672526,3.1685174135221374,11.042543143181147,Extraversion,Random Forest
3,0.31847288458391804,-0.29216791445992046,4.834010518170072,5.156607582889515,0.480071762914776,-0.6152098930749006,3.515250212947007,3.8018594020857197,11.11222166982682,Openness,Random Forest
4,0.49548639577211046,-0.10290195536510287,6.761888675841255,6.9584834581938395,0.1775665806461638,-0.37862744420637884,5.465414590845068,5.603710656935573,27.371180423111213,Neuroticism,Random Forest
0,0.25833209186915,-0.19617548289885187,4.65392231496258,4.818842918163562,0.2742594653031926,-0.49521935362356473,3.6851409360896845,3.740293191719983,11.187196904878203,Agreeableness,SVM
1,0.49234575238969763,-0.3561824776551296,4.0436775517426735,4.7267855084525525,0.39312958736094306,-0.6952280970689122,2.8924751917158753,3.7473578885560492,9.100082840864985,Conscientiousness,SVM
2,0.6840233521462838,-0.994630848561112,3.7732567463159707,4.4286506443460105,1.1215113092385423,-1.49328856070139,2.7252446467654328,3.4048863383205386,10.178259322141809,Extraversion,SVM
3,0.3618102708601757,-0.16277768055159902,4.682381785681987,5.089333597184163,0.3970005454803805,-0.45347210068949884,3.40754053910461,3.790295057299359,11.301856728005085,Openness,SVM
4,0.6079796330777038,-0.3519023330008487,5.970858901696924,7.329975669600999,0.6450158929021997,-0.6898779162510607,4.192890274144216,5.688717288798376,21.16880126471704,Neuroticism,SVM
0,0.39428291827020445,-0.9150357754427221,4.2039090031266,5.901410971456756,0.9551320194201977,-1.3937947193034024,3.3445930717375894,4.706272375847802,10.390936871864461,Agreeableness,Linear Regression SGD
1,0.48958547638000116,-2.2837318815489964,4.052127279689425,5.816329734066622,4.427162341913747,-3.1046648519362456,3.2328321776804296,4.595366825066817,9.81788699590162,Conscientiousness,Linear Regression SGD
2,0.6878748972758212,-1.8244684242920723,3.7487698126822075,5.054076993004909,1.7887559727522557,-2.53058553036509,2.928176496352748,3.8856883559094144,10.54970046512686,Extraversion,Linear Regression SGD
3,0.4739607398629856,-2.075967999396786,4.250584933044721,5.450566137628512,3.6955566392684505,-2.8449599992459826,3.2790157748310995,4.241204280070488,10.71225281000526,Openness,Linear Regression SGD
4,0.5771646173161455,-0.8716845305005627,6.196450612735012,7.973411569474798,1.2586261838929937,-1.3396056631257034,4.979837417853405,6.467198198456683,25.890183264172585,Neuroticism,Linear Regression SGD
0,0.39491551998790303,-0.9169343192793251,4.201675460760089,5.900842349630129,0.9749177652485924,-1.3961678990991562,3.3511332959000795,4.700313309749836,10.354335366669732,Agreeableness,Linear Regression
1,0.49023053033166086,-2.3107051048861873,4.04946060841765,5.8252035230641726,4.474400907619189,-3.1383813811077337,3.231040784764833,4.60887877728376,9.799647217674725,Conscientiousness,Linear Regression
2,0.688020202194965,-1.8100758584659629,3.747933653051669,5.0386044364021485,1.7720849518459607,-2.5125948230824533,2.923789963290042,3.8706340520098848,10.516206693349673,Extraversion,Linear Regression
