,R2(Train),R2(Validation),RMSE(Train),RMSE(Validation),StandardError(Validation),Adjusted R2(Validation),MAE(Train),MAE(Validation),MAPE(Validation),Target,Algorithm
0,0.2955799714753117,-0.21209636176257893,4.535732227375137,4.807949289274108,0.40842333009238935,-0.26260037683601967,3.6982675552495023,3.9007816096688273,11.103855619203221,Agreeableness,Random Forest
1,0.42817320014453253,-0.1455527242550159,4.291591877857276,4.4175680101218475,0.2069404732141623,-0.19328408776564143,3.3945693700337394,3.497779494614292,10.18148503410077,Conscientiousness,Random Forest
2,0.6428219729096805,-0.38584236069531047,4.0182139818833456,4.285157296597398,0.4691431025578383,-0.44358579239094853,2.977635966750062,3.1688641981423156,11.148950003140765,Extraversion,Random Forest
3,0.3023165545303503,-0.30550575725651613,4.888732041577228,5.111765498993072,0.5702581983416904,-0.3599018304755375,3.5647675762864344,3.7794330281262574,11.24897971104739,Openness,Random Forest
4,0.49548639577211046,-0.10290195536510287,6.761888675841255,6.9584834581938395,0.1775665806461638,-0.1488562035053156,5.465414590845068,5.603710656935573,27.42818869088703,Neuroticism,Random Forest
0,0.270941778178138,-0.10427882970521762,4.615360086762278,4.634764748756641,0.25110326667006455,-0.15029044760960186,3.584062581242814,3.5786366279363064,10.958550942329703,Agreeableness,SVM
1,0.4211447382891526,-0.2419682407802422,4.317218579613024,4.584796725876855,0.37211023872661514,-0.29371691747941897,3.401796507437946,3.6039160535102197,10.21420378663969,Conscientiousness,SVM
2,0.6572491585545728,-0.6343405870298393,3.9359389808817755,4.282636544848612,0.5816579334179809,-0.702438111489416,3.058438731477771,3.3625954430841625,11.316572673506235,Extraversion,SVM
3,0.34934371645616585,-0.12274859442313671,4.727479036911078,4.865718301302353,0.4046694329363698,-0.16952978585743406,3.4400992747046537,3.5767876137257932,11.030338446764214,Openness,SVM
4,0.4819289655553871,-0.3415095719447983,6.860014641792341,7.3050187465064695,0.55749784296046,-0.39740580410916504,5.577406016880718,6.12348526055984,29.13212083964555,Neuroticism,SVM
0,0.3090693184614854,-0.1869778131125928,4.491669124551579,4.765506215337378,0.3485098520946259,-0.23643522199228406,3.4933327671223715,3.688259140546457,10.726002607703615,Agreeableness,Linear Regression SGD
1,0.34559667088235324,-0.2168922619252874,4.594535590516939,4.592222958773147,0.2464460078455866,-0.26759610617217433,3.6330247031848772,3.6433323212633626,11.090164889213698,Conscientiousness,Linear Regression SGD
2,0.6229396505363325,-0.8101426281199476,4.124490839956149,4.5206156990546935,0.5965231608160211,-0.8855652376249452,3.2362496220524273,3.5211274628484373,11.85811365558069,Extraversion,Linear Regression SGD
3,0.3377807148099332,-0.36728199268625644,4.769798311227799,4.9497139807605794,0.6687567916995155,-0.42425207571485046,3.549089320626593,3.7348154027746814,11.362136890410154,Openness,Linear Regression SGD
4,0.4822842721609198,-0.378173149095301,6.858857067578538,7.372318420227702,0.5166542305795467,-0.4355970303076051,5.624770748629154,6.008467012037334,29.040397656137344,Neuroticism,Linear Regression SGD
0,0.30967743569044404,-0.1958073361092469,4.489657482940398,4.778643450900282,0.3505806488412533,-0.2456326417804655,3.5026749862654953,3.707684626940913,10.670874678700686,Agreeableness,Linear Regression
1,0.38763214827337805,-0.23767798121352426,4.442092787112468,4.641985306483499,0.24798624301109434,-0.28924789709742105,3.5212734486998256,3.701353885403915,10.660922894922257,Conscientiousness,Linear Regression
2,0.6230634917378404,-0.7972883375969301,4.123845942242699,4.501914350366164,0.5915599917732086,-0.8721753516634689,3.236510559691723,3.5018645314070524,11.830817601731114,Extraversion,Linear Regression
3,0.33856732601712813,-0.3770379335101489,4.767069033768232,4.970462397128987,0.677256432533038,-0.4344145140730715,3.562991377441694,3.761982750800489,11.390292267939738,Openness,Linear Regression
4,0.48296674073782697,-0.3615580292734892,6.854260975748362,7.3729459090172185,0.4713047530072639,-0.4182896138265513,5.599630107425529,5.991803009537937,28.91339666542751,Neuroticism,Linear Regression
0,0.298527746182559,-0.1784017033133123,4.525811921852762,4.73945435758992,0.3150866860974317,-0.2275017742847003,3.533843097508143,3.700493231507616,10.775989799342423,Agreeableness,Lasso Regression
1,0.38763084640906137,-0.23769946968202765,4.4420974875048405,4.642047704846895,0.24821516933140264,-0.2892702809187788,3.52082426585021,3.7011179849427207,10.660465243562662,Conscientiousness,Lasso Regression
2,0.6196978479454629,-0.7637616911157735,4.142102646450456,4.521771587101183,0.5268867991520464,-0.8372517615789308,3.2507297952946836,3.498275640153371,11.982998284750131,Extraversion,Lasso Regression
3,0.31052595675389066,-0.13456195184695532,4.867260550175181,4.974811767389969,0.4639860212310108,-0.1818353665072452,3.5583950332903536,3.6112504984354006,11.60122777729056,Openness,Lasso Regression
4,0.47622546224593415,-0.3042004950449453,6.898689791760378,7.250067596551935,0.4292270829460324,-0.35854218233848467,5.658203374835395,5.905820552772305,29.62365184224158,Neuroticism,Lasso Regression
0,0.3010285073631205,-0.17856894408986737,4.517723581835589,4.742404985114424,0.3110368259401162,-0.22767598342694528,3.5165517250171505,3.6853454970615256,10.72572555298511,Agreeableness,Elastic Net
1,0.38758171639374933,-0.2375308544650149,4.44227528597819,4.641424310083997,0.2502177578488623,-0.2890946400677239,3.5183713365487024,3.698678576356825,10.658939127985194,Conscientiousness,Elastic Net
2,0.6201222085523674,-0.7702542751986163,4.139853433416228,4.505718950506014,0.5518423201841001,-0.8440148699985588,3.246002279572006,3.4866781016753916,11.963119946122184,Extraversion,Elastic Net
3,0.30588848371342686,-0.13857372173694926,4.883558057258537,4.991187681915249,0.4907648270549339,-0.18601429347598897,3.5733256585933724,3.628574974370209,11.674735559452927,Openness,Elastic Net
4,0.4740572580201764,-0.3327714465936921,6.91300987203586,7.2880815978334885,0.4763272758955747,-0.38830359020176264,5.689155972228672,5.978916400757851,30.11217314039062,Neuroticism,Elastic Net
0,0.27686222163063073,-0.11142400566706975,4.595288043552947,4.64106902540477,0.2650007800884092,-0.157733339236531,3.674060482990613,3.701644268033041,11.044689076460205,Agreeableness,MARS
1,0.4115213397665964,-0.1641412266679317,4.3567585570542855,4.525822549217647,0.2037484766683559,-0.21264711111242884,3.468138351153006,3.6029063936487518,9.947644806796276,Conscientiousness,MARS
2,0.611660001093256,-0.8544203523683433,4.187069472140414,4.721684648507652,0.5888529725561289,-0.9316878670503579,3.2740671450588246,3.582736977133002,12.129064496171067,Extraversion,MARS
3,0.40657523698688064,-0.14423133694465937,4.516140517048803,4.611220579366527,0.5022573022015484,-0.19190764265068672,3.2370811631198406,3.3180399716895352,10.273925643961515,Openness,MARS
