"#Features","Adjusted R2(Validation)","Features","MAE(Train)","MAE(Validation)","MAPE(Validation)","R2(Train)","R2(Validation)","RMSE(Train)","RMSE(Validation)","StandardError(Validation)","Target","Algorithm"
32,-0.523044162815772,"['x_location.down_mean' 'difference.touch_buttonCenter_x_mean'
 'touchAccuracy_x_mean' 'touchAccuracy_y_mean' 'y_location.release_median'
 'difference.touch_buttonCenter_x_median' 'touchAccuracy_y_median'
 'difference.touch_buttonCenter_y_skew' 'target_touch_y_location_skew'
 'time_between_touches_skew' 'touchAccuracy_skew' 'x_location.down_kurt'
 'y_location.down_kurt' 'target_touch_x_location_kurt'
 'touchAccuracy_x_kurt' 'touchAccuracy_y_kurt' 'x_location.down_std'
 'target_touch_y_location_std' 'touchAccuracy_y_std'
 'target_touch_y_location_mad' 'x_location.down_max' 'y_location.down_max'
 'swipe_length.x_max' 'swipe_length.y_max'
 'difference.touch_buttonCenter_y_max' 'touchAccuracy_y_max'
 'x_location.down_min' 'y_location.down_min' 'swipe_length_min'
 'target_touch_y_location_min' 'touchAccuracy_x_min' 'touchAccuracy_y_min']",6.0860645444482,6.61424946171895,33.2858004287372,0.413864374482086,0.126788013318957,7.31831060328675,7.94476802184935,0.297600503480075,"Neuroticism","Random Forest"
28,0.0702632589549813,"['x_location.down_mean' 'y_location.release_mean'
 'difference.touch_buttonCenter_x_mean' 'touchAccuracy_y_mean'
 'y_location.release_median' 'difference.touch_buttonCenter_x_median'
 'difference.touch_buttonCenter_y_median' 'touchAccuracy_median'
 'touchAccuracy_x_median' 'touchAccuracy_y_median'
 'target_touch_x_location_skew' 'touchAccuracy_x_skew'
 'y_location.down_skew' 'swipe_length_kurt' 'touchAccuracy_y_kurt'
 'swipe_length_std' 'touchAccuracy_y_std' 'target_touch_y_location_mad'
 'x_location.down_max' 'swipe_length.x_max' 'swipe_length.y_max'
 'x_location.release_max' 'difference.touch_buttonCenter_y_max'
 'touchAccuracy_y_max' 'swipe_length_min' 'target_touch_x_location_min'
 'touchAccuracy_x_min' 'touchAccuracy_y_min']",3.04474083517075,3.36561817957627,11.328963899932,0.639592289809033,0.417364975611788,4.05237505042753,4.4928015934494,0.24783539633534,"Extraversion","Random Forest"
30,-0.760099977644258,"['target_touch_y_location_mean' 'difference.touch_buttonCenter_x_mean'
 'touchAccuracy_mean' 'touchAccuracy_x_mean' 'y_location.release_median'
 'difference.touch_buttonCenter_y_median'
 'difference.touch_buttonCenter_x_skew' 'target_touch_x_location_skew'
 'touchAccuracy_y_skew' 'y_location.down_skew' 'x_location.down_kurt'
 'y_location.down_kurt' 'swipe_length.y_kurt'
 'target_touch_x_location_kurt' 'x_location.release_kurt'
 'touchAccuracy_kurt' 'touchAccuracy_x_kurt' 'touchAccuracy_y_kurt'
 'x_location.down_std' 'swipe_length.x_std' 'touchAccuracy_y_std'
 'target_touch_y_location_mad' 'x_location.down_max' 'y_location.down_max'
 'swipe_length_max' 'swipe_length.x_max' 'x_location.release_max'
 'touchAccuracy_y_max' 'target_touch_x_location_min'
 'target_touch_y_location_min']",3.48091540264075,3.83409269035598,11.2890548617008,0.358441183869757,-0.0560599865865544,4.69704510332875,5.34549791672186,0.652730445773527,"Openness","Random Forest"
26,-0.33998377568521,"['x_location.down_mean' 'button_touch_y_location_mean'
 'y_location.release_mean' 'touchAccuracy_mean'
 'time_between_touches_median' 'touchAccuracy_median'
 'touchAccuracy_y_median' 'target_touch_y_location_skew'
 'time_between_touches_skew' 'touchAccuracy_y_skew' 'x_location.down_kurt'
 'y_location.down_kurt' 'swipe_length.y_kurt' 'touchAccuracy_kurt'
 'touchAccuracy_x_kurt' 'touchAccuracy_y_kurt' 'swipe_length_std'
 'button_touch_y_location_std' 'touchAccuracy_y_std' 'y_location.down_max'
 'swipe_length.x_max' 'touchAccuracy_y_max' 'y_location.down_min'
 'swipe_length_min' 'target_touch_x_location_min' 'touchAccuracy_y_min']",3.29934529501667,3.59204544306507,9.82488455110258,0.382905371828481,0.124543933218996,4.25368016939198,4.68017306451013,0.217505842994694,"Agreeableness","Random Forest"
32,-0.175044645343692,"['x_location.down_mean' 'difference.touch_buttonCenter_x_mean'
 'touchAccuracy_x_mean' 'touchAccuracy_y_mean'
 'time_between_touches_median' 'y_location.release_median'
 'difference.touch_buttonCenter_y_median' 'touchAccuracy_x_median'
 'difference.touch_buttonCenter_x_skew' 'target_touch_x_location_skew'
 'time_between_touches_skew' 'touchAccuracy_x_skew' 'y_location.down_skew'
 'x_location.down_kurt' 'y_location.down_kurt' 'swipe_length.y_kurt'
 'target_touch_x_location_kurt' 'touchAccuracy_kurt'
 'button_touch_y_location_std' 'target_touch_y_location_std'
 'x_location.down_max' 'swipe_length_max' 'swipe_length.x_max'
 'swipe_length.y_max' 'button_touch_y_location_max'
 'x_location.release_max' 'y_location.release_max'
 'difference.touch_buttonCenter_y_max' 'x_location.down_min'
 'target_touch_x_location_min' 'touchAccuracy_x_min' 'touchAccuracy_y_min']",3.35568435463429,3.56110884992948,10.0729037392893,0.45211930947134,0.326307736669616,4.21252265251414,4.4949802198735,0.215499632092417,"Conscientiousness","Random Forest"
23,-0.353303947010712,"['touchAccuracy_mean' 'touchAccuracy_x_mean' 'time_between_touches_median'
 'difference.touch_buttonCenter_x_median' 'touchAccuracy_x_median'
 'touchAccuracy_y_median' 'difference.touch_buttonCenter_y_skew'
 'target_touch_x_location_skew' 'time_between_touches_skew'
 'y_location.down_kurt' 'swipe_length.y_kurt' 'x_location.release_kurt'
 'touchAccuracy_x_kurt' 'swipe_length_std' 'swipe_length.x_std'
 'button_touch_y_location_std' 'touchAccuracy_y_std' 'x_location.down_max'
 'y_location.down_max' 'y_location.release_max' 'x_location.down_min'
 'swipe_length_min' 'touchAccuracy_x_min']",6.55882246652041,7.00983231783173,40.0006226316003,0.280409384588757,0.061709263405906,8.10906737292617,8.48812717988521,0.200576300268441,"Neuroticism","SVM"
14,0.0646058198269055,"['touchAccuracy_mean' 'touchAccuracy_x_mean'
 'difference.touch_buttonCenter_y_median' 'touchAccuracy_median'
 'touchAccuracy_x_median' 'target_touch_y_location_skew'
 'time_between_touches_skew' 'x_location.down_kurt' 'y_location.down_kurt'
 'button_touch_y_location_std' 'y_location.release_max'
 'touchAccuracy_y_max' 'swipe_length_min' 'touchAccuracy_y_min']",3.51313643380229,4.03333417228374,13.6234041553356,0.51300349347596,0.239212733459216,4.71461247931587,5.20194161568042,0.314435399245156,"Extraversion","SVM"
22,-0.331174618194998,"['target_touch_y_location_mean' 'touchAccuracy_mean'
 'time_between_touches_median' 'y_location.release_median'
 'difference.touch_buttonCenter_x_median'
 'difference.touch_buttonCenter_y_median' 'touchAccuracy_x_median'
 'touchAccuracy_y_median' 'difference.touch_buttonCenter_x_skew'
 'target_touch_x_location_skew' 'time_between_touches_skew'
 'y_location.down_kurt' 'swipe_length_kurt' 'button_touch_y_location_std'
 'touchAccuracy_y_std' 'x_location.down_max' 'button_touch_y_location_max'
 'x_location.release_max' 'y_location.down_min' 'swipe_length_min'
 'target_touch_y_location_min' 'touchAccuracy_x_min']",3.11993739079936,3.84570980557817,10.1874994233198,0.427048077565351,0.0593032698088677,4.44167705277028,5.04903561828248,0.426681240834549,"Openness","SVM"
21,-0.348083941200923,"['x_location.down_mean' 'target_touch_y_location_mean'
 'touchAccuracy_y_mean' 'difference.touch_buttonCenter_y_median'
 'touchAccuracy_median' 'difference.touch_buttonCenter_x_skew'
 'difference.touch_buttonCenter_y_skew' 'y_location.down_skew'
 'x_location.down_kurt' 'swipe_length_kurt' 'swipe_length.y_kurt'
 'x_location.release_kurt' 'touchAccuracy_kurt' 'touchAccuracy_x_kurt'
 'swipe_length_std' 'button_touch_y_location_std'
 'target_touch_y_location_mad' 'swipe_length.y_max'
 'button_touch_y_location_max' 'x_location.release_min'
 'touchAccuracy_x_min']",3.37831358508214,3.77812673762599,10.366397675741,0.300852557829452,0.0293795623353358,4.52484606783856,4.87978979435347,0.24749380710158,"Agreeableness","SVM"
27,-0.222283629585208,"['button_touch_y_location_mean' 'difference.touch_buttonCenter_x_mean'
 'touchAccuracy_mean' 'touchAccuracy_x_mean' 'time_between_touches_median'
 'difference.touch_buttonCenter_x_median' 'touchAccuracy_median'
 'touchAccuracy_x_median' 'touchAccuracy_y_median'
 'difference.touch_buttonCenter_x_skew' 'target_touch_y_location_skew'
 'time_between_touches_skew' 'touchAccuracy_x_skew' 'touchAccuracy_y_skew'
 'y_location.down_skew' 'x_location.down_kurt' 'x_location.release_kurt'
 'touchAccuracy_x_kurt' 'target_touch_y_location_std'
 'touchAccuracy_y_std' 'target_touch_y_location_mad'
 'x_location.release_max' 'y_location.release_max'
 'difference.touch_buttonCenter_y_max' 'touchAccuracy_y_max'
 'touchAccuracy_x_min' 'touchAccuracy_y_min']",3.32337065302812,3.87798575540322,10.3449705069468,0.391271279517705,0.217738477065467,4.44115105169203,4.87448885906069,0.105420720032007,"Conscientiousness","SVM"
