"#Features","Adjusted R2(Validation)","Features","MAE(Train)","MAE(Validation)","MAPE(Validation)","R2(Train)","R2(Validation)","RMSE(Train)","RMSE(Validation)","StandardError(Validation)","Target","Algorithm"
15,-0.256615307153059,"[ 0  1  2  3  5  6  7  8 12 16 18 24 25 26 27]",3.48131344840048,3.99927637315735,10.4623317840003,0.330822003021316,-0.0052922457224476,4.42855176469135,5.01617481781989,0.164200244373763,"Agreeableness","Random Forest"
16,0.168184677214352,"[ 0  1  2  6  7  9 10 13 15 16 19 20 26 27 28 30]",3.06748536428346,3.49015938379292,8.81777320086596,0.518622027863228,0.345638612741957,3.94759898300872,4.34683955109467,0.313472711586352,"Conscientiousness","Random Forest"
16,0.355258551456423,"[ 0  1  4  7 10 11 12 13 14 17 18 20 27 28 29 30]",3.03809507525073,3.14477625544464,11.2919112891941,0.638689089934734,0.492803393812386,4.05711050255429,4.24528912652158,0.24470231282313,"Extraversion","Random Forest"
15,-0.161792205834045,"[ 0  1  3  7  8  9 10 12 15 16 17 20 24 25 30]",5.78956282291263,6.93113214283713,33.337064484537,0.484700431163964,0.0705662353327641,6.86198120671687,8.05751905208716,0.394042354035746,"Neuroticism","Random Forest"
14,-0.0665804403026427,"[ 0  1  2  3  4  5  8 12 16 17 18 20 24 26]",2.90127334159303,3.41555601541747,9.30980543635021,0.549348051331719,0.132514575220517,3.93844250477564,4.6802885669778,0.570284482179815,"Openness","Random Forest"
13,-0.129438295481463,"[ 0  5  9 12 14 17 18 24 25 26 27 29 30]",3.37903977327218,3.67777228423762,10.3344396558737,0.326603101118983,0.0663310090686574,4.44064842174786,4.69026758309443,0.308970237439272,"Agreeableness","SVM"
13,0.13464481893108,"[ 0  9 10 13 14 15 19 21 22 24 26 29 30]",3.256573904046,3.65490546371467,10.2211533576875,0.417632322601812,0.284639716983027,4.34324901754277,4.67360486143473,0.186115325830713,"Conscientiousness","SVM"
17,0.288542016788073,"[ 0  1  8 13 14 15 16 19 20 21 22 24 25 26 28 29 30]",2.48321484560332,3.29336483649005,9.65768093196737,0.704613490028817,0.44980582631611,3.66580021884003,4.32941960859264,0.270067736334954,"Extraversion","SVM"
11,-0.0339445303802324,"[ 0  5  8  9 15 20 21 23 24 29 30]",6.14989222920646,6.60565749170573,34.2685455796945,0.40449644474254,0.117700667408868,7.37287588822088,7.74916569370844,0.394861370225879,"Neuroticism","SVM"
12,0.0149563763556961,"[ 0  4  9 14 19 21 24 25 26 27 28 30]",3.07500514375518,3.43356202826791,9.92865390392427,0.446053339782221,0.172563356138785,4.3662080213245,4.65870748618452,0.576890051086568,"Openness","SVM"
9,-0.571071379986385,"[ 1 10 14 15 17 22 24 25 28]",3.98607549455288,4.589819826423,12.3109215432508,0.0567752065228138,-0.382542814388019,5.25843409005414,6.08350990280855,0.339568048168397,"Agreeableness","Linear regression"
6,-0.387649099063018,"[ 1  3  6 11 18 25]",4.40638327593446,4.82980415210774,13.4487571935995,0.0315948389451689,-0.276637171137977,5.60022745472199,6.02555085754384,0.386951014665853,"Conscientiousness","Linear regression"
5,-0.68949842712113,"[ 1  9 11 28 29]",5.49823387472887,6.0505417023104,20.3811376626064,0.0549585772030665,-0.576865198646388,6.55876267877777,7.23422872587509,0.646658857893449,"Extraversion","Linear regression"
