"#Features","Adjusted R2(Validation)","Features","MAE(Train)","MAE(Validation)","MAPE(Validation)","R2(Train)","R2(Validation)","RMSE(Train)","RMSE(Validation)","StandardError(Validation)","Target","Algorithm"
36,-0.636062323587779,"['y_location.down_mean' 'touch.duration_mean' 'swipe_length_mean'
 'y_location.release_mean' 'difference.touch_buttonCenter_x_mean'
 'touchAccuracy_y_mean' 'y_location.release_median'
 'difference.touch_buttonCenter_y_median' 'touchAccuracy_median'
 'touchAccuracy_x_median' 'difference.touch_buttonCenter_x_skew'
 'difference.touch_buttonCenter_y_skew' 'target_touch_x_location_skew'
 'time_between_touches_skew' 'touchAccuracy_y_skew' 'y_location.down_skew'
 'y_location.down_kurt' 'swipe_length.y_kurt' 'x_location.release_kurt'
 'touchAccuracy_kurt' 'touchAccuracy_y_kurt' 'swipe_length_std'
 'touchAccuracy_y_std' 'target_touch_y_location_mad' 'x_location.down_max'
 'y_location.down_max' 'swipe_length.y_max' 'x_location.release_max'
 'y_location.release_max' 'difference.touch_buttonCenter_y_max'
 'touchAccuracy_y_max' 'x_location.down_min' 'y_location.down_min'
 'x_location.release_min' 'y_location.release_min' 'touchAccuracy_y_min']",3.04337481448658,3.47296634091905,9.12926744349257,0.488270074987315,0.149247591734355,3.87207170818393,4.48186678598863,0.294801240476139,"Agreeableness","Random Forest"
28,-0.0739070448195618,"['y_location.down_mean' 'difference.touch_buttonCenter_y_mean'
 'touchAccuracy_mean' 'touchAccuracy_x_mean' 'y_location.release_median'
 'difference.touch_buttonCenter_y_median'
 'difference.touch_buttonCenter_x_skew' 'target_touch_y_location_skew'
 'time_between_touches_skew' 'touch.duration_skew' 'touchAccuracy_skew'
 'touchAccuracy_x_skew' 'touchAccuracy_y_skew' 'y_location.down_kurt'
 'swipe_length_kurt' 'touchAccuracy_x_kurt' 'y_location.down_std'
 'button_touch_y_location_std' 'x_location.release_std'
 'target_touch_y_location_mad' 'x_location.down_max' 'swipe_length_max'
 'swipe_length.x_max' 'swipe_length.y_max' 'button_touch_x_location_max'
 'x_location.release_max' 'y_location.release_max' 'x_location.down_min']",3.29622062808003,3.55806510117625,9.9074430762516,0.452787768518044,0.327018251913075,4.21008757467228,4.55651680740566,0.154788054294831,"Conscientiousness","Random Forest"
24,0.19656159745847,"['y_location.down_mean' 'button_touch_x_location_mean'
 'y_location.release_mean' 'touchAccuracy_y_mean'
 'difference.touch_buttonCenter_y_median'
 'difference.touch_buttonCenter_y_skew' 'time_between_touches_skew'
 'touchAccuracy_y_skew' 'y_location.down_skew' 'y_location.down_kurt'
 'swipe_length_kurt' 'touchAccuracy_y_kurt' 'y_location.down_std'
 'swipe_length.x_std' 'x_location.release_std'
 'target_touch_y_location_mad' 'y_location.down_max' 'swipe_length.y_max'
 'button_touch_x_location_max' 'y_location.release_max'
 'touchAccuracy_y_max' 'y_location.down_min' 'y_location.release_min'
 'touchAccuracy_y_min']",2.96952741804412,3.32146770096352,11.1558702139488,0.658171668349961,0.45366188627176,3.94506934212216,4.42562023321402,0.212710147422035,"Extraversion","Random Forest"
30,-0.249546939811305,"['x_location.down_mean' 'button_touch_x_location_mean'
 'target_touch_y_location_mean' 'y_location.release_mean'
 'difference.touch_buttonCenter_x_mean'
 'difference.touch_buttonCenter_y_mean' 'touchAccuracy_x_mean'
 'touchAccuracy_y_mean' 'difference.touch_buttonCenter_x_median'
 'difference.touch_buttonCenter_y_median' 'touchAccuracy_median'
 'difference.touch_buttonCenter_x_skew'
 'difference.touch_buttonCenter_y_skew' 'target_touch_y_location_skew'
 'touchAccuracy_skew' 'touchAccuracy_kurt' 'touchAccuracy_x_kurt'
 'y_location.down_std' 'touchAccuracy_y_std' 'target_touch_y_location_mad'
 'x_location.down_max' 'y_location.down_max' 'swipe_length.x_max'
 'swipe_length.y_max' 'button_touch_x_location_max'
 'y_location.release_max' 'touchAccuracy_y_max' 'x_location.down_min'
 'y_location.down_min' 'y_location.release_min']",5.14347006128899,5.80234453069643,26.6179035497657,0.564965149963474,0.250271836113217,6.29995390212322,7.07799537273409,0.359067208885502,"Neuroticism","Random Forest"
32,-0.794324484276753,"['y_location.down_mean' 'touch.duration_mean' 'swipe_length_mean'
 'y_location.release_mean' 'difference.touch_buttonCenter_x_mean'
 'difference.touch_buttonCenter_y_mean' 'touchAccuracy_mean'
 'touchAccuracy_x_mean' 'touchAccuracy_y_mean'
 'difference.touch_buttonCenter_y_median' 'touchAccuracy_x_median'
 'target_touch_y_location_skew' 'time_between_touches_skew'
 'touch.duration_skew' 'touchAccuracy_x_skew' 'touchAccuracy_y_skew'
 'y_location.down_skew' 'swipe_length.y_kurt' 'x_location.release_kurt'
 'touchAccuracy_kurt' 'swipe_length_std' 'swipe_length.x_std'
 'button_touch_y_location_std' 'touchAccuracy_y_std'
 'target_touch_y_location_mad' 'swipe_length_max' 'x_location.release_max'
 'y_location.release_max' 'touchAccuracy_y_max' 'x_location.down_min'
 'y_location.release_min' 'touchAccuracy_y_min']",3.43319208342599,3.82448819471818,11.2442920492718,0.384935025617624,-0.0287460376520051,4.60071339636867,5.22552728590929,0.5999556814583,"Openness","Random Forest"
28,-0.390271713675014,"['y_location.down_mean' 'swipe_length_mean' 'time_between_touches_mean'
 'y_location.release_mean' 'difference.touch_buttonCenter_x_mean'
 'touchAccuracy_mean' 'y_location.release_median'
 'difference.touch_buttonCenter_x_skew' 'target_touch_x_location_skew'
 'touchAccuracy_skew' 'touchAccuracy_x_skew' 'y_location.down_skew'
 'y_location.down_kurt' 'swipe_length.y_kurt'
 'target_touch_x_location_kurt' 'touchAccuracy_kurt'
 'touchAccuracy_x_kurt' 'x_location.down_std' 'swipe_length_std'
 'swipe_length.x_std' 'touchAccuracy_y_std' 'target_touch_y_location_mad'
 'swipe_length.x_max' 'button_touch_x_location_max'
 'x_location.release_max' 'y_location.release_max' 'x_location.down_min'
 'touchAccuracy_y_min']",2.86951456180767,3.38300204317598,8.71488859886151,0.416124759931612,0.128763059430325,4.13557916664376,4.53998597855127,0.282395579492532,"Agreeableness","SVM"
19,0.0816641721303719,"['x_location.down_mean' 'touch.duration_mean'
 'button_touch_x_location_mean' 'difference.touch_buttonCenter_y_mean'
 'touchAccuracy_mean' 'touchAccuracy_x_median' 'touchAccuracy_skew'
 'y_location.down_kurt' 'x_location.release_kurt' 'touchAccuracy_y_kurt'
 'y_location.down_std' 'button_touch_y_location_std'
 'x_location.release_std' 'x_location.down_max' 'x_location.release_max'
 'difference.touch_buttonCenter_y_max' 'touchAccuracy_y_max'
 'y_location.down_min' 'touchAccuracy_y_min']",2.95427714341489,3.47704982592322,9.38064096813724,0.458775730860883,0.314309248524011,4.18788833734544,4.55506845643448,0.206047386730064,"Conscientiousness","SVM"
30,0.0998383237893323,"['x_location.down_mean' 'y_location.down_mean' 'swipe_length_mean'
 'button_touch_x_location_mean' 'target_touch_y_location_mean'
 'time_between_touches_mean' 'y_location.release_mean'
 'difference.touch_buttonCenter_x_mean' 'touchAccuracy_mean'
 'touchAccuracy_x_mean' 'difference.touch_buttonCenter_y_median'
 'touchAccuracy_y_median' 'difference.touch_buttonCenter_x_skew'
 'difference.touch_buttonCenter_y_skew' 'touch.duration_skew'
 'touchAccuracy_x_skew' 'y_location.down_kurt' 'swipe_length.y_kurt'
 'x_location.release_kurt' 'touchAccuracy_kurt' 'touchAccuracy_x_kurt'
 'x_location.down_std' 'y_location.down_std' 'swipe_length_std'
 'x_location.release_std' 'touchAccuracy_y_std' 'y_location.down_max'
 'button_touch_x_location_max' 'x_location.release_max'
 'x_location.release_min']",2.61950537744231,3.33967528788225,9.85163731794932,0.726049540037616,0.459902994273599,3.52955832789259,4.24231227930314,0.23394732824868,"Extraversion","SVM"
22,-0.132321111671659,"['x_location.down_mean' 'y_location.down_mean'
 'button_touch_y_location_mean' 'target_touch_y_location_mean'
 'time_between_touches_mean' 'y_location.release_mean'
 'difference.touch_buttonCenter_x_mean' 'touchAccuracy_x_mean'
 'y_location.release_median' 'touchAccuracy_x_median'
 'difference.touch_buttonCenter_x_skew' 'y_location.down_kurt'
 'swipe_length.y_kurt' 'x_location.release_kurt' 'touchAccuracy_kurt'
 'y_location.down_std' 'swipe_length_std' 'x_location.release_std'
 'x_location.down_max' 'swipe_length.x_max' 'button_touch_x_location_max'
 'x_location.release_max']",5.62125998868085,6.03384506384937,31.8206626374563,0.467348439187125,0.199826414418694,6.97416318651718,7.30636161627474,0.39133614977035,"Neuroticism","SVM"
21,-0.197435014484303,"['x_location.down_mean' 'y_location.down_mean' 'swipe_length_mean'
 'button_touch_x_location_mean' 'target_touch_y_location_mean'
 'y_location.release_mean' 'difference.touch_buttonCenter_x_mean'
 'difference.touch_buttonCenter_x_median' 'target_touch_y_location_skew'
 'touchAccuracy_skew' 'target_touch_x_location_kurt'
 'x_location.release_kurt' 'x_location.down_std' 'y_location.down_std'
 'swipe_length_std' 'swipe_length_max' 'x_location.release_max'
 'y_location.release_max' 'touchAccuracy_y_max' 'x_location.down_min'
 'target_touch_x_location_min']",2.81897771952853,3.49338943191462,9.11993337159433,0.506205778114939,0.137846789571302,4.1210810157671,4.75022042922336,0.46660108242484,"Openness","SVM"
