#Features,Adjusted R2(Validation),Features,MAE(Train),MAE(Validation),MAPE(Validation),R2(Train),R2(Validation),RMSE(Train),RMSE(Validation),StandardError(Validation),Target,Algorithm
16,-0.32728938,[ 0  1  2  9 10 12 13 15 16 18 19 21 22 23 24 29],3.708649635,3.941985102,11.20381751,0.285711256,-0.044134312,4.573395854,4.890984123,0.429728939,Agreeableness,Random Forest
11,0.246437552,[ 0  2  6  8  9 11 16 17 18 21 24],3.416062543,3.479252599,10.23392507,0.425199867,0.356960044,4.314351638,4.399330868,0.210852099,Conscientiousness,Random Forest
15,0.372019246,[ 0  1  2  7  8 11 12 13 15 19 20 22 24 26 28],3.042082078,3.12857569,11.30492077,0.637897116,0.497615396,4.061468071,4.235865417,0.238622295,Extraversion,Random Forest
10,-0.046583579,[ 0  3  9 10 12 13 26 27 28 29],5.56415065,6.489096954,31.66682016,0.522093638,0.092960898,6.605625209,7.757923688,0.461769496,Neuroticism,Random Forest
11,-0.06824608,[ 0  1  2  4  7 18 21 24 25 27 29],3.323381184,3.502837863,10.63213385,0.406041449,0.088430012,4.520842771,4.8767701,0.572434121,Openness,Random Forest
11,-0.116540538,[ 0 11 12 16 19 21 22 23 24 26 27],3.527439053,3.701162628,10.81850136,0.283688337,0.047218741,4.580078299,4.738966714,0.340398693,Agreeableness,SVM
11,0.198984869,[ 0 10 16 17 18 19 22 23 24 26 28],3.245112762,3.594444939,10.05215255,0.433983706,0.316467088,4.281435309,4.554574693,0.189310305,Conscientiousness,SVM
11,0.337044278,[ 0 12 14 15 16 19 20 21 22 28 29],3.029709529,3.308170059,11.52993582,0.637328916,0.434277784,4.064022499,4.337756544,0.301049074,Extraversion,SVM
10,0.021262575,[ 0 12 15 21 22 23 25 26 27 29],6.036406562,6.351933281,33.23945815,0.422190816,0.151760898,7.26357834,7.551044884,0.397682825,Neuroticism,SVM
14,-0.132468761,[ 0  5 11 13 16 17 20 21 22 23 24 26 27 28],3.443845206,3.638119991,11.19457902,0.338771766,0.078925408,4.769821036,4.945144099,0.527781984,Openness,SVM
4,-0.307804463,[14 16 23 26],4.059821409,4.449132186,12.40865612,0.083575219,-0.238054892,5.183436615,5.636757427,0.381068086,Agreeableness,Linear regression
5,-0.33677092,[ 9 13 16 24 28],4.543881286,4.880904256,13.73033273,0.077885356,-0.247652858,5.463685182,5.823228225,0.454346187,Conscientiousness,Linear regression
5,0.27856135,[ 0 14 17 28 29],3.310321481,3.600631546,12.01419842,0.613986594,0.32665726,4.189997316,4.612605264,0.448505481,Extraversion,Linear regression
10,-0.085445759,[ 0  9 12 16 17 20 22 23 27 28],6.017968558,6.401136408,28.99976895,0.396638653,0.059280343,7.437663979,7.960250973,0.471486317,Neuroticism,Linear regression
5,-0.066188151,[ 0  4 14 19 23],3.419218169,3.707439534,10.86888963,0.368763579,0.004891059,4.660325148,5.076664568,0.64981754,Openness,Linear regression
13,-0.185432679,[ 0  5  6 12 13 14 17 18 19 21 24 25 29],3.661764215,3.759838666,11.15602456,0.264532069,0.020042319,4.640579027,4.767088742,0.379286935,Agreeableness,Lasso Regression
8,0.243642278,[ 0  3  7 15 17 21 22 25],3.528909738,3.584189584,10.73062709,0.375946587,0.324320435,4.496389962,4.55308574,0.204114461,Conscientiousness,Lasso Regression
7,0.355479641,[ 0  1  2 10 11 16 22],3.278122228,3.446272761,12.12946207,0.615945596,0.415634875,4.178054295,4.488463337,0.256363272,Extraversion,Lasso Regression
13,-0.039158489,[ 0  4  5  7  9 10 11 12 14 15 18 21 23],6.158260091,6.345859882,34.17320272,0.409522222,0.140962316,7.341076,7.577332998,0.422749662,Neuroticism,Lasso Regression
7,-0.059683323,[ 0  2  6  7 17 25 27],3.477775728,3.628402217,11.22382458,0.344985517,0.039220454,4.747853285,5.024171163,0.597535997,Openness,Lasso Regression
10,-0.126756005,[ 0 10 12 14 16 17 19 22 24 28],3.663460323,3.75649276,11.16102182,0.263539505,0.023478129,4.643822096,4.763938332,0.37167539,Agreeableness,Elastic Net
12,0.194009515,[ 0  9 10 12 14 15 16 18 21 22 25 26],3.54577867,3.599129615,10.80806971,0.371846804,0.322967993,4.511066938,4.566275586,0.193120498,Conscientiousness,Elastic Net
9,0.341014525,[ 0  1  2  7  9 12 14 20 28],3.262583375,3.44428991,12.09620356,0.618502692,0.420092782,4.163857715,4.49156329,0.237724148,Extraversion,Elastic Net
9,0.046800697,[ 0  9 10 11 13 15 19 21 29],6.344163791,6.505518859,35.512765,0.378387904,0.161184614,7.534325777,7.721655542,0.311948605,Neuroticism,Elastic Net
13,-0.122129362,[ 0  4  5  7 12 13 16 19 20 23 26 27 29],3.392096393,3.556083811,10.97162355,0.379878475,0.072373061,4.619184218,4.945169304,0.583624101,Openness,Elastic Net
15,0.374958459,"PC1,PC3,PC4,PC5,PC6,PC7,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC24",5.831902298,5.831902298,19.43693961,0.499966767,0.499966767,7.406349576,7.406349576,0.162410561,Neuroticism,MARS
27,0.31957458,"PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC13,PC14,PC15,PC16,PC17,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC27,PC28,PC29,PC30,PC31",4.215111903,4.215111903,7.824109439,0.564527731,0.564527731,5.428539925,5.428539925,0.195015989,Extraversion,MARS
17,0.171479426,"PC1,PC2,PC3,PC4,PC6,PC7,PC8,PC9,PC10,PC12,PC17,PC21,PC22,PC23,PC25,PC28,PC31",4.476617994,4.476617994,8.246496099,0.359277422,0.359277422,5.858255137,5.858255137,0.313705094,Openness,MARS
17,-0.011576837,"PC1,PC2,PC3,PC5,PC6,PC10,PC12,PC13,PC15,PC19,PC20,PC21,PC23,PC25,PC26,PC27,PC29",5.488380958,5.488380958,9.260844422,0.217713913,0.217713913,6.933548303,6.933548303,0.203335093,Agreeableness,MARS
13,0.348865419,"PC1,PC2,PC3,PC9,PC10,PC11,PC12,PC13,PC14,PC23,PC25,PC26,PC28",3.762850847,3.762850847,9.28728024,0.461728746,0.461728746,4.522162285,4.522162285,0.2230202,Conscientiousness,MARS
