"#Features","AIC(Validation)","Adjusted R2(Validation)","BIC(Validation)","Features","MAE(Train)","MAE(Validation)","MAPE(Validation)","R2(Train)","R2(Validation)","RMSE(Train)","RMSE(Validation)","StandardError(Validation)","Target","Algorithm"
59,-4.52317409283681,0.344581947799819,269.843289773821,"['Unnamed: 0' 'button_touch_x_location_kurt' 'button_touch_x_location_mad'
 'button_touch_x_location_min' 'button_touch_y_location_count'
 'button_touch_y_location_kurt' 'button_touch_y_location_min'
 'difference.touch_buttonCenter_x_count'
 'difference.touch_buttonCenter_x_median'
 'difference.touch_buttonCenter_x_min'
 'difference.touch_buttonCenter_y_kurt'
 'difference.touch_buttonCenter_y_median'
 'difference.touch_buttonCenter_y_min' 'swipe_length.x_min'
 'swipe_length.y_count' 'swipe_length.y_max' 'swipe_length.y_mean'
 'swipe_length_kurt' 'target_touch_x_location_kurt'
 'target_touch_x_location_mad' 'target_touch_x_location_skew'
 'target_touch_y_location_count' 'target_touch_y_location_kurt'
 'target_touch_y_location_mad' 'target_touch_y_location_min'
 'time_between_touches_kurt' 'time_between_touches_max'
 'time_between_touches_median' 'touch.duration_count'
 'touch.duration_kurt' 'touch.duration_mad' 'touch.duration_median'
 'touchAccuracy_mean' 'touchAccuracy_min' 'touchAccuracy_x_max'
 'touchAccuracy_x_mean' 'touchAccuracy_x_median' 'touchAccuracy_y_count'
 'touchAccuracy_y_median' 'touchAccuracy_y_min' 'touchAccuracy_y_skew'
 'x_location.down_count' 'x_location.down_kurt' 'x_location.down_mad'
 'x_location.down_max' 'x_location.down_mean' 'x_location.release_count'
 'x_location.release_mad' 'x_location.release_skew'
 'y_location.down_count' 'y_location.down_kurt' 'y_location.down_mad'
 'y_location.down_mean' 'y_location.down_min' 'y_location.down_skew'
 'y_location.release_count' 'y_location.release_kurt'
 'y_location.release_max' 'y_location.release_min']",0.739624833717283,0.860472912204621,24.7955844993873,0.559553487321975,0.394672187540507,0.922986192472101,1.06792404896408,0.0942412086242666,"ATT","Random Forest"
55,-64.2012250970131,0.511466819455846,191.564122575295,"['button_touch_x_location_kurt' 'button_touch_x_location_mad'
 'button_touch_x_location_min' 'button_touch_y_location_count'
 'button_touch_y_location_kurt' 'difference.touch_buttonCenter_x_count'
 'difference.touch_buttonCenter_x_median'
 'difference.touch_buttonCenter_x_min'
 'difference.touch_buttonCenter_y_count'
 'difference.touch_buttonCenter_y_kurt'
 'difference.touch_buttonCenter_y_mad' 'swipe_length.x_kurt'
 'swipe_length.x_mad' 'swipe_length.x_max' 'swipe_length.y_mean'
 'swipe_length.y_min' 'swipe_length_count' 'swipe_length_mad'
 'target_touch_x_location_count' 'target_touch_x_location_mad'
 'target_touch_x_location_skew' 'target_touch_y_location_mad'
 'target_touch_y_location_min' 'time_between_touches_kurt'
 'time_between_touches_max' 'time_between_touches_median'
 'touch.duration_count' 'touch.duration_kurt' 'touch.duration_mad'
 'touch.duration_median' 'touch.duration_min' 'touchAccuracy_mad'
 'touchAccuracy_mean' 'touchAccuracy_skew' 'touchAccuracy_x_mad'
 'touchAccuracy_x_mean' 'touchAccuracy_x_median' 'touchAccuracy_y_count'
 'touchAccuracy_y_mad' 'touchAccuracy_y_max' 'touchAccuracy_y_mean'
 'touchAccuracy_y_skew' 'x_location.down_max' 'x_location.down_mean'
 'x_location.release_count' 'x_location.release_max'
 'x_location.release_min' 'x_location.release_skew' 'y_location.down_max'
 'y_location.down_mean' 'y_location.down_min' 'y_location.down_skew'
 'y_location.release_kurt' 'y_location.release_max'
 'y_location.release_min']",0.710453741011456,0.795982577347073,21.9696737022765,0.649382380824957,0.546271644494613,0.891783477991313,1.00007122950993,0.0764695321673254,"PQ","Random Forest"
49,154.596804050948,0.294871925054178,382.460477431732,"['button_touch_x_location_count' 'button_touch_x_location_kurt'
 'button_touch_x_location_mad' 'button_touch_y_location_min'
 'difference.touch_buttonCenter_x_count'
 'difference.touch_buttonCenter_x_kurt'
 'difference.touch_buttonCenter_x_mad'
 'difference.touch_buttonCenter_x_median'
 'difference.touch_buttonCenter_y_count'
 'difference.touch_buttonCenter_y_mad'
 'difference.touch_buttonCenter_y_min' 'swipe_length.x_count'
 'swipe_length.x_kurt' 'swipe_length.x_mad' 'swipe_length.x_max'
 'swipe_length.x_min' 'swipe_length.y_count' 'swipe_length_kurt'
 'target_touch_x_location_kurt' 'target_touch_x_location_mad'
 'target_touch_x_location_min' 'target_touch_y_location_count'
 'target_touch_y_location_min' 'time_between_touches_min'
 'touch.duration_count' 'touch.duration_mad' 'touch.duration_median'
 'touchAccuracy_count' 'touchAccuracy_kurt' 'touchAccuracy_max'
 'touchAccuracy_median' 'touchAccuracy_skew' 'touchAccuracy_x_max'
 'touchAccuracy_x_mean' 'touchAccuracy_x_median' 'touchAccuracy_y_mad'
 'touchAccuracy_y_mean' 'touchAccuracy_y_min' 'touchAccuracy_y_skew'
 'x_location.down_count' 'x_location.down_mean' 'x_location.release_count'
 'x_location.release_mad' 'x_location.release_max'
 'x_location.release_min' 'y_location.down_kurt' 'y_location.down_mad'
 'y_location.release_count' 'y_location.release_max']",0.844287655694672,0.901485587061583,28.5573567446142,0.444748048416231,0.339627463489858,1.03632093793151,1.11916459545794,0.0956097498753855,"ATT","SVM"
47,6.02625301172894,0.436425613089714,224.589368295338,"['Unnamed: 0' 'button_touch_x_location_count'
 'button_touch_y_location_count' 'button_touch_y_location_kurt'
 'difference.touch_buttonCenter_x_count'
 'difference.touch_buttonCenter_x_kurt'
 'difference.touch_buttonCenter_x_min'
 'difference.touch_buttonCenter_y_kurt'
 'difference.touch_buttonCenter_y_mad'
 'difference.touch_buttonCenter_y_median' 'swipe_length.x_kurt'
 'swipe_length.x_max' 'swipe_length.y_mad' 'swipe_length.y_max'
 'target_touch_x_location_mad' 'target_touch_x_location_min'
 'target_touch_y_location_kurt' 'time_between_touches_count'
 'time_between_touches_mad' 'time_between_touches_min'
 'touch.duration_kurt' 'touch.duration_median' 'touch.duration_min'
 'touchAccuracy_kurt' 'touchAccuracy_mad' 'touchAccuracy_max'
 'touchAccuracy_mean' 'touchAccuracy_min' 'touchAccuracy_x_mad'
 'touchAccuracy_x_median' 'touchAccuracy_y_mad' 'touchAccuracy_y_max'
 'touchAccuracy_y_mean' 'touchAccuracy_y_median' 'touchAccuracy_y_min'
 'touchAccuracy_y_skew' 'x_location.down_count' 'x_location.down_mean'
 'x_location.release_kurt' 'x_location.release_skew'
 'y_location.down_count' 'y_location.down_kurt' 'y_location.down_mad'
 'y_location.down_max' 'y_location.down_min' 'y_location.down_skew'
 'y_location.release_max']",0.747220250436599,0.863823039192274,23.1313296609349,0.608452444352969,0.470736488976739,0.94242098781012,1.08107975996075,0.0834263508811251,"PQ","SVM"
48,213.567562542551,0.230964421751603,436.780956874747,"['button_touch_x_location_mad' 'button_touch_x_location_min'
 'button_touch_y_location_count' 'button_touch_y_location_kurt'
 'difference.touch_buttonCenter_x_count'
 'difference.touch_buttonCenter_x_min'
 'difference.touch_buttonCenter_y_kurt'
 'difference.touch_buttonCenter_y_max'
 'difference.touch_buttonCenter_y_median' 'swipe_length.x_count'
 'swipe_length.x_mad' 'swipe_length.x_mean' 'swipe_length.y_kurt'
 'swipe_length_kurt' 'swipe_length_mad' 'target_touch_x_location_mad'
 'target_touch_x_location_skew' 'target_touch_y_location_kurt'
 'target_touch_y_location_mad' 'time_between_touches_kurt'
 'time_between_touches_mad' 'touch.duration_mad' 'touchAccuracy_mad'
 'touchAccuracy_max' 'touchAccuracy_mean' 'touchAccuracy_median'
 'touchAccuracy_min' 'touchAccuracy_x_mad' 'touchAccuracy_x_min'
 'touchAccuracy_x_skew' 'touchAccuracy_y_count' 'touchAccuracy_y_mad'
 'touchAccuracy_y_max' 'touchAccuracy_y_mean' 'touchAccuracy_y_min'
 'x_location.down_count' 'x_location.down_min' 'x_location.down_skew'
 'x_location.release_count' 'x_location.release_kurt'
 'x_location.release_mad' 'y_location.down_kurt' 'y_location.down_mad'
 'y_location.down_min' 'y_location.down_skew' 'y_location.release_count'
 'y_location.release_kurt' 'y_location.release_min']",0.860573336241781,0.930237058021645,28.6592199211356,0.402705895108425,0.278780105373265,1.07483386438819,1.16659503029888,0.116755116807728,"ATT","Linear regression"
53,270.798647718241,0.236061348209624,517.263437293374,"['Unnamed: 0' 'button_touch_x_location_count'
 'button_touch_x_location_kurt' 'button_touch_y_location_count'
 'button_touch_y_location_kurt' 'difference.touch_buttonCenter_x_kurt'
 'difference.touch_buttonCenter_x_median'
 'difference.touch_buttonCenter_x_min'
 'difference.touch_buttonCenter_y_count'
 'difference.touch_buttonCenter_y_mad'
 'difference.touch_buttonCenter_y_median'
 'difference.touch_buttonCenter_y_min' 'swipe_length.x_kurt'
 'swipe_length.y_count' 'swipe_length.y_kurt' 'swipe_length.y_mad'
 'swipe_length.y_mean' 'swipe_length_count' 'swipe_length_kurt'
 'target_touch_x_location_kurt' 'target_touch_x_location_max'
 'target_touch_y_location_count' 'target_touch_y_location_kurt'
 'target_touch_y_location_mad' 'target_touch_y_location_max'
 'time_between_touches_mad' 'time_between_touches_median'
 'time_between_touches_min' 'touch.duration_count' 'touch.duration_kurt'
 'touch.duration_mad' 'touch.duration_median' 'touchAccuracy_count'
 'touchAccuracy_kurt' 'touchAccuracy_mad' 'touchAccuracy_min'
 'touchAccuracy_skew' 'touchAccuracy_x_max' 'touchAccuracy_x_mean'
 'touchAccuracy_x_median' 'touchAccuracy_y_count' 'touchAccuracy_y_median'
 'touchAccuracy_y_skew' 'x_location.down_count' 'x_location.down_mad'
 'x_location.down_mean' 'x_location.down_min' 'x_location.release_count'
 'x_location.release_mad' 'y_location.down_count' 'y_location.down_kurt'
 'y_location.down_mean' 'y_location.down_min']",0.892461866552254,0.970256721091613,27.7888688232445,0.457736103193414,0.288507913682279,1.10916494764193,1.2661347334139,0.169261291948948,"PQ","Linear regression"
47,604.172625784793,-0.0787043785530603,822.735741068402,"['button_touch_x_location_count' 'button_touch_x_location_mad'
 'button_touch_y_location_min' 'difference.touch_buttonCenter_x_count'
 'difference.touch_buttonCenter_x_mad'
 'difference.touch_buttonCenter_x_min'
 'difference.touch_buttonCenter_y_count'
 'difference.touch_buttonCenter_y_kurt' 'swipe_length.x_kurt'
 'swipe_length.x_mad' 'swipe_length.x_min' 'swipe_length.y_kurt'
 'swipe_length.y_max' 'swipe_length.y_mean' 'swipe_length_count'
 'target_touch_x_location_count' 'target_touch_x_location_kurt'
 'target_touch_x_location_mad' 'target_touch_x_location_skew'
 'target_touch_y_location_max' 'target_touch_y_location_min'
 'time_between_touches_count' 'time_between_touches_kurt'
 'time_between_touches_mad' 'time_between_touches_min'
 'touch.duration_count' 'touchAccuracy_min' 'touchAccuracy_x_count'
 'touchAccuracy_x_mean' 'touchAccuracy_x_median' 'touchAccuracy_x_min'
 'touchAccuracy_y_count' 'touchAccuracy_y_mad' 'touchAccuracy_y_median'
 'touchAccuracy_y_min' 'touchAccuracy_y_skew' 'x_location.down_mad'
 'x_location.down_min' 'x_location.down_skew' 'x_location.release_count'
 'x_location.release_mad' 'x_location.release_max' 'y_location.down_count'
 'y_location.down_kurt' 'y_location.down_mean' 'y_location.down_min'
 'y_location.release_max']",1.14208605546593,1.14384110145082,40.3920656802107,0,-0.0130319617240529,1.39086633770628,1.39276513032444,0.0165890005870488,"ATT","Lasso Regression"
65,763.359938433657,-0.106467738724559,1065.62807659184,"['button_touch_x_location_count' 'button_touch_x_location_kurt'
 'button_touch_x_location_mad' 'button_touch_y_location_kurt'
 'button_touch_y_location_min' 'difference.touch_buttonCenter_x_kurt'
 'difference.touch_buttonCenter_x_mad'
 'difference.touch_buttonCenter_x_median'
 'difference.touch_buttonCenter_x_min'
 'difference.touch_buttonCenter_y_count'
 'difference.touch_buttonCenter_y_kurt'
 'difference.touch_buttonCenter_y_max' 'swipe_length.x_kurt'
 'swipe_length.x_mad' 'swipe_length.y_count' 'swipe_length.y_kurt'
 'swipe_length.y_mean' 'swipe_length.y_min' 'swipe_length_count'
 'swipe_length_kurt' 'swipe_length_mad' 'target_touch_x_location_count'
 'target_touch_x_location_mad' 'target_touch_x_location_max'
 'target_touch_x_location_min' 'target_touch_x_location_skew'
 'time_between_touches_count' 'time_between_touches_kurt'
 'time_between_touches_median' 'time_between_touches_min'
 'touch.duration_count' 'touch.duration_mad' 'touch.duration_min'
 'touchAccuracy_mean' 'touchAccuracy_median' 'touchAccuracy_skew'
 'touchAccuracy_x_count' 'touchAccuracy_x_mad' 'touchAccuracy_x_max'
 'touchAccuracy_x_median' 'touchAccuracy_x_min' 'touchAccuracy_y_mad'
 'touchAccuracy_y_max' 'touchAccuracy_y_mean' 'touchAccuracy_y_median'
 'touchAccuracy_y_min' 'x_location.down_count' 'x_location.down_max'
 'x_location.down_mean' 'x_location.down_min' 'x_location.down_skew'
 'x_location.release_kurt' 'x_location.release_mad'
 'x_location.release_max' 'x_location.release_min'
 'x_location.release_skew' 'y_location.down_count' 'y_location.down_kurt'
 'y_location.down_max' 'y_location.down_mean' 'y_location.down_skew'
 'y_location.release_count' 'y_location.release_kurt'
 'y_location.release_max' 'y_location.release_min']",1.2906462463506,1.29263911864087,41.4171809940149,0.00066581277510811,-0.0133065949200301,1.50570438060163,1.50800723249659,0.0133190493241331,"PQ","Lasso Regression"
50,503.18513835714,0.0549504283035919,735.699090786511,"['Unnamed: 0' 'button_touch_x_location_mad' 'button_touch_y_location_kurt'
 'button_touch_y_location_min' 'difference.touch_buttonCenter_x_median'
 'difference.touch_buttonCenter_x_min'
 'difference.touch_buttonCenter_y_mad'
 'difference.touch_buttonCenter_y_min' 'swipe_length.x_kurt'
 'swipe_length.x_mad' 'swipe_length.x_max' 'swipe_length.x_min'
 'swipe_length.y_count' 'swipe_length.y_max' 'swipe_length.y_mean'
 'target_touch_x_location_count' 'target_touch_x_location_mad'
 'target_touch_x_location_min' 'target_touch_x_location_skew'
 'target_touch_y_location_count' 'target_touch_y_location_kurt'
 'time_between_touches_kurt' 'time_between_touches_max'
 'time_between_touches_median' 'time_between_touches_min'
 'touch.duration_mad' 'touch.duration_median' 'touch.duration_min'
 'touchAccuracy_count' 'touchAccuracy_kurt' 'touchAccuracy_median'
 'touchAccuracy_skew' 'touchAccuracy_x_mad' 'touchAccuracy_x_max'
 'touchAccuracy_y_count' 'touchAccuracy_y_median' 'touchAccuracy_y_skew'
 'x_location.down_kurt' 'x_location.down_mean' 'x_location.down_min'
 'x_location.release_kurt' 'x_location.release_mad'
 'x_location.release_max' 'x_location.release_min'
 'x_location.release_skew' 'y_location.down_count' 'y_location.down_kurt'
 'y_location.release_count' 'y_location.release_kurt'
 'y_location.release_min']",1.0630693589614,1.06556077151805,37.4822734978236,0.129248219208934,0.116158302118126,1.29779511834975,1.30085247827365,0.0181156382859121,"ATT","Elastic Net"
53,525.250482581584,0.173365757339499,771.715272156718,"['Unnamed: 0' 'button_touch_x_location_kurt' 'button_touch_x_location_mad'
 'button_touch_y_location_kurt' 'difference.touch_buttonCenter_x_count'
 'difference.touch_buttonCenter_x_kurt'
 'difference.touch_buttonCenter_x_mad'
 'difference.touch_buttonCenter_x_min'
 'difference.touch_buttonCenter_y_median' 'swipe_length.x_kurt'
 'swipe_length.x_mad' 'swipe_length.x_max' 'swipe_length.x_min'
 'swipe_length.y_count' 'swipe_length.y_kurt' 'swipe_length.y_max'
 'swipe_length.y_mean' 'swipe_length_count' 'swipe_length_kurt'
 'target_touch_x_location_count' 'target_touch_x_location_kurt'
 'target_touch_x_location_mad' 'target_touch_y_location_kurt'
 'target_touch_y_location_max' 'time_between_touches_count'
 'time_between_touches_kurt' 'time_between_touches_max'
 'time_between_touches_min' 'touch.duration_count' 'touch.duration_min'
 'touchAccuracy_count' 'touchAccuracy_max' 'touchAccuracy_skew'
 'touchAccuracy_x_count' 'touchAccuracy_x_mad' 'touchAccuracy_x_median'
 'touchAccuracy_x_min' 'touchAccuracy_x_skew' 'touchAccuracy_y_median'
 'touchAccuracy_y_min' 'touchAccuracy_y_skew' 'x_location.down_mad'
 'x_location.down_min' 'x_location.down_skew' 'x_location.release_count'
 'y_location.down_count' 'y_location.down_kurt' 'y_location.down_mean'
 'y_location.down_skew' 'y_location.release_count'
 'y_location.release_kurt' 'y_location.release_max'
 'y_location.release_min']",1.10504645972446,1.10772605473935,35.535651057465,0.24200359055873,0.23011655379158,1.3112988598999,1.31545180327927,0.0266894991119853,"PQ","Elastic Net"
