"#Features","AIC(Validation)","Adjusted R2(Validation)","BIC(Validation)","Features","MAE(Train)","MAE(Validation)","MAPE(Validation)","R2(Train)","R2(Validation)","RMSE(Train)","RMSE(Validation)","StandardError(Validation)","Target","Algorithm"
25,99.6511709829136,0.319823973981217,215.908147197599,"[ 0  1  2  3  4  5  6  9 10 13 15 17 18 20 23 29 30 31 33 35 37 39 45 46
 48]",0.834397702068924,0.904166049977829,27.7495042235886,0.453710963938974,0.34185039969426,1.02791303788322,1.11595943564739,0.073841742340829,"ATT","Random Forest"
29,-25.6436151156297,0.445110497227748,109.214477293406,"[ 0  1  2  3  6  7  8 10 13 14 15 17 18 19 20 21 24 26 27 28 31 32 33 38
 39 40 42 44 48]",0.751944362628867,0.866014201159822,23.279506670219,0.602340281637749,0.465954792021006,0.949748269240468,1.08752313770527,0.0962772718269086,"PQ","Random Forest"
22,54.6010888275206,0.320996090589583,156.907227896444,"[ 0  1  3  6  7  9 11 13 14 16 18 24 26 28 30 31 34 38 39 41 43 47]",0.818882732452139,0.897778081426326,27.4889766647573,0.47748308666895,0.340345942930294,1.00535254656108,1.11893778587355,0.093475359175871,"ATT","SVM"
19,-45.8818661304533,0.450026000713496,42.4734357927077,"[ 0  1 11 13 15 25 26 28 29 30 31 32 33 36 39 40 42 43 47]",0.768857944512525,0.87583199077556,23.8358919023947,0.606553949987651,0.463561630229614,0.944705245570187,1.09043323851556,0.074712140870424,"PQ","SVM"
23,207.673745826819,0.297904439020576,314.63016394433,"[ 0  1  2  6  9 10 11 12 13 15 17 21 23 24 26 30 31 32 34 36 37 46 47]",0.888846985964734,0.915371056668257,30.1143704177588,0.369079496021731,0.318821793816595,1.10470672652902,1.13623652296308,0.0943337897928132,"ATT","Linear regression"
28,191.7809647986,0.37950725522419,321.988778159048,"[ 0  1  2  3  5  7  8 12 15 16 18 19 21 25 26 27 28 30 31 34 37 38 39 40
 41 42 44 48]",0.876539112763941,0.917994276867382,27.6044151297912,0.47429635030421,0.402012173428494,1.09201151591192,1.14865297946913,0.0947954602989972,"PQ","Linear regression"
17,404.726664271294,0.129723399585234,483.78140809728,"[ 0  1 16 17 19 21 24 26 29 30 31 32 35 38 39 43 46]",1.03856404863146,1.04380416233275,36.2488008555975,0.165241501259758,0.148887521615093,1.27073428241561,1.27676919411621,0.039013826094856,"ATT","Lasso Regression"
19,407.306759612382,0.257344418052589,495.662061535543,"[ 0  1  2  4  6  9 10 14 15 19 20 23 24 29 31 38 41 45 47]",1.05868578338189,1.06322672368492,33.6759397781178,0.289518860411666,0.275622210872538,1.2695354477346,1.27537596137786,0.0288392797168088,"PQ","Lasso Regression"
25,358.257307351089,0.186005497020051,474.514283565774,"[ 0  1  2  5  6  8 11 15 17 18 22 23 26 28 30 31 37 38 39 40 42 43 46 47
 48]",0.995869035097298,1.00147230737511,34.3426506034885,0.230180001998902,0.212365422634686,1.22028769975287,1.22741190420692,0.0531731338092027,"ATT","Elastic Net"
20,337.743531938888,0.318136429344351,430.749112910636,"[ 0  1  2  3  5  6  7 14 15 18 21 23 26 29 30 31 40 43 47 48]",1.00219685907222,1.00875869629862,31.7432698569397,0.352520548495421,0.335801288687761,1.21194228353525,1.21977218113417,0.0353909559097138,"PQ","Elastic Net"
36,NA,0.474585179517756,NA,"PC1,PC2,PC3,PC5,PC6,PC9,PC10,PC11,PC12,PC14,PC15,PC16,PC17,PC18,PC19,PC21,PC22,PC23,PC24,PC26,PC27,PC28,PC31,PC32,PC34,PC36,PC37,PC38,PC40,PC42,PC43,PC44,PC47,PC48,PC49,PC51",0.84319941836366,0.84319941836366,20.6138615789943,0.499086388763042,0.499086388763042,1.07153029567441,1.07153029567441,0.0792343586555636,"PQ","MARS"
40,NA,0.334155309861885,NA,"PC1,PC2,PC3,PC5,PC6,PC9,PC10,PC11,PC12,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC33,PC34,PC35,PC36,PC37,PC39,PC40,PC41,PC43,PC44,PC45,PC46,PC47",0.900002657150692,0.900002657150692,23.9779445392067,0.368655034739508,0.368655034739508,1.10923111398868,1.10923111398868,0.0803795915609103,"ATT","MARS"
