"#Features","AIC(Validation)","Adjusted R2(Validation)","BIC(Validation)","Features","MAE(Train)","MAE(Validation)","MAPE(Validation)","R2(Train)","R2(Validation)","RMSE(Train)","RMSE(Validation)","StandardError(Validation)","Target","Algorithm"
36,20.2440715335963,0.361376360977546,187.654117282744,"['button_touch_x_location_count' 'button_touch_x_location_mad'
 'button_touch_x_location_mean' 'difference.touch_buttonCenter_x_mad'
 'difference.touch_buttonCenter_x_median'
 'difference.touch_buttonCenter_y_kurt' 'swipe_length.x_mad'
 'swipe_length.x_mean' 'swipe_length.y_mad' 'swipe_length.y_max'
 'swipe_length.y_mean' 'swipe_length_kurt' 'target_touch_x_location_skew'
 'target_touch_y_location_skew' 'time_between_touches_mad'
 'time_between_touches_max' 'touch.duration_kurt' 'touchAccuracy_max'
 'touchAccuracy_x_max' 'touchAccuracy_x_mean' 'touchAccuracy_x_min'
 'touchAccuracy_y_max' 'touchAccuracy_y_mean' 'touchAccuracy_y_median'
 'touchAccuracy_y_skew' 'x_location.down_kurt' 'x_location.down_max'
 'x_location.down_mean' 'x_location.release_mad' 'x_location.release_max'
 'x_location.release_skew' 'y_location.down_kurt' 'y_location.down_mad'
 'y_location.release_max' 'y_location.release_min'
 'y_location.release_skew']",0.781579553235407,0.869075810188776,26.3735344328896,0.517737961292156,0.39115673792678,0.965804367738054,1.07253507065389,0.0790210520097413,"ATT","Random Forest"
35,-90.2064152940845,0.520100411672764,72.5533514064753,"['button_touch_x_location_count' 'button_touch_x_location_mad'
 'button_touch_y_location_kurt' 'difference.touch_buttonCenter_x_kurt'
 'difference.touch_buttonCenter_x_mad'
 'difference.touch_buttonCenter_y_kurt'
 'difference.touch_buttonCenter_y_mad'
 'difference.touch_buttonCenter_y_median' 'swipe_length.x_kurt'
 'swipe_length.x_mad' 'swipe_length.x_max' 'swipe_length.x_mean'
 'swipe_length.y_mad' 'swipe_length.y_mean' 'swipe_length_kurt'
 'target_touch_x_location_skew' 'time_between_touches_kurt'
 'time_between_touches_max' 'touchAccuracy_kurt' 'touchAccuracy_max'
 'touchAccuracy_mean' 'touchAccuracy_x_mean' 'touchAccuracy_x_median'
 'touchAccuracy_x_min' 'touchAccuracy_x_skew' 'touchAccuracy_y_median'
 'x_location.down_kurt' 'x_location.down_min' 'x_location.release_kurt'
 'y_location.down_max' 'y_location.down_mean' 'y_location.down_min'
 'y_location.release_mad' 'y_location.release_max'
 'y_location.release_skew']",0.716927505506639,0.80230222518739,22.1922741179382,0.643021281390852,0.541857517361175,0.899834847453518,1.0050755463759,0.0761740576351998,"PQ","Random Forest"
29,91.62414954944,0.344463390526735,226.482241958475,"['button_touch_x_location_count' 'button_touch_x_location_mad'
 'button_touch_x_location_mean' 'button_touch_y_location_kurt'
 'difference.touch_buttonCenter_x_median'
 'difference.touch_buttonCenter_y_kurt'
 'difference.touch_buttonCenter_y_mad' 'swipe_length.x_kurt'
 'swipe_length.x_max' 'swipe_length.x_mean' 'swipe_length_mad'
 'target_touch_x_location_skew' 'target_touch_y_location_kurt'
 'target_touch_y_location_skew' 'time_between_touches_kurt'
 'time_between_touches_mad' 'time_between_touches_max' 'touchAccuracy_max'
 'touchAccuracy_mean' 'touchAccuracy_x_median' 'touchAccuracy_x_min'
 'touchAccuracy_x_skew' 'touchAccuracy_y_max' 'touchAccuracy_y_skew'
 'x_location.down_mean' 'x_location.release_kurt' 'x_location.release_min'
 'y_location.down_mean' 'y_location.release_max']",0.80676370575207,0.875242882222052,27.0385299576683,0.460957150540393,0.369088470416275,1.02107015563806,1.08983970930246,0.115389843501384,"ATT","SVM"
35,-93.9234199763058,0.498419554119385,68.836346724254,"['button_touch_x_location_kurt' 'button_touch_x_location_mean'
 'difference.touch_buttonCenter_x_kurt'
 'difference.touch_buttonCenter_y_kurt'
 'difference.touch_buttonCenter_y_median' 'swipe_length.x_mad'
 'swipe_length.x_mean' 'swipe_length.y_kurt' 'target_touch_x_location_mad'
 'target_touch_x_location_skew' 'time_between_touches_mad'
 'touch.duration_kurt' 'touchAccuracy_kurt' 'touchAccuracy_mad'
 'touchAccuracy_median' 'touchAccuracy_skew' 'touchAccuracy_x_max'
 'touchAccuracy_x_median' 'touchAccuracy_y_max' 'touchAccuracy_y_mean'
 'touchAccuracy_y_min' 'touchAccuracy_y_skew' 'x_location.down_max'
 'x_location.down_min' 'x_location.release_kurt' 'x_location.release_max'
 'x_location.release_mean' 'x_location.release_skew'
 'y_location.down_kurt' 'y_location.down_max' 'y_location.down_mean'
 'y_location.down_min' 'y_location.release_kurt' 'y_location.release_mad'
 'y_location.release_max']",0.721354561271138,0.825015255953125,22.1820475799511,0.644534230120813,0.521159600240916,0.897937434944759,1.02766430312246,0.0741482212991181,"PQ","SVM"
32,141.593219799459,0.326352825085567,290.402149354257,"['button_touch_x_location_kurt' 'button_touch_x_location_mad'
 'button_touch_x_location_mean' 'difference.touch_buttonCenter_x_kurt'
 'difference.touch_buttonCenter_x_mad'
 'difference.touch_buttonCenter_y_kurt'
 'difference.touch_buttonCenter_y_mad'
 'difference.touch_buttonCenter_y_median' 'swipe_length.x_max'
 'swipe_length.y_kurt' 'swipe_length.y_mad' 'swipe_length.y_max'
 'swipe_length.y_mean' 'target_touch_y_location_skew'
 'time_between_touches_max' 'touch.duration_mad' 'touchAccuracy_mad'
 'touchAccuracy_max' 'touchAccuracy_median' 'touchAccuracy_x_max'
 'touchAccuracy_y_max' 'touchAccuracy_y_skew' 'x_location.down_kurt'
 'x_location.down_min' 'x_location.release_kurt' 'x_location.release_mean'
 'x_location.release_min' 'x_location.release_skew' 'y_location.down_mad'
 'y_location.release_mad' 'y_location.release_max'
 'y_location.release_skew']",0.845358490612002,0.886058927042492,28.2126830832456,0.431443869833684,0.354276024045751,1.04863451346924,1.10229419852244,0.113964550165317,"ATT","Linear regression"
36,61.7165700178103,0.476236992211816,229.126615766958,"['button_touch_x_location_count' 'button_touch_x_location_kurt'
 'button_touch_x_location_mean' 'difference.touch_buttonCenter_x_kurt'
 'difference.touch_buttonCenter_x_mad'
 'difference.touch_buttonCenter_y_mad'
 'difference.touch_buttonCenter_y_median' 'swipe_length.x_kurt'
 'swipe_length.x_mad' 'swipe_length.y_max' 'swipe_length_mad'
 'target_touch_x_location_kurt' 'target_touch_x_location_skew'
 'target_touch_y_location_kurt' 'time_between_touches_mad'
 'time_between_touches_max' 'touchAccuracy_max' 'touchAccuracy_mean'
 'touchAccuracy_min' 'touchAccuracy_x_max' 'touchAccuracy_x_mean'
 'touchAccuracy_x_median' 'touchAccuracy_x_skew' 'touchAccuracy_y_max'
 'touchAccuracy_y_min' 'touchAccuracy_y_skew' 'x_location.down_kurt'
 'x_location.down_max' 'x_location.down_min' 'x_location.release_mean'
 'x_location.release_min' 'x_location.release_skew' 'y_location.down_kurt'
 'y_location.down_mad' 'y_location.release_kurt' 'y_location.release_max']",0.802384361322917,0.848662717343189,24.5584240881882,0.567823915982798,0.500661173922146,0.990082982690127,1.04754362155921,0.0974362964626629,"PQ","Linear regression"
26,562.172625784793,-0.0483387056983495,683.079881048066,"['button_touch_x_location_kurt' 'difference.touch_buttonCenter_x_kurt'
 'difference.touch_buttonCenter_x_mad' 'swipe_length.x_mean'
 'target_touch_x_location_kurt' 'target_touch_x_location_mad'
 'target_touch_x_location_skew' 'target_touch_y_location_skew'
 'time_between_touches_mad' 'touchAccuracy_min' 'touchAccuracy_x_max'
 'touchAccuracy_x_mean' 'touchAccuracy_y_max' 'touchAccuracy_y_mean'
 'touchAccuracy_y_min' 'x_location.down_kurt' 'x_location.down_max'
 'x_location.release_kurt' 'x_location.release_mad'
 'x_location.release_max' 'x_location.release_mean'
 'x_location.release_min' 'y_location.down_mad' 'y_location.release_kurt'
 'y_location.release_max' 'y_location.release_min']",1.14208605546593,1.14384110145082,40.3920656802107,0,-0.0130319617240529,1.39086633770628,1.39276513032444,0.0165890005870488,"ATT","Lasso Regression"
28,689.359938433657,-0.0521458483764341,819.567751794104,"['button_touch_x_location_count' 'button_touch_x_location_mad'
 'button_touch_x_location_mean' 'difference.touch_buttonCenter_y_mad'
 'swipe_length.x_mad' 'swipe_length.x_mean' 'swipe_length.y_mad'
 'swipe_length.y_max' 'swipe_length_kurt' 'target_touch_x_location_kurt'
 'target_touch_x_location_mad' 'time_between_touches_kurt'
 'time_between_touches_mad' 'time_between_touches_max' 'touchAccuracy_mad'
 'touchAccuracy_y_min' 'x_location.down_kurt' 'x_location.down_max'
 'x_location.down_mean' 'x_location.release_kurt' 'x_location.release_mad'
 'x_location.release_skew' 'y_location.down_kurt' 'y_location.down_max'
 'y_location.down_mean' 'y_location.release_max'
 'y_location.release_median' 'y_location.release_skew']",1.29115139325464,1.2929807862235,41.4171809940149,0,-0.013985118124439,1.50622037496868,1.50838355790204,0.012673728507657,"PQ","Lasso Regression"
24,432.416164965061,0.107702119007402,544.022862131159,"['button_touch_x_location_mad' 'button_touch_x_location_mean'
 'difference.touch_buttonCenter_x_mad'
 'difference.touch_buttonCenter_x_median'
 'difference.touch_buttonCenter_y_kurt' 'swipe_length.x_mean'
 'swipe_length_mad' 'target_touch_x_location_kurt'
 'target_touch_x_location_skew' 'target_touch_y_location_skew'
 'time_between_touches_kurt' 'time_between_touches_mad'
 'touchAccuracy_mean' 'touchAccuracy_skew' 'touchAccuracy_y_max'
 'x_location.down_max' 'x_location.down_mean' 'x_location.release_kurt'
 'x_location.release_mad' 'x_location.release_mean'
 'x_location.release_skew' 'y_location.down_kurt' 'y_location.release_mad'
 'y_location.release_max']",1.04989822077837,1.05383238514026,37.0058342460905,0.150167610433599,0.135441949504582,1.28209603228162,1.28658262891106,0.0215840879285286,"ATT","Elastic Net"
31,428.649242976641,0.249346752692958,572.807893482851,"['button_touch_x_location_count' 'button_touch_x_location_kurt'
 'button_touch_x_location_mad' 'button_touch_x_location_mean'
 'difference.touch_buttonCenter_x_mad'
 'difference.touch_buttonCenter_x_median'
 'difference.touch_buttonCenter_y_mad'
 'difference.touch_buttonCenter_y_median' 'swipe_length.x_kurt'
 'swipe_length.x_mad' 'swipe_length.x_max' 'swipe_length.x_mean'
 'swipe_length.y_mad' 'time_between_touches_kurt' 'touch.duration_kurt'
 'touchAccuracy_mad' 'touchAccuracy_mean' 'touchAccuracy_x_mean'
 'touchAccuracy_x_median' 'touchAccuracy_x_skew' 'touchAccuracy_y_max'
 'touchAccuracy_y_min' 'touchAccuracy_y_skew' 'x_location.down_max'
 'x_location.down_mean' 'x_location.down_min' 'x_location.release_kurt'
 'x_location.release_max' 'y_location.release_mad'
 'y_location.release_median' 'y_location.release_min']",1.0618624148262,1.06623561834122,34.2098699691964,0.292226420340089,0.279489564437153,1.26707433619246,1.27254046250024,0.0269809187669481,"PQ","Elastic Net"
