"#Features","AIC(Validation)","Adjusted R2(Validation)","BIC(Validation)","Features","MAE(Train)","MAE(Validation)","MAPE(Validation)","R2(Train)","R2(Validation)","RMSE(Train)","RMSE(Validation)","StandardError(Validation)","Target","Algorithm"
19,53.6654711713247,0.339461062144978,142.020773094486,"[ 0  1  2  4 11 12 13 14 15 20 23 27 29 30 33 34 36 37 38]",0.809418838643121,0.888639265491556,27.2055746559729,0.474719385590201,0.355717849475606,1.00794797498284,1.10183735130878,0.109016567600485,"ATT","Random Forest"
18,-32.8982023629475,0.493372376480124,50.8068205116261,"[ 0  3  5  8  9 10 11 13 14 17 27 28 31 32 33 34 36 37]",0.747962161998704,0.819939657343984,23.2885924841631,0.602041958657703,0.505184937650276,0.950064863193005,1.04168949675486,0.103897783964555,"PQ","Random Forest"
18,121.656327141467,0.343900361755001,205.361350016041,"[ 0  3  6  8  9 11 14 16 19 21 26 27 29 32 34 35 37 38]",0.85498431633009,0.884469444035618,28.5300854594344,0.424209994221826,0.359198021714081,1.05531487582638,1.09933443738049,0.0993435074275518,"ATT","SVM"
23,-89.548277354292,0.503103640146781,17.4081407632187,"[ 0  1  3  5  7 10 12 13 14 17 19 20 24 25 26 28 30 33 34 35 37 38 40]",0.730173690287094,0.821037186855971,22.6164467640611,0.632242068751152,0.517907547240854,0.913308898226192,1.0301900215085,0.0902719447248891,"PQ","SVM"
14,174.017543477449,0.315081326331125,239.121450157673,"[ 0  1  3  5  6 10 14 15 18 22 23 27 29 31]",0.881625363232996,0.905751865481398,29.8141972561532,0.377559057987249,0.327502131294032,1.09720529824562,1.12532134744582,0.112625542966798,"ATT","Linear regression"
19,90.9057927597714,0.475325346296585,179.261094682932,"[ 0  3  8  9 10 11 13 14 19 24 28 29 32 33 34 36 37 38 40]",0.830150510653844,0.853525775871037,25.596982417365,0.529085665471752,0.488238323525037,1.03351273390687,1.06159912106213,0.0852547393463653,"PQ","Linear regression"
16,281.82989617511,0.254733953539481,356.234360952509,"[ 0  1  2  3  5  9 14 16 17 23 27 30 33 34 36 39]",0.95476332007265,0.958262589706396,33.1190040370316,0.285952571807588,0.270179881963533,1.17520681379087,1.17922786745457,0.0470599347013187,"ATT","Lasso Regression"
18,252.893619325433,0.389269627988611,336.598642200007,"[ 0  1  2  5  9 11 12 14 17 20 26 29 31 33 36 37 38 40]",0.945137607884169,0.948363982458065,30.0803190884,0.416593545518631,0.403509455315301,1.15038165293568,1.15486322914618,0.0408864954925206,"PQ","Lasso Regression"
17,248.55333405043,0.285056142856108,327.608077876417,"[ 0  2  4  9 11 12 13 14 15 17 22 26 27 28 33 34 39]",0.930762585129167,0.933917934367258,31.9153563128078,0.317828168038178,0.300799725202541,1.14868135286473,1.15255986512378,0.0624518586987306,"ATT","Elastic Net"
15,212.309618042793,0.416434006113624,282.063803771604,"[ 0  2  5  9 14 15 16 20 21 26 33 34 35 38 40]",0.915370225989115,0.91926628851702,28.9060310382813,0.442137785082011,0.427772723611416,1.12491924984119,1.12946951369909,0.0494591233806053,"PQ","Elastic Net"
36,NA,0.49250974440435,NA,"PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC14,PC16,PC17,PC18,PC19,PC21,PC22,PC23,PC24,PC25,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC43",0.842154661612306,0.842154661612306,20.9657908239597,0.516175093110883,0.516175093110883,1.05078262132698,1.05078262132698,0.0789391050539214,"PQ","MARS"
12,NA,0.353376049858755,NA,"PC1,PC2,PC4,PC5,PC6,PC13,PC14,PC17,PC21,PC29,PC30,PC41",0.905594668954913,0.905594668954913,23.6458112106071,0.363427199342816,0.363427199342816,1.11676750452464,1.11676750452464,0.0839093982233341,"ATT","MARS"
