#Features,AIC(Test),AIC(Validation),Adjusted R2(Validation),BIC(Test),BIC(Validation),Features,MAE(Test),MAE(Train),MAE(Validation),MAPE(Test),MAPE(Validation),R2(Test),R2(Train),R2(Validation),RMSE(Test),RMSE(Train),RMSE(Validation),StandardError(Validation),Target,Algorithm
14,49.80210774,75.31571187,0.07906115,78.15703141,115.4611942,[ 1  6  7 12 13 14 17 18 20 21 24 25 26 28],0.992957394,0.942181146,0.977582669,32.7155645,32.72667926,0.147258893,0.303012833,0.179008002,1.214899888,1.199336224,1.238246485,0.245298431,ATT,Random Forest
16,60.37203183,40.04927569,0.256631163,92.77765888,85.9298269,[ 0  1  3  4  6  9 12 13 14 16 18 19 22 24 25 28],0.998928794,0.825304341,0.892336389,30.14500467,27.90114431,0.117671918,0.49870491,0.348831949,1.288297672,1.030996983,1.111981039,0.186232287,PQ,Random Forest
14,49.70985101,38.93261493,0.140737509,78.06477468,79.07809724,[ 0  1  4  6  7 10 11 23 25 27 28 29 30 31],1.000087139,0.852540833,0.971777419,34.12001131,30.02318722,0.148662578,0.472920116,0.233990803,1.213899561,1.04308753,1.211100474,0.23387848,ATT,SVM
16,59.36353341,9.783389233,0.340589225,91.76916046,55.66394044,[ 1  4  6  9 12 14 15 16 21 23 24 28 30 31 32 33],1.045532691,0.74687594,0.832056978,29.65684153,23.33499854,0.133419453,0.601571385,0.422376608,1.276749331,0.918979625,1.056374847,0.122794578,PQ,SVM
13,46.93200644,85.64732103,-0.112813826,73.26157842,122.9252689,[ 1  5  8 14 16 17 20 23 24 27 28 29 32],0.955740013,0.964601053,1.054611937,32.34032166,36.8046345,0.160405977,0.308485123,-0.000669797,1.205498187,1.194250923,1.346465182,0.439951281,ATT,Linear regression
16,64.75856189,18.26943285,0.216252897,97.16418894,64.14998406,[ 0  1  2  3  5  7  8 10 12 15 16 18 23 24 26 30],1.063132206,0.751069029,0.899261217,29.88377972,23.13019348,0.045779425,0.585692328,0.31346184,1.339755534,0.93703505,1.125753542,0.25896022,PQ,Linear regression
12,45.15619651,84.80070381,0.074300558,69.4604168,119.2111172,[ 1  3  4  5  7  9 16 18 19 20 22 25],0.976645133,0.994242833,1.013996643,34.27907481,36.29811974,0.157038014,0.227153793,0.160412134,1.207913646,1.262906919,1.280512271,0.130483797,ATT,Lasso Regression
14,51.50431851,62.57387511,0.21237899,79.85924218,102.7193574,[ 0  1  3  6  7  8  9 10 12 15 19 24 29 31],1.030582831,0.915094078,0.930806121,32.17066394,30.90488258,0.191128141,0.38565471,0.297857239,1.233505341,1.141199611,1.162671537,0.141268422,PQ,Lasso Regression
17,53.82785428,89.34822318,0.065339211,88.25883303,138.0963088,[ 0  1  2  5  6  9 10 12 13 17 20 21 23 24 26 27 31],0.968595163,0.970420946,0.99256934,33.56051787,34.98969155,0.176798122,0.26372218,0.188511563,1.193672171,1.232654427,1.252255561,0.171202961,ATT,Elastic Net
16,55.37260135,60.81576435,0.225059488,87.77822841,106.6963156,[ 0  1  3  7 12 13 17 18 19 22 23 25 26 29 30 32],1.013792734,0.889338779,0.907164343,31.47373728,29.69372073,0.193028447,0.41328612,0.32117614,1.232055534,1.115256419,1.139068894,0.171959628,PQ,Elastic Net
14,NA,NA,0.413141873,NA,NA,"PC1,PC3,PC4,PC5,PC10,PC13,PC15,PC18,PC19,PC28,PC29,PC31,PC34,PC37",1.12596176,0.85019318,0.85019318,26.98413129,16.90152967,0.252859591,0.475859536,0.475859536,1.400747297,1.069594075,1.069594075,0.230709204,PQ,MARS
13,NA,NA,0.221060067,NA,NA,"PC1,PC2,PC4,PC7,PC10,PC13,PC14,PC15,PC18,PC21,PC26,PC30,PC36",1.3643111,1.040718759,1.040718759,41.93581829,24.11927591,0.166123994,0.29835945,0.29835945,1.846895152,1.334947078,1.334947078,0.163249105,ATT,MARS
