#Features,AIC(Test),AIC(Validation),Adjusted R2(Validation),BIC(Test),BIC(Validation),Features,MAE(Test),MAE(Train),MAE(Validation),MAPE(Test),MAPE(Validation),R2(Test),R2(Train),R2(Validation),RMSE(Test),RMSE(Train),RMSE(Validation),StandardError(Validation),Target,Algorithm
2,23.31410904,40.08735519,0.213595246,27.36481242,45.82242409,[0 1],0.958022149,0.914691788,0.961878885,31.15490981,31.43470926,0.184315659,0.352253287,0.225787568,1.188209322,1.156448318,1.210942168,0.229582184,ATT,Random Forest
3,32.07626876,9.240881321,0.350551987,38.15232384,17.84348467,[0 1 2],0.978742196,0.822542562,0.895898364,29.3012051,27.50551408,0.153112222,0.512976832,0.365655429,1.262159103,1.016184351,1.097606259,0.173578248,PQ,Random Forest
1,22.13076325,53.31312084,0.190177121,24.15611494,56.18065529,[1],0.959847416,0.959707361,0.977602971,32.23542697,33.03354422,0.172333285,0.282211261,0.196454818,1.196904879,1.217173361,1.235423975,0.238062009,ATT,SVM
1,27.31975791,25.75357768,0.341616312,29.3451096,28.62111213,[1],0.996524018,0.866914616,0.877783471,30.81494405,28.83389146,0.164476002,0.433860967,0.346720062,1.2536625,1.095548012,1.113677263,0.184535696,PQ,SVM
1,21.77263113,55.22229287,0.189668034,23.79798282,58.08982732,[1],0.96465096,0.974818095,0.982561344,32.94432212,34.12531121,0.177609504,0.270470049,0.195949677,1.193083759,1.227078546,1.234987099,0.243625045,ATT,Linear regression
2,28.82827858,29.9284526,0.301667736,32.87898196,35.66352151,[0 1],0.99535353,0.869795665,0.891038905,30.46820224,28.31248242,0.171776824,0.424788374,0.312494593,1.24817322,1.104229149,1.139464244,0.25298999,PQ,Linear regression
1,23.15619651,62.80070381,0.153852854,25.1815482,65.66823826,[1],0.976645133,0.994242833,1.013996643,34.27907481,36.29811974,0.157038014,0.227153793,0.160412134,1.207913646,1.262906919,1.280512271,0.130483797,ATT,Lasso Regression
1,25.50431851,36.57387511,0.292371749,27.5296702,39.44140956,[1],1.030582831,0.915094078,0.930806121,32.17066394,30.90488258,0.191128141,0.38565471,0.297857239,1.233505341,1.141199611,1.162671537,0.141268422,PQ,Lasso Regression
2,24.02604812,59.83997447,0.173861112,28.0767515,65.57504338,[1 2],0.969503777,0.976261794,0.993890507,33.62629418,35.0723374,0.173879504,0.256292497,0.186669467,1.195786348,1.238925352,1.254046141,0.172329872,ATT,Elastic Net
1,25.37260135,30.81576435,0.317289345,27.39795304,33.6832988,[1],1.013792734,0.889873929,0.906040228,31.47373728,29.69372073,0.193028447,0.412421448,0.322581675,1.232055534,1.11607427,1.137569835,0.171874738,PQ,Elastic Net
2,NA,NA,0.411762521,NA,NA,"PC1,PC3",0.995564213,0.870256204,0.870256204,24.98394851,165.8152615,0.369403456,0.420743246,0.420743246,1.246118588,1.064676311,1.064676311,0.223381762,PQ,MARS
2,NA,NA,0.402779442,NA,NA,"PC1,PC2",1.104735708,0.883064996,0.883064996,29.12230223,44.78472765,0.18589284,0.411897313,0.411897313,1.343756825,1.111431299,1.111431299,0.113868486,ATT,MARS
