#Features,AIC(Test),AIC(Validation),Adjusted R2(Validation),BIC(Test),BIC(Validation),Features,MAE(Test),MAE(Train),MAE(Validation),MAPE(Test),MAPE(Validation),R2(Test),R2(Train),R2(Validation),RMSE(Test),RMSE(Train),RMSE(Validation),StandardError(Validation),Target,Algorithm
21,60.76006157,37.03641301,0.081704211,103.2924471,97.25463647,[ 0  1  2  3  5  6  7  9 11 12 14 15 17 18 19 22 25 26 27 32 33],0.973019296,0.797744304,0.959695114,30.57029403,26.86540023,0.192346008,0.50799484,0.231194223,1.18234594,1.007496775,1.203966238,0.217081604,ATT,Random Forest
20,65.44191304,23.09211222,0.137885924,105.9489469,80.44280123,[ 0  1  2  7  8  9 10 11 17 18 19 20 21 24 25 26 27 29 30 33],1.006216176,0.738082827,0.926138173,30.06476828,23.94479048,0.16265145,0.58758451,0.271547021,1.255030579,0.934812001,1.16122525,0.26213454,PQ,Random Forest
13,44.7354445,76.77193049,0.084543838,71.06501648,114.0498783,[ 0  6  7  9 13 17 18 19 23 25 30 31 32],0.956703116,0.957996071,0.999578598,32.87479259,34.20236077,0.192700967,0.282983512,0.17679911,1.182086095,1.216471228,1.259029791,0.140071011,ATT,SVM
21,73.65605269,-178.0033634,0.292952579,116.1884382,-117.7851399,[ 0  3  4  5  6  7 10 11 12 14 16 17 18 19 20 22 23 24 25 27 33],1.092859732,0.333784249,0.829271395,30.6936616,8.971664585,0.064382077,0.917052016,0.408053322,1.326631904,0.419111323,1.055019836,0.179321634,PQ,SVM
13,45.82164608,57.85849548,0.022366213,72.15121806,95.13644334,[ 0  3  6  8 11 13 18 21 22 24 25 32 33],0.994649197,0.89423385,0.997318012,31.86159889,30.40164968,0.176889378,0.387767624,0.120887448,1.193606007,1.123886627,1.25464807,0.348772281,ATT,Linear regression
11,42.2805431,29.77136521,0.167891343,64.55941169,61.31424416,[ 0  3  8 10 12 18 19 22 27 29 32],0.961851123,0.770193113,0.902987013,28.74516815,24.84515767,0.236377855,0.505878506,0.238846345,1.198506595,1.023208602,1.187511839,0.375637392,PQ,Linear regression
11,43.26481683,84.71370471,0.061346756,65.54368542,116.2565837,[ 0  1  6 16 17 18 20 23 28 32 33],0.974070941,1.012685906,1.029666509,34.23886488,36.88808624,0.155401378,0.215676923,0.141386956,1.209085678,1.272233777,1.288449551,0.113705577,ATT,Lasso Regression
15,57.80201834,84.02004967,0.078235092,88.1822937,127.0330664,[ 0  2  4  7 10 13 15 16 18 20 21 22 25 27 32],1.071480847,0.99692046,1.013824066,33.42135422,33.48797407,0.126607416,0.286528264,0.185417058,1.281757658,1.229831613,1.253753784,0.147846701,PQ,Lasso Regression
13,46.81280654,84.73545186,0.068582546,73.14237852,122.0133997,[ 0  3  8 11 14 17 18 19 21 25 28 29 33],0.96739818,0.994548287,1.007649152,33.66836299,35.77152298,0.162191211,0.239457146,0.16244632,1.204215876,1.252849695,1.266963917,0.152540682,ATT,Elastic Net
14,55.65384356,75.76823844,0.110253394,84.00876723,115.9137207,[ 0  7  9 10 11 13 15 16 22 24 25 28 31 32],1.048753342,0.96416911,0.98893287,32.62828835,32.23466664,0.128915339,0.324266759,0.206815042,1.280063028,1.196801508,1.232083437,0.1889793,PQ,Elastic Net
13,NA,NA,0.389168171,NA,NA,"PC1,PC3,PC4,PC8,PC10,PC12,PC13,PC14,PC19,PC22,PC24,PC27,PC28",1.112644609,0.84880612,0.84880612,25.39966502,19.28380708,0.224006119,0.44978507,0.44978507,1.42691138,1.028938028,1.028938028,0.203272952,PQ,MARS
26,NA,NA,-0.033040627,NA,NA,"PC1,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC18,PC19,PC20,PC21,PC24,PC25,PC26,PC29,PC30,PC31,PC33",1.104494252,1.052006725,1.052006725,29.28806432,23.98725827,0.153120114,0.171990337,0.171990337,1.381027532,1.346293712,1.346293712,0.17422037,ATT,MARS
