,Adjusted R-Squared(Validation),R2(Test),R2(Train),R2(Validation),RMSE(Test),RMSE(Train),RMSE(Validation),StandardError(Validation),Target,Algorithm
2,0.3,-0.61,0.89,0.61,1.83,1.83,0.96,0.09,PQ,Random Forest
2,0.27,-1.11,0.65,0.59,2.1,2.1,0.99,0.06,PQ,SVM
2,-0.13,-15.57,0.73,0.37,5.88,5.88,1.24,0.23,PQ,Linear Regression
2,0.29,-1.04,0.62,0.6,2.06,2.06,0.98,0.06,PQ,Lasso Regression
2,0.28,-0.75,0.62,0.6,1.91,1.91,0.98,0.05,PQ,Elastic Net
2,0.28,-1.44,0.63,0.6,2.25,2.25,0.98,0.08,PQ,MARS
0,-0.04,-0.74,0.86,0.42,1.76,1.76,1.06,0.12,ATT,Random Forest
0,-0.03,-0.34,0.51,0.42,1.54,1.54,1.06,0.08,ATT,SVM
0,-0.52,-11.18,0.62,0.15,4.65,4.65,1.28,0.21,ATT,Linear Regression
0,-0.02,0.23,0.51,0.43,1.17,1.17,1.05,0.09,ATT,Lasso Regression
0,-0.02,0.24,0.51,0.43,1.16,1.16,1.05,0.09,ATT,Elastic Net
0,-0.03,-1.07,0.48,0.42,1.92,1.92,1.05,0.09,ATT,MARS
1,-0.57,-0.12,0.77,0.12,1.1,1.1,1.03,0.19,HQ,Random Forest
1,-0.57,-0.01,0.23,0.12,1.04,1.04,1.03,0.13,HQ,SVM
1,-1.36,-2.25,0.42,-0.32,1.87,1.87,1.27,0.39,HQ,Linear Regression
1,-0.61,-0.05,0.17,0.1,1.06,1.06,1.04,0.11,HQ,Lasso Regression
1,-0.6,0.1,0.17,0.11,0.98,0.98,1.04,0.12,HQ,Elastic Net
1,-0.6,-19.75,0.24,0.11,4.72,4.72,1.03,0.17,HQ,MARS
