"#Features","AIC(Test)","AIC(Validation)","Adjusted R2(Validation)","BIC(Test)","BIC(Validation)","Features","MAE(Test)","MAE(Train)","MAE(Validation)","MAPE(Test)","MAPE(Validation)","R2(Test)","R2(Train)","R2(Validation)","RMSE(Test)","RMSE(Train)","RMSE(Validation)","StandardError(Validation)","Target","Algorithm"
"54","125.2024068","89.32041726","0.352896604","296.7144923","306.1929039","['x_location.down_mean' 'touch.duration_mean'
 'button_touch_x_location_mean' 'time_between_touches_mean'
 'y_location.release_mean' 'difference.touch_buttonCenter_y_mean'
 'touchAccuracy_mean' 'touchAccuracy_x_mean' 'touchAccuracy_y_mean'
 'difference.touch_buttonCenter_x_median'
 'difference.touch_buttonCenter_y_median'
 'difference.touch_buttonCenter_x_skew' 'target_touch_y_location_skew'
 'time_between_touches_skew' 'touch.duration_skew' 'touchAccuracy_y_skew'
 'x_location.down_skew' 'x_location.down_kurt' 'swipe_length_kurt'
 'button_touch_x_location_kurt' 'swipe_length.x_std' 'swipe_length.y_std'
 'target_touch_x_location_std' 'target_touch_y_location_std'
 'x_location.release_std' 'y_location.release_std' 'touchAccuracy_x_std'
 'touchAccuracy_y_std' 'x_location.down_max' 'touch.duration_max'
 'swipe_length_max' 'target_touch_x_location_max'
 'time_between_touches_max' 'x_location.release_max'
 'y_location.release_max' 'touchAccuracy_x_max' 'y_location.down_min'
 'button_touch_y_location_min' 'time_between_touches_min'
 'x_location.release_min' 'difference.touch_buttonCenter_x_min'
 'difference.touch_buttonCenter_y_min' 'x_location.down_count'
 'y_location.down_count' 'touch.duration_count' 'swipe_length.x_count'
 'swipe_length.y_count' 'button_touch_y_location_count'
 'target_touch_x_location_count' 'target_touch_y_location_count'
 'x_location.release_count' 'y_location.release_count'
 'difference.touch_buttonCenter_x_count' 'touchAccuracy_y_count']","0.816410035","0.789834396","0.843462713","23.72295572","27.17926088","0.379256231","0.517257962","0.438333239","1.049794436","0.97417082","1.04162799","0.105525223","ATT","Random Forest"
"50","95.2938702","33.6566269","0.554969992","254.1013568","234.4644849","['x_location.down_mean' 'touch.duration_mean'
 'button_touch_x_location_mean' 'time_between_touches_mean'
 'y_location.release_mean' 'difference.touch_buttonCenter_y_mean'
 'touchAccuracy_mean' 'touch.duration_median'
 'time_between_touches_median' 'difference.touch_buttonCenter_y_median'
 'touchAccuracy_x_median' 'touchAccuracy_y_median'
 'difference.touch_buttonCenter_x_skew'
 'difference.touch_buttonCenter_y_skew' 'swipe_length_skew'
 'swipe_length.x_skew' 'target_touch_x_location_skew'
 'touchAccuracy_y_skew' 'swipe_length.y_kurt' 'x_location.release_kurt'
 'x_location.down_std' 'y_location.down_std' 'swipe_length_std'
 'target_touch_x_location_std' 'target_touch_y_location_std'
 'x_location.release_std' 'y_location.release_std' 'x_location.down_max'
 'y_location.down_max' 'touch.duration_max' 'swipe_length_max'
 'swipe_length.y_max' 'time_between_touches_max' 'touchAccuracy_max'
 'x_location.down_min' 'button_touch_x_location_min'
 'time_between_touches_min' 'x_location.release_min'
 'difference.touch_buttonCenter_x_min' 'touchAccuracy_x_min'
 'touchAccuracy_y_min' 'x_location.down_count' 'swipe_length_count'
 'swipe_length.x_count' 'button_touch_x_location_count'
 'button_touch_y_location_count' 'time_between_touches_count'
 'x_location.release_count' 'touchAccuracy_x_count'
 'touchAccuracy_y_count']","0.787136024","0.743471541","0.771001367","21.95093071","22.93820369","0.532479606","0.640908787","0.609374639","0.986793825","0.930047289","0.968967569","0.067262327","PQ","Random Forest"
"41","105.6161685","58.43098207","0.29614014","235.8383075","223.0934256","['x_location.down_mean' 'y_location.down_mean' 'swipe_length_mean'
 'touchAccuracy_y_mean' 'touch.duration_median' 'touchAccuracy_median'
 'touchAccuracy_x_median' 'touchAccuracy_y_median'
 'difference.touch_buttonCenter_x_skew'
 'difference.touch_buttonCenter_y_skew' 'target_touch_y_location_skew'
 'touchAccuracy_skew' 'touchAccuracy_x_skew' 'x_location.release_skew'
 'y_location.release_skew' 'x_location.down_kurt'
 'button_touch_x_location_kurt' 'target_touch_x_location_kurt'
 'touchAccuracy_kurt' 'swipe_length_std' 'swipe_length.x_std'
 'swipe_length.y_std' 'target_touch_x_location_std'
 'target_touch_y_location_std' 'x_location.release_std'
 'touchAccuracy_y_std' 'x_location.down_max' 'touch.duration_max'
 'swipe_length.y_max' 'x_location.down_min' 'y_location.down_min'
 'swipe_length_min' 'difference.touch_buttonCenter_x_min'
 'touchAccuracy_x_min' 'target_touch_x_location_count'
 'time_between_touches_count' 'x_location.release_count'
 'y_location.release_count' 'difference.touch_buttonCenter_y_count'
 'touchAccuracy_x_count' 'touchAccuracy_y_count']","0.824780177","0.797709288","0.894385246","23.60209203","27.03861074","0.356350497","0.522779104","0.366698219","1.068987929","0.968621773","1.108826928","0.102641334","ATT","SVM"
"43","96.28643458","6.715996102","0.53052668","232.8608731","179.410754","['touch.duration_mean' 'button_touch_x_location_mean'
 'time_between_touches_mean' 'y_location.release_mean'
 'difference.touch_buttonCenter_x_mean'
 'difference.touch_buttonCenter_y_mean' 'touchAccuracy_x_mean'
 'touch.duration_median' 'difference.touch_buttonCenter_y_median'
 'touchAccuracy_median' 'swipe_length_skew' 'swipe_length.x_skew'
 'touch.duration_skew' 'touchAccuracy_skew' 'touchAccuracy_x_skew'
 'x_location.release_skew' 'y_location.release_skew'
 'button_touch_x_location_kurt' 'target_touch_x_location_kurt'
 'x_location.release_kurt' 'swipe_length.x_std'
 'target_touch_x_location_std' 'target_touch_y_location_std'
 'y_location.release_std' 'touchAccuracy_y_std' 'x_location.down_max'
 'swipe_length_max' 'touchAccuracy_max' 'touchAccuracy_x_max'
 'x_location.down_min' 'touch.duration_min' 'button_touch_y_location_min'
 'difference.touch_buttonCenter_y_min' 'touchAccuracy_y_min'
 'x_location.down_count' 'swipe_length.y_count'
 'button_touch_y_location_count' 'time_between_touches_count'
 'x_location.release_count' 'y_location.release_count'
 'difference.touch_buttonCenter_y_count' 'touchAccuracy_x_count'
 'touchAccuracy_y_count']","0.856765815","0.742312795","0.80501646","23.46771692","23.32922623","0.491153335","0.659415476","0.579884511","1.02948402","0.905757272","1.002614258","0.051977427","PQ","SVM"
"51","155.1187672","126.1390928","0.199280084","317.1024036","330.9631079","['x_location.down_mean' 'y_location.down_mean' 'swipe_length_mean'
 'difference.touch_buttonCenter_x_mean'
 'difference.touch_buttonCenter_y_mean' 'touchAccuracy_mean'
 'touchAccuracy_x_mean' 'time_between_touches_median'
 'difference.touch_buttonCenter_x_median' 'touchAccuracy_y_median'
 'difference.touch_buttonCenter_x_skew'
 'difference.touch_buttonCenter_y_skew' 'swipe_length_skew'
 'swipe_length.x_skew' 'target_touch_x_location_skew'
 'target_touch_y_location_skew' 'touchAccuracy_x_skew'
 'x_location.down_skew' 'y_location.release_skew' 'x_location.down_kurt'
 'y_location.down_kurt' 'swipe_length_kurt' 'swipe_length.y_kurt'
 'touchAccuracy_kurt' 'y_location.down_std' 'swipe_length_std'
 'swipe_length.x_std' 'time_between_touches_std' 'x_location.release_std'
 'touch.duration_max' 'time_between_touches_max' 'touchAccuracy_max'
 'touchAccuracy_x_max' 'x_location.down_min' 'y_location.down_min'
 'touch.duration_min' 'swipe_length_min' 'target_touch_x_location_min'
 'time_between_touches_min' 'x_location.release_min'
 'difference.touch_buttonCenter_x_min' 'touchAccuracy_min'
 'y_location.down_count' 'touch.duration_count' 'swipe_length_count'
 'swipe_length.x_count' 'swipe_length.y_count'
 'target_touch_x_location_count' 'time_between_touches_count'
 'difference.touch_buttonCenter_x_count' 'touchAccuracy_count']","0.903347942","0.826562416","0.936403407","25.40970191","28.39401387","0.239606793","0.465326015","0.299125355","1.161895839","1.025289511","1.166295765","0.134112197","ATT","Linear regression"
"44","144.2764884","113.8781587","0.342542685","284.0270767","290.5890737","['x_location.down_mean' 'time_between_touches_mean'
 'difference.touch_buttonCenter_y_mean' 'touch.duration_median'
 'time_between_touches_median' 'touchAccuracy_median'
 'difference.touch_buttonCenter_x_skew' 'swipe_length_skew'
 'target_touch_y_location_skew' 'time_between_touches_skew'
 'touchAccuracy_skew' 'x_location.down_skew' 'x_location.release_skew'
 'x_location.down_kurt' 'y_location.down_kurt' 'swipe_length_kurt'
 'target_touch_x_location_kurt' 'x_location.release_kurt'
 'touchAccuracy_kurt' 'y_location.down_std' 'swipe_length_std'
 'swipe_length.y_std' 'target_touch_y_location_std'
 'y_location.release_std' 'touchAccuracy_std' 'touchAccuracy_x_std'
 'y_location.down_max' 'touch.duration_max' 'time_between_touches_max'
 'touchAccuracy_max' 'touchAccuracy_x_max' 'x_location.down_min'
 'swipe_length.x_min' 'button_touch_y_location_min'
 'x_location.release_min' 'difference.touch_buttonCenter_x_min'
 'y_location.down_count' 'touch.duration_count' 'swipe_length_count'
 'button_touch_y_location_count' 'x_location.release_count'
 'difference.touch_buttonCenter_x_count' 'touchAccuracy_x_count'
 'touchAccuracy_y_count']","0.939765869","0.816545092","0.918495213","25.25615656","25.75239226","0.340173094","0.562401618","0.413271589","1.172306448","1.026646292","1.18290804","0.129756643","PQ","Linear regression"
"51","209.5621969","379.2319334","-0.151769238","371.5458333","584.0559485","['y_location.down_mean' 'swipe_length_mean' 'button_touch_x_location_mean'
 'time_between_touches_mean' 'y_location.release_mean'
 'difference.touch_buttonCenter_y_mean' 'touchAccuracy_mean'
 'touch.duration_median' 'time_between_touches_median'
 'touchAccuracy_median' 'touchAccuracy_y_median'
 'target_touch_x_location_skew' 'target_touch_y_location_skew'
 'time_between_touches_skew' 'touchAccuracy_y_skew'
 'x_location.release_skew' 'y_location.release_skew'
 'x_location.down_kurt' 'swipe_length_kurt' 'swipe_length.y_kurt'
 'button_touch_x_location_kurt' 'target_touch_x_location_kurt'
 'touchAccuracy_kurt' 'y_location.down_std' 'target_touch_x_location_std'
 'target_touch_y_location_std' 'x_location.release_std'
 'touchAccuracy_std' 'touchAccuracy_x_std' 'touchAccuracy_y_std'
 'y_location.down_max' 'touch.duration_max' 'swipe_length.y_max'
 'target_touch_x_location_max' 'time_between_touches_max'
 'y_location.release_max' 'touchAccuracy_y_max' 'x_location.down_min'
 'swipe_length_min' 'time_between_touches_min'
 'difference.touch_buttonCenter_x_min' 'touchAccuracy_min'
 'touchAccuracy_x_min' 'x_location.down_count' 'swipe_length_count'
 'button_touch_x_location_count' 'button_touch_y_location_count'
 'target_touch_x_location_count' 'x_location.release_count'
 'touchAccuracy_x_count' 'touchAccuracy_y_count']","1.135558771","1.162599423","1.163850882","34.41615555","41.71328009","-0.034243661","0","-0.008150091","1.35506309","1.402204136","1.403391138","0.013100802","ATT","Lasso Regression"
"49","198.257492","371.9692428","0.072512575","353.8888289","568.7609437","['y_location.down_mean' 'button_touch_x_location_mean'
 'y_location.release_mean' 'difference.touch_buttonCenter_x_mean'
 'difference.touch_buttonCenter_y_mean' 'touchAccuracy_x_mean'
 'touch.duration_median' 'time_between_touches_median'
 'difference.touch_buttonCenter_y_median' 'touchAccuracy_x_median'
 'difference.touch_buttonCenter_x_skew'
 'difference.touch_buttonCenter_y_skew' 'target_touch_y_location_skew'
 'touchAccuracy_x_skew' 'x_location.down_skew' 'x_location.down_kurt'
 'y_location.down_kurt' 'swipe_length_kurt' 'swipe_length.y_kurt'
 'button_touch_x_location_kurt' 'target_touch_x_location_kurt'
 'touchAccuracy_kurt' 'y_location.down_std' 'swipe_length.x_std'
 'target_touch_x_location_std' 'target_touch_y_location_std'
 'time_between_touches_std' 'y_location.release_std' 'touchAccuracy_x_std'
 'touchAccuracy_y_std' 'y_location.down_max' 'x_location.release_max'
 'touchAccuracy_x_max' 'x_location.down_min' 'y_location.down_min'
 'swipe_length.x_min' 'time_between_touches_min' 'x_location.release_min'
 'difference.touch_buttonCenter_y_min' 'touchAccuracy_x_min'
 'y_location.down_count' 'swipe_length_count' 'swipe_length.x_count'
 'button_touch_y_location_count' 'target_touch_x_location_count'
 'y_location.release_count' 'difference.touch_buttonCenter_y_count'
 'touchAccuracy_count' 'touchAccuracy_y_count']","1.13376631","1.193069947","1.194121971","32.99954888","38.47409658","0.154052092","0.190139343","0.18362965","1.327388203","1.396648405","1.398615463","0.022275593","PQ","Lasso Regression"
"44","152.2944631","255.8366236","0.132936441","292.0450513","432.5475386","['x_location.down_mean' 'swipe_length_mean' 'button_touch_x_location_mean'
 'touchAccuracy_mean' 'touch.duration_median'
 'time_between_touches_median' 'difference.touch_buttonCenter_x_median'
 'difference.touch_buttonCenter_y_skew' 'swipe_length_skew'
 'touch.duration_skew' 'touchAccuracy_skew' 'touchAccuracy_y_skew'
 'x_location.release_skew' 'y_location.release_skew'
 'y_location.down_kurt' 'swipe_length.y_kurt' 'x_location.release_kurt'
 'swipe_length_std' 'swipe_length.x_std' 'target_touch_x_location_std'
 'target_touch_y_location_std' 'touchAccuracy_std' 'touchAccuracy_x_std'
 'touchAccuracy_y_std' 'y_location.release_max' 'touchAccuracy_max'
 'touchAccuracy_x_max' 'x_location.down_min' 'y_location.down_min'
 'button_touch_x_location_min' 'target_touch_x_location_min'
 'time_between_touches_min' 'x_location.release_min'
 'difference.touch_buttonCenter_y_min' 'x_location.down_count'
 'y_location.down_count' 'swipe_length.x_count'
 'button_touch_y_location_count' 'time_between_touches_count'
 'y_location.release_count' 'difference.touch_buttonCenter_y_count'
 'touchAccuracy_count' 'touchAccuracy_x_count' 'touchAccuracy_y_count']","0.989760538","0.999606096","1.003574521","29.61070822","36.16177271","0.190047825","0.236505867","0.226214672","1.199161757","1.225175849","1.229328162","0.021393904","ATT","Elastic Net"
"49","153.4246948","256.6498786","0.299294869","309.0560317","453.4415795","['swipe_length_mean' 'button_touch_x_location_mean'
 'time_between_touches_mean' 'difference.touch_buttonCenter_x_mean'
 'difference.touch_buttonCenter_y_mean' 'touch.duration_median'
 'time_between_touches_median' 'touchAccuracy_median'
 'touchAccuracy_x_median' 'difference.touch_buttonCenter_x_skew'
 'difference.touch_buttonCenter_y_skew' 'swipe_length.x_skew'
 'target_touch_y_location_skew' 'time_between_touches_skew'
 'touch.duration_skew' 'touchAccuracy_skew' 'touchAccuracy_x_skew'
 'touchAccuracy_y_skew' 'x_location.down_skew' 'x_location.release_skew'
 'y_location.release_skew' 'x_location.down_kurt' 'swipe_length_kurt'
 'button_touch_x_location_kurt' 'x_location.release_kurt'
 'touchAccuracy_kurt' 'swipe_length.x_std' 'target_touch_x_location_std'
 'target_touch_y_location_std' 'y_location.release_std'
 'touchAccuracy_std' 'time_between_touches_max' 'y_location.down_min'
 'swipe_length_min' 'button_touch_x_location_min'
 'difference.touch_buttonCenter_x_min'
 'difference.touch_buttonCenter_y_min' 'touchAccuracy_min'
 'touchAccuracy_y_min' 'x_location.down_count' 'touch.duration_count'
 'swipe_length.x_count' 'button_touch_x_location_count'
 'button_touch_y_location_count' 'target_touch_x_location_count'
 'time_between_touches_count' 'y_location.release_count'
 'difference.touch_buttonCenter_x_count' 'touchAccuracy_x_count']","0.993071865","1.008159717","1.012529095","28.57781233","32.87225442","0.343340813","0.389174361","0.383242428","1.169489039","1.212962492","1.217626867","0.037663971","PQ","Elastic Net"
