"#Features","AIC(Test)","AIC(Validation)","Adjusted R2(Validation)","BIC(Test)","BIC(Validation)","Features","MAE(Test)","MAE(Train)","MAE(Validation)","MAPE(Test)","MAPE(Validation)","R2(Test)","R2(Train)","R2(Validation)","RMSE(Test)","RMSE(Train)","RMSE(Validation)","StandardError(Validation)","Target","Algorithm"
"27","102.1286112","42.50033161","0.302737779","187.884654","150.9365749","[ 0  1  2  4  5  8 10 12 13 14 16 17 21 22 23 25 27 28 29 30 31 33 35 36
 37 39 42]","0.890206701","0.78412513","0.899470415","25.46060801","27.29712795","0.26074516","0.514430671","0.348767314","1.145632091","0.977070552","1.124857709","0.096863764","ATT","Random Forest"
"26","100.6919823","33.00642917","0.46938852","183.2718754","137.4265153","[ 0  1  4  5  6  8  9 11 12 14 16 17 18 20 21 24 25 27 28 29 30 31 33 34
 37 38]","0.920625455","0.76575541","0.863989578","25.07988401","24.33522609","0.367849676","0.612711953","0.503119323","1.147456751","0.965834591","1.09266078","0.074038683","PQ","Random Forest"
"21","69.39556621","51.03733202","0.372049724","136.0947106","135.3766324","[ 0  1  2  4  7  8 14 16 17 19 21 23 25 26 27 30 32 34 37 38 41]","0.846333058","0.822767951","0.876484287","23.95645523","28.21504345","0.342459172","0.4817999","0.40429167","1.080461868","1.009337745","1.07431032","0.086024512","ATT","SVM"
"24","64.61593923","27.11895607","0.498422381","140.8435328","123.5067279","[ 0  1  2  6  7  9 11 14 15 17 20 22 26 27 28 30 31 32 34 35 37 39 40 42]","0.858615194","0.772747147","0.85580229","23.70335232","24.2967479","0.47262776","0.607874237","0.527854809","1.048056694","0.971849056","1.060577585","0.056331543","PQ","SVM"
"19","81.13721845","71.75093883","0.339689234","141.4840634","148.0579249","[ 0  1  2  6  9 10 12 15 16 17 18 23 25 26 32 33 36 40 41]","0.896447561","0.838301519","0.886905884","25.54255604","29.17825372","0.281300918","0.449617698","0.370363817","1.129592049","1.040242101","1.106682084","0.117747454","ATT","Linear regression"
"24","79.14361549","52.94662921","0.487981994","155.3712091","149.334401","[ 0  1  2  3  4  5  6  7 10 12 13 14 15 19 20 22 23 24 25 27 30 34 36 42]","0.916259938","0.800141059","0.854560747","24.56844219","24.99532035","0.427516506","0.580857109","0.51802706","1.091962259","1.004787294","1.074503801","0.044009838","PQ","Linear regression"
"14","84.69593608","173.6374363","0.229203059","129.1620323","229.8636365","[ 0  1  7 12 14 17 22 26 28 30 31 32 35 39]","0.945876606","0.963368827","0.971255663","27.91234407","34.54970407","0.224082911","0.274598582","0.255587306","1.173696314","1.194226493","1.204707115","0.096886432","ATT","Lasso Regression"
"20","102.8039276","204.828907","0.333941746","166.3269222","285.1520502","[ 0  1  2  4  5  9 11 14 15 17 22 25 26 27 31 33 35 36 37 42]","1.000102668","1.011488167","1.016747792","28.20379512","32.32853538","0.315385625","0.379475945","0.366511832","1.194123239","1.22249915","1.228905505","0.060033274","PQ","Lasso Regression"
"18","83.51989513","139.2401369","0.296832511","140.6905903","211.5309658","[ 0  1  2  3  7 10 11 12 18 24 31 32 33 34 35 38 41 42]","0.906842036","0.922103828","0.929272424","26.25753946","32.60799844","0.263283146","0.346297019","0.327778757","1.143663827","1.133668034","1.14408724","0.076885569","ATT","Elastic Net"
"21","99.2928098","177.0123815","0.378963227","165.9919542","261.3516818","[ 0  1  6  8 10 11 12 13 16 18 19 20 21 22 24 25 29 30 35 38 41]","0.974407783","0.96302726","0.968297596","27.06114501","30.58249976","0.336373517","0.423249768","0.410850201","1.175676934","1.178613516","1.184676291","0.046901713","PQ","Elastic Net"
"16",NA,NA,"0.547489361024941",NA,NA,"PC1,PC4,PC6,PC7,PC15,PC17,PC22,PC29,PC30,PC31,PC33,PC36,PC42,PC43,PC44,PC47","0.807514869436567","0.7945916695629","0.7945916695629","21.517010786465","19.8108002294177","0.5679292539492","0.565020039532449","0.565020039532449","1.02041686830013","1.0072879362463","1.0072879362463","0.0892366126276786","PQ","MARS"
"31",NA,NA,"0.415084349298681",NA,NA,"PC1,PC2,PC3,PC4,PC6,PC7,PC8,PC10,PC12,PC13,PC14,PC18,PC19,PC21,PC23,PC24,PC25,PC27,PC28,PC29,PC30,PC31,PC33,PC34,PC35,PC36,PC41,PC42,PC45,PC46,PC49","0.894921317672944","0.83276909622509","0.83276909622509","25.3451236130159","21.6130320385455","0.390125320814561","0.459202074777369","0.459202074777369","1.09516384156819","1.02539182421352","1.02539182421352","0.129708141160889","ATT","MARS"
