"#Features","AIC(Test)","AIC(Validation)","Adjusted R2(Validation)","BIC(Test)","BIC(Validation)","Features","MAE(Test)","MAE(Train)","MAE(Validation)","MAPE(Test)","MAPE(Validation)","R2(Test)","R2(Train)","R2(Validation)","RMSE(Test)","RMSE(Train)","RMSE(Validation)","StandardError(Validation)","Target","Algorithm"
"2","46.64347701","23.24063419","0.37475628","52.99577647","31.27294851","[0 1]","0.876834935","0.818734471","0.887080188","25.35381757","28.54190093","0.283302936","0.474808578","0.377813706","1.128017649","1.016158707","1.099683129","0.103029244","ATT","Random Forest"
"2","71.40717461","23.42454344","0.487350325","77.75947408","31.45685776","[0 2]","0.982064872","0.807426236","0.873717121","26.82409661","25.55025093","0.297347282","0.567555938","0.489857169","1.209752445","1.020662794","1.10919743","0.080211926","PQ","Random Forest"
"2","37.22831434","54.24240015","0.389553625","43.5806138","62.27471447","[0 1]","0.84685946","0.859142459","0.876605279","24.29317539","29.25828348","0.320430005","0.425002512","0.392538693","1.098411774","1.063243081","1.087050846","0.07691757","ATT","SVM"
"2","29.68923254","37.29691311","0.517419725","36.04153201","45.32922743","[0 1]","0.86371483","0.825841803","0.849696746","23.50135062","25.60354654","0.444888951","0.549960495","0.51977953","1.075266409","1.041131101","1.068248605","0.068743476","PQ","SVM"
"3","56.13465828","83.88015655","0.36621619","65.66310747","95.92862803","[0 1 2]","0.892197741","0.899000936","0.906334012","25.33207034","31.44783787","0.252319083","0.383626894","0.370864971","1.152142587","1.100856701","1.10494756","0.076067145","ATT","Linear regression"
"2","82.13743317","186.1584946","0.34346126","88.48973264","194.1908089","[0 2]","1.062032815","1.012194172","1.015935146","28.83268423","31.49788786","0.253432751","0.358845475","0.346671718","1.246983223","1.242701249","1.247597487","0.069564823","PQ","Linear regression"
"2","60.69593608","149.6374363","0.251929259","67.04823554","157.6697506","[0 1]","0.945876606","0.963368827","0.971255663","27.91234407","34.54970407","0.224082911","0.274598582","0.255587306","1.173696314","1.194226493","1.204707115","0.096886432","ATT","Lasso Regression"
"2","66.8039276","168.828907","0.363398868","73.15622706","176.8612213","[0 1]","1.000102668","1.011488167","1.016747792","28.20379512","32.32853538","0.315385625","0.379475945","0.366511832","1.194123239","1.22249915","1.228905505","0.060033274","PQ","Lasso Regression"
"3","53.51989513","109.2401369","0.322811605","63.04834433","121.2886084","[0 1 2]","0.906842036","0.922103828","0.929272424","26.25753946","32.60799844","0.263283146","0.346297019","0.327778757","1.143663827","1.133668034","1.14408724","0.076885569","ATT","Elastic Net"
"3","60.40121465","131.1302881","0.419274704","69.92966385","143.1787596","[0 1 2]","0.968506462","0.949270158","0.956736458","26.88156712","30.15792916","0.347126905","0.437074179","0.423534303","1.166112711","1.16441357","1.172218304","0.043562014","PQ","Elastic Net"
"3",NA,NA,"0.598819826833705",NA,NA,"PC1,PC2,PC3","0.799804977960452","0.774067609390392","0.774067609390392","22.8734436290615","19.8051834962349","0.573250869033277","0.601733968527407","0.601733968527407","1.01421323673104","0.965383900807599","0.965383900807599","0.0791101405301836","PQ","MARS"
"3",NA,NA,"0.442913578939856",NA,NA,"PC1,PC2,PC3","0.882718812853807","0.842756972315578","0.842756972315578","24.774216340457","22.0205772910594","0.386254699177439","0.446979903181171","0.446979903181171","1.09185410672885","1.03764188127798","1.03764188127798","0.11170658412289","ATT","MARS"
