#Features,AIC(Test),AIC(Validation),Adjusted R2(Validation),BIC(Test),BIC(Validation),Features,MAE(Test),MAE(Train),MAE(Validation),MAPE(Test),MAPE(Validation),R2(Test),R2(Train),R2(Validation),RMSE(Test),RMSE(Train),RMSE(Validation),StandardError(Validation),Target,Algorithm
3,30.06908442,41.96246417,0.397155245,39.59753362,54.01093565,[0 1 2],0.845574951,0.85268174,0.877058079,24.18061881,29.0115224,0.354701387,0.443118642,0.401577089,1.070356493,1.046347935,1.077739559,0.072799083,ATT,Random Forest
3,27.18958559,-13.3349124,0.558715867,36.71803479,-1.286440923,[0 1 2],0.857763749,0.767863028,0.808204019,23.41240018,23.88238396,0.458822973,0.605237108,0.56195267,1.061685337,0.975150936,1.026554409,0.070548964,PQ,Random Forest
1,32.34069793,64.45929592,0.390070583,35.51684766,68.47545308,[0],0.868976178,0.883164501,0.887761332,24.60746081,30.34837824,0.331426712,0.407797801,0.391561853,1.089488354,1.078994013,1.084602849,0.069462961,ATT,SVM
1,31.40523921,42.09700762,0.524419758,34.58138894,46.11316478,[0],0.911362423,0.829178568,0.840856872,23.94531392,25.43503347,0.433111537,0.541761848,0.525582546,1.08661314,1.050582461,1.062504232,0.066116016,PQ,SVM
3,43.2842622,58.14415264,0.399681474,52.81271139,70.19262411,[0 1 2],0.86305425,0.86933239,0.875487951,24.28053957,29.99539165,0.304677896,0.42166298,0.404084788,1.111069177,1.066267222,1.071957845,0.089296236,ATT,Linear regression
3,39.31491686,44.21340846,0.532310805,48.84336606,56.26187994,[0 1 2],0.915493583,0.834154353,0.841203571,24.71422116,25.98247199,0.420450462,0.545360252,0.535741288,1.098680522,1.046473447,1.054184844,0.052261142,PQ,Linear regression
1,52.74945772,113.8386518,0.318527405,55.92560745,117.854809,[0],0.93895043,0.931958545,0.935234859,27.4353216,33.07268932,0.249717541,0.332033045,0.320193597,1.154145277,1.145937296,1.149380547,0.043380596,ATT,Lasso Regression
1,49.2124514,113.1904104,0.446505111,52.38860114,117.2065675,[0],0.962850601,0.943493337,0.945550581,27.00157231,30.03939379,0.373111755,0.455557809,0.447858399,1.142671003,1.145114964,1.147283043,0.027354111,PQ,Lasso Regression
2,48.40704154,92.19424572,0.35220957,54.75934101,100.22656,[0 2],0.907635967,0.909053794,0.913764699,26.18181537,31.9135468,0.27612633,0.369699942,0.35537725,1.133651252,1.113146576,1.118070554,0.053653094,ATT,Elastic Net
2,41.21123596,84.25605395,0.482623065,47.56353543,92.28836827,[0 2],0.931731454,0.89651859,0.90265068,25.90248824,28.49084653,0.407551324,0.495321018,0.485153025,1.11084,1.10255313,1.108392161,0.030559664,PQ,Elastic Net
3,NA,NA,0.594173285,NA,NA,"PC1,PC2,PC3",0.824407206,0.769826693,0.769826693,21.69277254,19.23497497,0.55131605,0.597121179,0.597121179,1.039314149,0.971538176,0.971538176,0.062919978,PQ,MARS
3,NA,NA,0.450571474,NA,NA,"PC1,PC2,PC3",0.847834053,0.83100893,0.83100893,23.69416115,21.57418363,0.421625506,0.454581901,0.454581901,1.058795544,1.029704743,1.029704743,0.112368034,ATT,MARS
