ATT,App,Cond,HQ,HQI,HQS,PQ,button_touch_x_location_count,button_touch_x_location_kurt,button_touch_x_location_mad,button_touch_x_location_max,button_touch_x_location_mean,button_touch_x_location_median,button_touch_x_location_min,button_touch_x_location_quantile,button_touch_x_location_skew,button_touch_x_location_std,button_touch_y_location_count,button_touch_y_location_kurt,button_touch_y_location_mad,button_touch_y_location_max,button_touch_y_location_mean,button_touch_y_location_median,button_touch_y_location_min,button_touch_y_location_quantile,button_touch_y_location_skew,button_touch_y_location_std,difference.touch_buttonCenter_x_count,difference.touch_buttonCenter_x_kurt,difference.touch_buttonCenter_x_mad,difference.touch_buttonCenter_x_max,difference.touch_buttonCenter_x_mean,difference.touch_buttonCenter_x_median,difference.touch_buttonCenter_x_min,difference.touch_buttonCenter_x_quantile,difference.touch_buttonCenter_x_skew,difference.touch_buttonCenter_x_std,difference.touch_buttonCenter_y_count,difference.touch_buttonCenter_y_kurt,difference.touch_buttonCenter_y_mad,difference.touch_buttonCenter_y_max,difference.touch_buttonCenter_y_mean,difference.touch_buttonCenter_y_median,difference.touch_buttonCenter_y_min,difference.touch_buttonCenter_y_quantile,difference.touch_buttonCenter_y_skew,difference.touch_buttonCenter_y_std,hit_rate,sessionNr,swipe_length.x_count,swipe_length.x_kurt,swipe_length.x_mad,swipe_length.x_max,swipe_length.x_mean,swipe_length.x_median,swipe_length.x_min,swipe_length.x_quantile,swipe_length.x_skew,swipe_length.x_std,swipe_length.y_count,swipe_length.y_kurt,swipe_length.y_mad,swipe_length.y_max,swipe_length.y_mean,swipe_length.y_median,swipe_length.y_min,swipe_length.y_quantile,swipe_length.y_skew,swipe_length.y_std,swipe_length_count,swipe_length_kurt,swipe_length_mad,swipe_length_max,swipe_length_mean,swipe_length_median,swipe_length_min,swipe_length_quantile,swipe_length_skew,swipe_length_std,target_touch_x_location_count,target_touch_x_location_kurt,target_touch_x_location_mad,target_touch_x_location_max,target_touch_x_location_mean,target_touch_x_location_median,target_touch_x_location_min,target_touch_x_location_quantile,target_touch_x_location_skew,target_touch_x_location_std,target_touch_y_location_count,target_touch_y_location_kurt,target_touch_y_location_mad,target_touch_y_location_max,target_touch_y_location_mean,target_touch_y_location_median,target_touch_y_location_min,target_touch_y_location_quantile,target_touch_y_location_skew,target_touch_y_location_std,time_between_touches_count,time_between_touches_kurt,time_between_touches_mad,time_between_touches_max,time_between_touches_mean,time_between_touches_median,time_between_touches_min,time_between_touches_quantile,time_between_touches_skew,time_between_touches_std,touch.duration_count,touch.duration_kurt,touch.duration_mad,touch.duration_max,touch.duration_mean,touch.duration_median,touch.duration_min,touch.duration_quantile,touch.duration_skew,touch.duration_std,touchAccuracy_count,touchAccuracy_kurt,touchAccuracy_mad,touchAccuracy_max,touchAccuracy_mean,touchAccuracy_median,touchAccuracy_min,touchAccuracy_quantile,touchAccuracy_skew,touchAccuracy_std,touchAccuracy_x_count,touchAccuracy_x_kurt,touchAccuracy_x_mad,touchAccuracy_x_max,touchAccuracy_x_mean,touchAccuracy_x_median,touchAccuracy_x_min,touchAccuracy_x_quantile,touchAccuracy_x_skew,touchAccuracy_x_std,touchAccuracy_y_count,touchAccuracy_y_kurt,touchAccuracy_y_mad,touchAccuracy_y_max,touchAccuracy_y_mean,touchAccuracy_y_median,touchAccuracy_y_min,touchAccuracy_y_quantile,touchAccuracy_y_skew,touchAccuracy_y_std,user_id,x_location.down_count,x_location.down_kurt,x_location.down_mad,x_location.down_max,x_location.down_mean,x_location.down_median,x_location.down_min,x_location.down_quantile,x_location.down_skew,x_location.down_std,x_location.release_count,x_location.release_kurt,x_location.release_mad,x_location.release_max,x_location.release_mean,x_location.release_median,x_location.release_min,x_location.release_quantile,x_location.release_skew,x_location.release_std,y_location.down_count,y_location.down_kurt,y_location.down_mad,y_location.down_max,y_location.down_mean,y_location.down_median,y_location.down_min,y_location.down_quantile,y_location.down_skew,y_location.down_std,y_location.release_count,y_location.release_kurt,y_location.release_mad,y_location.release_max,y_location.release_mean,y_location.release_median,y_location.release_min,y_location.release_quantile,y_location.release_skew,y_location.release_std
3,Spell,TinyIcons,3.25,3,3.5,5.25,1.277146906,-1.391470869,-0.203810878,14,-0.263727811,0,0,0,0.290651551,-0.240326027,1.277146906,-0.217055139,-0.46473832,14,-0.443197705,0,0,0,0.428951313,-0.56079778,1.277146906,-0.05346133,-1.067979596,-0.618606361,-1.07950704,-1.101378555,0,-1.001598662,-0.236993931,-1.012352567,1.277146906,1.001598662,-1.318493495,-0.245329192,-1.66288246,-1.634913493,0,-1.66816055,0.67448975,-0.990959357,-0.41655684,7,1.277146906,0.814273247,-0.439627778,-0.243573081,-1.034219432,-1.121032798,0,-1.121032798,1.379657655,-0.267601217,75,1.158230399,0.197202275,1.52240762,-1.334101658,-1.082411394,0,-1.082411394,1.091179746,0.579850404,1.277146906,0.504806015,0.758218123,0.223794351,-1.288205556,-1.145654869,0,-1.145654869,0.847145762,0.92824018,1.277146906,-1.050949784,-0.283901603,-0.376267086,-0.217055139,0,-2.954545455,0,0.102191529,-0.334866096,1.277146906,-0.504806015,-1.056592348,-0.608832214,-0.775601192,0,0,0,0.014573936,-1.139434522,1.277146906,-0.899818112,-2.20961659,-2.053215523,-2.391146146,1,0,1,-1.151293177,-2.173858517,1.277146906,-0.358942316,-1.170991815,3,-0.341724624,1,0,1,-0.904683519,-0.557011781,1.277146906,0.576023225,-0.338293371,-0.059948838,-0.421860812,-1.006961058,-0.250338505,-1.006961058,-0.77998362,-0.304191616,1.277146906,-0.418323522,0.011335125,0.378005704,0.875803346,1.19710367,0.223691429,1.19710367,0.210428394,-0.134806511,1.277146906,0.501130803,-0.125008532,-0.068061806,-0.407742772,-0.154442327,-0.77998362,-0.154442327,-0.990959357,-0.115222539,100,1.277146906,-0.08917785,0.066438871,-0.882954266,-0.092429768,0.436063446,-0.108704727,0.436063446,-0.587530392,0.184010563,1.277146906,0.161000479,1.067979596,0.504806015,-0.108704727,1.025961863,-1.146538413,1.025961863,-1.19710367,1.19710367,1.277146906,0.670429586,-0.788793758,-0.240326027,0.108704727,0.034011203,-0.300801465,0.034011203,-0.345159904,-0.277164566,1.277146906,-0.904943273,1.273495193,1.439987976,-1.045340484,-0.996264913,-1.358142081,-0.996264913,0.639350439,1.203760475
3.5,Spell,TinyIcons,3,3,3,3.75,1.482366156,-1.210471055,-0.246998273,14.5,-0.253681533,0,0,0,0.283901603,-0.267082444,1.482366156,-1.127124319,-0.246998273,14,-0.280531493,0,0,0,0.260376143,-0.331442751,1.482366156,-1.453824994,-1.237875376,-1.306994821,-1.127124319,-0.599593377,0,-0.608832214,-1.492153479,-1.358142081,1.482366156,-1.303200088,-1.699913024,-2.014780543,-1.975127926,-1.634913493,0,-1.66816055,-1.158230399,-1.839161246,-0.432504645,8,1.482366156,0.952152872,-0.806600578,0.350025875,-1.114982593,-0.728335447,0,-0.728335447,1.289353523,-0.784725006,82,0.610782366,1.050949784,0.40246954,-1.318493495,-1.183946836,0,-1.183946836,0.766880691,1.091179746,1.482366156,-0.666380445,1.045340484,-0.491972603,-1.303200088,-1.127124319,0,-1.127124319,0.580987048,0.898709522,1.482366156,-1.350041773,-0.223691429,-0.236993931,-0.170850798,0,-0.227272727,0,0.05346133,-0.283901603,1.482366156,-0.386716083,-1.170991815,-0.608832214,-0.899818112,0,0,0,0.072931704,-1.2519329,1.482366156,1.622711168,-0.899818112,0.029150969,-1.012352567,1,0,1,1.726041563,-0.595245191,1.482366156,-0.775601192,-0.530728065,2,-0.788793758,1,0,1,-0.980431058,-0.654297903,1.482366156,-1.039763884,-0.383228447,-0.314383253,-0.355490418,-0.610782366,0.159360303,-0.610782366,-0.076179256,-0.549463599,1.482366156,-0.833801651,-0.141345636,0.003238543,0.959693884,1.370462301,0.123376727,1.370462301,-0.446773288,-0.376267086,1.482366156,-1.183946836,-0.230337585,-0.085926874,-0.085926874,0.147890811,0.262051609,0.147890811,-0.056704786,-0.457534624,100,1.482366156,-0.372793252,-0.880565624,-0.650291609,0.642310136,0.840698616,1.56505054,0.840698616,-0.098936573,-1.151919863,1.482366156,0.762542255,0.030770965,2.027261673,1.472718806,1.408730987,-0.601582557,1.408730987,-0.059948838,0.243660794,1.482366156,-0.482854618,-0.011335125,-1.14878173,-0.421860812,-0.31608501,-0.840698616,-0.31608501,-0.154442327,-0.105447569,1.482366156,-1.013124493,1.554123173,1.012352567,-1.19710367,-1.158230399,-1.796900475,-1.158230399,0.647241046,1.622711168
2,Spell,Freezing,3,3,3,3.5,0.257027398,1.07950704,0.125008532,61.5,1.127124319,40,0,40,-1.788822471,0.167565563,0.257027398,0.583686094,0.092429768,56,1.097072229,31,0,31,-1.145654869,0.187305401,0.257027398,0.67448975,0.223691429,0.280531493,0.111963039,0.20792449,0.999999404,0.184010563,0.686737657,0.263727811,0.257027398,0.328023285,-0.063193522,0.094056092,-0.258326101,-0.05346133,5.96E-07,-0.037437337,0.227013253,0.050218436,0.838395198,9,0.257027398,-0.938347836,0.092429768,0.181303966,1.894644351,2.053215523,3.5,2.053215523,0.115404207,0.034715987,44,-0.348599263,0.131539126,0.703230452,0.944407911,0.468349209,68,0.468349209,-0.167565563,0.050218436,0.257027398,0.56079778,-0.866337861,1.03378423,1.788822471,1.805097466,127.8798264,1.805097466,-0.051286475,-0.888246741,0.257027398,1.599006666,0.856949367,0.577935756,1.062268754,45.22727267,-242.5,45.22727267,-1.839161246,1.295666408,0.257027398,0.501130803,0.243660794,0.566491909,0.134806511,40.68181813,0,40.68181813,0.436063446,0.411264561,0.257027398,0.736806039,-0.461133481,-0.149528084,-0.324607651,1,0,1,0.770009057,-0.338293371,0.257027398,-0.527003419,-0.105447569,4,-0.014573936,1,0,1,-0.568394032,-0.246998273,0.257027398,0.527003419,-0.703230452,0.154442327,0.622532575,-0.072931704,1.610745785,-0.072931704,1.310808469,-0.622532575,0.257027398,0.583686094,-0.815600467,0.227013253,0.379745466,0.22535203,1.904481182,0.22535203,1.114982593,-0.67448975,0.257027398,0.203810878,-1.133257954,-0.136440741,0.493800573,0.386716083,1.673061217,0.386716083,0.797665552,-0.94947858,100,0.257027398,0.662342199,-0.144617449,1.338054863,-0.775601192,-0.954573781,0.265404754,-0.954573781,1.244873388,-0.00161927,0.257027398,1.045340484,-0.027531049,0.73893195,-0.105447569,-0.01943245,-0.724264918,-0.01943245,-0.383228447,0.240326027,0.257027398,-0.86163412,1.045340484,1.303200088,0.56079778,0.418323522,0.707383536,0.418323522,0.06968492,1.1645874,0.257027398,-1.109784863,-0.515872943,1.6600757,1.821865131,0.591383392,1.417520691,0.591383392,1.131450361,-1.034219432
4.5,Spell,Normal,3.5,3.5,3.5,6,1.559563578,0.141345636,0.970010329,65,0.94947858,42.5,0,42.5,-1.326257189,0.985681551,1.559563578,-0.425403389,0.885347957,60,0.61468966,29,0,29,-0.824666909,0.919410045,1.559563578,0.386716083,0.453941683,0.358942316,0.534460088,0.904074617,5.96E-07,0.939361409,0.428951313,0.407742772,1.559563578,2.888083553,0.115222539,0.534460088,0.12121973,0.709464658,5.96E-07,0.682675353,2.451862738,0.317787682,0.393705542,10,1.559563578,-0.134531799,0.04697607,0.71512844,0.618606361,0.753908123,0,0.753908123,0.684360487,0.149652553,85,0.233664464,-0.699089462,-0.593313185,0.066438871,0.04697607,0,0.04697607,-0.345159904,-0.875803346,1.559563578,0.187305401,0.085926874,1.185888445,0.203810878,0.0178129,0,0.0178129,0.135551206,0.097371498,1.559563578,0.838395198,1.177444624,1.435436361,1.133257954,35.4545454,-19.09090915,35.4545454,1.062268754,0.904683519,1.559563578,1.230937467,0.847635806,1.139434522,0.880565624,52.72727267,0,52.72727267,0.914479174,0.899818112,1.559563578,1.6600757,-0.909570436,-0.048597189,-0.824666909,1,0,1,1.726972855,-0.719916794,1.559563578,-1.342029091,-1.121032798,1,-1.482366156,0,0,0,-0.626468408,-1.453824994,1.559563578,2.027261673,-0.634369372,0.407742772,0.599115888,-0.762542255,1.001598662,-0.762542255,2.173858517,-0.436063446,1.559563578,0.386716083,-0.36585901,-0.662342199,-0.352042751,0.390208429,-0.497462347,0.390208429,-1.158230399,-0.170850798,1.559563578,1.805097466,-0.762542255,-0.813344323,-0.12174525,0.038872241,-0.646295726,0.038872241,-1.512168682,-0.610782366,100,1.559563578,-0.618606361,0.634369372,1.108972929,-0.043734198,0.258701408,-0.690843202,0.258701408,0.304191616,0.482854618,1.559563578,-0.534460088,-0.131539126,0.011335125,0.250338505,-0.144617449,0.41091979,-0.144617449,0.321195799,-0.253681533,1.559563578,0.428951313,-0.341724624,1.048141012,0.707383536,1.259055362,-0.840698616,1.259055362,-0.81109231,-0.599115888,1.559563578,1.606684136,-0.338293371,1.990720462,0.55323375,0.405983775,-1.979110047,0.405983775,-1.606113873,-0.167565563
3.5,Spell,Normal,3.75,4,3.5,4.75,1.482366156,0.771233611,0.345159904,69,1.634913493,43.5,0,43.5,-1.382994127,0.362398496,1.482366156,-0.210428394,0.400714287,57.5,0.471966214,28.75,0,28.75,-0.564591834,0.411264561,1.482366156,-0.144617449,-0.00161927,-0.01943245,0.06968492,0.479522247,0.499999404,0.453941683,-0.223691429,-0.050218436,1.482366156,-0.618606361,0.004857826,-0.21539757,0.038554471,0.521430106,0.499999404,0.567815515,-0.497462347,-0.105447569,0.939361409,11,1.482366156,-0.666425768,0.184010563,0.571777764,1.699913024,1.9566588,6.5,1.9566588,0.334150983,0.283570451,82,-0.328023285,-0.338293371,-0.034011203,1.610745785,1.322365379,19.5,1.322365379,-1.017773666,-0.55323375,1.482366156,0.939361409,-0.929339485,0.390833111,1.9566588,2.140681374,27.93295545,2.140681374,-0.525039492,-0.84069682,1.482366156,2.338142735,1.391470869,0.786585504,0.686737657,35.4545454,-370,35.4545454,-2.20961659,1.482366156,1.482366156,1.587483855,0.321195799,0.880565624,0.919410045,52.49999995,0,52.49999995,1.133257954,0.634369372,1.482366156,1.54337829,-0.959693884,-0.248668042,-0.86163412,1,0,1,1.619067379,-0.843006504,1.482366156,-1.366332498,-1.07950704,1,-1.44456962,0,0,0,-0.666380445,-1.417520691,1.482366156,0.538199571,-1.034219432,-0.626468408,-0.040492786,-0.579850404,0.439627778,-0.579850404,-0.699089462,-0.929339485,1.482366156,-0.227013253,-1.097072229,-0.448563221,0.348599263,0.572204466,0.736806039,0.572204466,0.217055139,-1.07950704,1.482366156,-0.771233611,-1.103003052,-0.959693884,-0.260376143,-0.058326735,0.73893195,-0.058326735,-0.273800777,-1.1645874,100,1.482366156,0.314383253,-0.497462347,1.012352567,-0.059948838,0.085926874,-0.061571099,0.085926874,-0.027531049,-0.428951313,1.482366156,-0.300801465,-0.08917785,0.230337585,0.004857826,-0.12664067,0.16253255,-0.12664067,0.200505482,-0.17742684,1.482366156,-0.622532575,0.497462347,-0.098936573,-0.267082444,-0.453941683,-1.076611763,-0.453941683,0.157720555,0.411264561,1.482366156,2.313893474,-0.980431058,0.954573781,1.203760475,0.670429586,-1.34602463,0.670429586,-2.98106434,-0.432504645
3,Spell,Freezing,3.5,3.5,3.5,4.75,0.799893318,0.468349209,0.899818112,69,1.554123173,43.25,0,43.25,-1.622711168,1.273495193,0.799893318,0.190602273,0.213740593,48.5,0.341724624,27,0,27,-1.512168682,0.273800777,0.799893318,1.158230399,0.682643656,0.875803346,0.784381079,1.015445011,0.500000596,1.067979596,1.183946836,0.715726561,0.799893318,0.236993931,-0.147890811,0.082676807,-0.115515532,0.477403341,0.499999404,0.508098091,0.108704727,-0.034011203,0.501130803,12,0.799893318,-0.221156488,0.86163412,0.902007264,0.482854618,0.184010563,0,0.184010563,0.797814449,0.678247838,54,-0.027531049,-0.852283345,-1.217236591,0.439627778,0.773415557,0,0.773415557,-0.646295726,-1.121032798,0.799893318,-0.486496781,0.355490418,0.646259542,0.390208429,0.267082444,0,0.267082444,0.20010293,0.264195702,0.799893318,0.924363373,2.027261673,0.593313185,0.095682664,37.49999995,-298.1818182,37.49999995,-1.502085863,1.914505825,0.799893318,1.001598662,1.757624807,1.875503312,1.334101658,44.99999995,0,44.99999995,1.121032798,1.85702573,0.799893318,0.985681551,-0.650291609,-0.484674896,-0.558903779,1,0,1,0.907373353,-0.707383536,0.799893318,-0.300801465,-0.141345636,4,-0.51217701,0,0,0,-0.243660794,-0.280531493,0.799893318,0.797665552,-0.618606361,0.393705542,-0.134806511,-0.753908123,-0.164282136,-0.753908123,0.638334722,-0.167565563,0.799893318,1.2519329,-0.193901218,0.964839271,0.568394032,0.658314726,-0.815600467,0.658314726,0.843006504,0.436063446,0.799893318,0.390208429,-1.472718806,-0.141345636,-0.043734198,-0.18895358,0.766880691,-0.18895358,0.77998362,-1.073725483,100,0.799893318,-0.572204466,0.47921885,0.658314726,0.699089462,0.393705542,0.813344323,0.393705542,-0.527003419,0.530728065,0.799893318,-0.082676807,1.028706593,1.587483855,-0.014573936,-0.388461664,-0.76297305,-0.388461664,1.001598662,1.050949784,0.799893318,0.358942316,-0.914479174,0.18895358,1.334101658,0.831511464,0.562693794,0.831511464,-0.80212506,-1.121032798,0.799893318,1.578354533,-0.383228447,1.990720462,2.451862738,0.797665552,-0.050218436,0.797665552,-1.469571898,-0.400714287
4,Spell,Freezing,3,3.5,2.5,5.25,1.213846878,0.355490418,0.741061205,65,0.766880691,41,0,41,-1.805097466,0.762542255,1.213846878,-0.36585901,0.610782366,52.5,0.457534624,29,0,29,-1.334101658,0.545701242,1.213846878,0.47921885,0.233664464,0.257027398,0.280531493,0.413830755,1.499999404,0.423631436,0.425403389,0.190602273,1.213846878,0.300801465,0.996264913,0.77998362,1.055629608,0.326314992,5.96E-07,0.318751523,0.369323911,0.820125261,0.240326027,13,1.213846878,0.561252155,-0.066438871,1.505837731,0.021052051,0.133172641,0,0.133172641,1.047160892,0.168307409,73,-0.008096433,-0.446773288,-0.85461403,0.063193522,-0.016193397,0,-0.016193397,-0.425403389,-0.745329831,1.213846878,0.595245191,-0.304191616,1.182945346,0.059948838,0.187305401,0,0.187305401,0.010411406,-0.376820993,1.213846878,0.975207456,1.203760475,1.830444742,1.482366156,39.54545449,-108.5,39.54545449,1.121032798,1.326257189,1.213846878,0.662342199,2.2909929,2.080630933,2.173858517,48.63636358,0,48.63636358,0.736806039,2.053215523,1.213846878,-1.133257954,-2.109705611,-2.053215523,-1.935152569,1,0,1,-1.312912392,-2.027261673,1.213846878,-0.203810878,-0.260376143,4,-0.579850404,0,0,0,-0.187305401,-0.317787682,1.213846878,0.076179256,-0.187305401,0.294031478,-0.233664464,-0.290651551,-0.338293371,-0.290651551,-0.407742772,0.05346133,1.213846878,0.428951313,-0.80212506,0.167565563,0.144617449,0.328023285,-0.085926874,0.328023285,-0.260376143,-0.682643656,1.213846878,0.523286069,0.102191529,0.806600578,-0.519575937,0.038872241,-0.843006504,0.038872241,-0.475589405,0.446773288,101,1.213846878,-0.324607651,-0.105447569,1.012352567,0.610782366,0.538199571,0.265404754,0.538199571,-0.250338505,-0.287274941,1.213846878,0.157720555,0.072931704,0.312682406,1.127124319,0.964839271,-0.134326013,0.964839271,-1.017773666,0.102191529,1.213846878,-0.072931704,-0.197202275,0.217055139,-0.011335125,-0.063193522,-0.252009667,-0.063193522,0.024291422,-0.321195799,1.213846878,0.656539143,-0.037251799,-0.087552246,-0.072931704,-0.40246954,-0.285587866,-0.40246954,-0.514940275,-0.154442327
4.5,Spell,Normal,3.75,4.5,3,5.5,2.2909929,0.307585266,0.658314726,69,1.482366156,41.25,0,41.25,-0.545701242,0.724119705,2.2909929,0.079427612,0.583686094,68.5,0.715726561,27.25,0,27.25,-0.063193522,0.587530392,2.2909929,2.2909929,0.197202275,0.411264561,0.147890811,0.543847606,5.96E-07,0.555121775,1.622711168,0.193901218,2.2909929,0.04697607,0.072931704,0.164282136,0.212287191,0.806600578,5.96E-07,0.791929597,-0.050218436,0.056704786,1.023224841,14,2.2909929,0.176836293,0.063193522,1.359002021,0.686737657,0.484674896,1.5,0.484674896,0.914840069,0.170364067,106,-1.006961058,-0.310982463,-0.09730949,0.666380445,0.362398496,46,0.362398496,-0.22037207,-0.77998362,2.2909929,0.549463599,-0.471966214,1.402717033,0.654297903,0.885347957,98.53172078,0.885347957,0.332831753,-0.550886589,2.2909929,-0.610782366,0.397207475,0.939361409,1.210471055,37.9545454,0,37.9545454,-0.407742772,0.283901603,2.2909929,2.888083553,0.638334722,2.24844539,1.034219432,49.54545449,0,49.54545449,2.888083553,1.177444624,2.2909929,2.610389152,-0.749612082,0.762542255,-0.866337861,1,0,1,2.337359111,-0.144617449,2.2909929,-1.097072229,-1.426421296,1,-1.805097466,0,0,0,-0.428951313,-1.839161246,2.2909929,3.217753132,-0.766880691,0.383228447,0.486496781,0.108704727,0.954573781,0.108704727,3.217753132,-0.626468408,2.2909929,1.417520691,-0.784381079,0.471966214,0.317787682,0.328023285,0.788793758,0.328023285,1.280815729,-0.715726561,2.2909929,0.014573936,-0.753908123,-0.04697607,-0.014573936,-0.218713304,0.51217701,-0.218713304,0.482854618,-0.788793758,101,2.2909929,-0.072931704,0.428951313,1.875503312,0.144617449,-0.048597189,-0.551347695,-0.048597189,0.011335125,0.425403389,2.2909929,-0.050218436,0.934338717,1.788822471,0.428951313,0.602995583,-1.463992814,0.602995583,-0.131539126,0.934338717,2.2909929,-0.421860812,0.236993931,0.404226033,0.170850798,-0.12174525,-0.568394032,-0.12174525,-0.207118502,-0.021052051,2.2909929,2.02092805,-0.618606361,0.38497168,0.622532575,0.42009151,-1.295666408,0.42009151,-2.20589922,-0.439627778
2.5,Spell,TinyIcons,2.25,1.5,3,3,1.581800633,-0.970010329,-0.280531493,14.5,-0.386716083,0,0,0,0.411264561,-0.328023285,1.581800633,-0.184010563,-0.694960425,12,-0.686737657,0,0,0,0.504806015,-0.81109231,1.581800633,-0.719916794,-1.244873388,-1.193795073,-1.512168682,-1.328147285,0,-1.20710897,-0.719916794,-1.391470869,1.581800633,-1.453824994,-1.034219432,-1.139434522,-1.065779398,-0.845318891,0,-0.869468851,-1.366332498,-1.177444624,-0.618606361,15,1.581800633,1.285531257,-1.19710367,0.469685849,-0.468349209,-0.08917785,13.5,-0.08917785,1.411540876,-1.028151339,86,0.944407911,-0.996264913,0.684689222,-0.253681533,-0.369323911,47.5,-0.369323911,0.856949367,-0.880565624,1.581800633,0.964839271,-0.475589405,1.199487493,-0.47921885,-0.591383392,58.58754134,-0.591383392,0.767773981,-0.584294039,1.581800633,-0.085926874,-0.686737657,-0.597179421,-0.606884374,0,-7.045454545,0,0.421860812,-0.788793758,1.581800633,-0.944407911,-0.147890811,-0.222031444,-0.457534624,0,0,0,-0.161000479,-0.263727811,1.581800633,1.742646691,-1.170991815,-0.202157904,-1.170991815,1,0,1,1.775345124,-0.852283345,1.581800633,-1.310808469,-0.595245191,2,-0.939361409,1,0,1,-1.391470869,-0.899818112,1.581800633,-0.610782366,-0.317787682,0.102191529,-0.331442751,-1.028706593,-0.00161927,-1.028706593,0.098936573,-0.393705542,1.581800633,-0.310982463,-0.102191529,-0.034011203,0.610782366,0.815600467,-0.238659648,0.815600467,-0.504806015,-0.277164566,1.581800633,-0.475589405,0.076179256,0.128273145,-0.871060848,-1.14253917,-0.147890811,-1.14253917,0.428951313,-0.102191529,101,1.581800633,0.008096433,0.508488059,0.139710299,-0.904683519,-0.455737418,-0.312682406,-0.455737418,1.056592348,0.964839271,1.581800633,0.092429768,-0.610782366,-0.395455902,-0.797665552,-0.743193825,-0.126216147,-0.743193825,0.334866096,-0.411264561,1.581800633,-0.118483265,-0.508488059,-0.705305473,-0.549463599,-0.142981351,0.149528084,-0.142981351,0.004857826,-0.690843202,1.581800633,-0.752108194,0.530728065,0.703230452,-0.530728065,-0.618606361,-0.461133481,-0.618606361,0.432056234,0.393705542
5,Spell,Normal,3.5,4.5,2.5,5.5,2.080630933,0.990959357,0.210428394,69,1.699913024,42.25,0,42.25,-1.2519329,0.260376143,2.080630933,-0.085926874,0.741061205,67.5,0.875803346,29.5,0,29.5,-0.277164566,0.788793758,2.080630933,-0.670429586,-0.233664464,-0.246998273,-0.147890811,0.136111925,5.96E-07,0.156081231,-0.55323375,-0.287274941,2.080630933,-0.193901218,0.125008532,0.050218436,0.159485119,0.521430106,5.96E-07,0.567815515,-0.233664464,0.076179256,1.121032798,16,2.080630933,0.014053147,0.439627778,1.203931764,0.213740593,0.312682406,6,0.312682406,0.814657547,0.341823283,102,-0.871060848,-0.436063446,-0.314383253,1.108972929,0.694960425,67,0.694960425,-0.602995583,-0.806600578,2.080630933,0.358942316,-0.321195799,1.74507389,0.634369372,0.80212506,84.81155582,0.80212506,0.220616205,-0.436849437,2.080630933,-0.475589405,0.072931704,0.334866096,1.224058307,41.36363631,-1,41.36363631,-0.964839271,0.072931704,2.080630933,0.497462347,0.144617449,0.602995583,0.885347957,53.40909085,0,53.40909085,-0.197202275,0.223691429,2.080630933,2.140681374,-1.224058307,-0.307585266,-1.266242275,1,0,1,2.000663913,-1.006961058,2.080630933,-1.318493495,-1.151919863,1,-1.512168682,0,0,0,-0.606884374,-1.512168682,2.080630933,-0.432504645,-1.012352567,-0.662342199,-0.05346133,-0.161000479,0.638334722,-0.161000479,-0.066438871,-1.091179746,2.080630933,-1.139434522,-1.634913493,-0.758218123,0.297414767,0.455737418,1.945793194,0.455737418,0.273800777,-1.713811735,2.080630933,-0.407742772,-0.732564173,-0.508488059,-0.021052051,0.038872241,0.362398496,0.038872241,-0.376267086,-0.820125261,101,2.080630933,-0.141345636,-0.050218436,0.904683519,0.736806039,0.22037207,0.386716083,0.22037207,0.014573936,-0.167565563,2.080630933,-0.404226033,-0.151165758,-0.050218436,0.468349209,0.324607651,0.446255054,0.324607651,0.08917785,-0.304191616,2.080630933,-0.328023285,0.591383392,0.711548858,-0.085926874,0.17742684,-0.878181995,0.17742684,-0.0178129,0.527003419,2.080630933,0.590500059,-1.230937467,-0.253681533,0.94947858,0.223691429,1.145654869,0.223691429,-0.328832923,-1.288205556
