sessionNr,App,Size,user_id,x_location.down_mean,y_location.down_mean,touch.duration_mean,swipe_length_mean,swipe_length.x_mean,swipe_length.y_mean,button_touch_x_location_mean,button_touch_y_location_mean,target_touch_x_location_mean,target_touch_y_location_mean,time_between_touches_mean,x_location.release_mean,y_location.release_mean,difference.touch_buttonCenter_x_mean,difference.touch_buttonCenter_y_mean,touchAccuracy_mean,touchAccuracy_x_mean,touchAccuracy_y_mean,x_location.down_median,y_location.down_median,touch.duration_median,swipe_length_median,swipe_length.x_median,swipe_length.y_median,button_touch_x_location_median,button_touch_y_location_median,target_touch_x_location_median,target_touch_y_location_median,time_between_touches_median,x_location.release_median,y_location.release_median,difference.touch_buttonCenter_x_median,difference.touch_buttonCenter_y_median,touchAccuracy_median,touchAccuracy_x_median,touchAccuracy_y_median,button_touch_x_location_skew,button_touch_y_location_skew,difference.touch_buttonCenter_x_skew,difference.touch_buttonCenter_y_skew,swipe_length_skew,swipe_length.x_skew,swipe_length.y_skew,target_touch_x_location_skew,target_touch_y_location_skew,time_between_touches_skew,touch.duration_skew,touchAccuracy_skew,touchAccuracy_x_skew,touchAccuracy_y_skew,x_location.down_skew,x_location.release_skew,y_location.down_skew,y_location.release_skew,x_location.down_kurt,y_location.down_kurt,touch.duration_kurt,swipe_length_kurt,swipe_length.x_kurt,swipe_length.y_kurt,button_touch_x_location_kurt,button_touch_y_location_kurt,target_touch_x_location_kurt,target_touch_y_location_kurt,time_between_touches_kurt,x_location.release_kurt,y_location.release_kurt,difference.touch_buttonCenter_x_kurt,difference.touch_buttonCenter_y_kurt,touchAccuracy_kurt,touchAccuracy_x_kurt,touchAccuracy_y_kurt,button_touch_x_location_quantile,button_touch_y_location_quantile,difference.touch_buttonCenter_x_quantile,difference.touch_buttonCenter_y_quantile,swipe_length_quantile,swipe_length.x_quantile,swipe_length.y_quantile,target_touch_x_location_quantile,target_touch_y_location_quantile,time_between_touches_quantile,touch.duration_quantile,touchAccuracy_quantile,touchAccuracy_x_quantile,touchAccuracy_y_quantile,x_location.down_quantile,x_location.release_quantile,y_location.down_quantile,y_location.release_quantile,x_location.down_std,y_location.down_std,touch.duration_std,swipe_length_std,swipe_length.x_std,swipe_length.y_std,button_touch_x_location_std,button_touch_y_location_std,target_touch_x_location_std,target_touch_y_location_std,time_between_touches_std,x_location.release_std,y_location.release_std,difference.touch_buttonCenter_x_std,difference.touch_buttonCenter_y_std,touchAccuracy_std,touchAccuracy_x_std,touchAccuracy_y_std,button_touch_x_location_mad,button_touch_y_location_mad,difference.touch_buttonCenter_x_mad,difference.touch_buttonCenter_y_mad,swipe_length_mad,swipe_length.x_mad,swipe_length.y_mad,target_touch_x_location_mad,target_touch_y_location_mad,time_between_touches_mad,touch.duration_mad,touchAccuracy_mad,touchAccuracy_x_mad,touchAccuracy_y_mad,x_location.down_mad,x_location.release_mad,y_location.down_mad,y_location.release_mad,x_location.down_max,y_location.down_max,touch.duration_max,swipe_length_max,swipe_length.x_max,swipe_length.y_max,button_touch_x_location_max,button_touch_y_location_max,target_touch_x_location_max,target_touch_y_location_max,time_between_touches_max,x_location.release_max,y_location.release_max,difference.touch_buttonCenter_x_max,difference.touch_buttonCenter_y_max,touchAccuracy_max,touchAccuracy_x_max,touchAccuracy_y_max,x_location.down_min,y_location.down_min,touch.duration_min,swipe_length_min,swipe_length.x_min,swipe_length.y_min,button_touch_x_location_min,button_touch_y_location_min,target_touch_x_location_min,target_touch_y_location_min,time_between_touches_min,x_location.release_min,y_location.release_min,difference.touch_buttonCenter_x_min,difference.touch_buttonCenter_y_min,touchAccuracy_min,touchAccuracy_x_min,touchAccuracy_y_min,x_location.down_count,y_location.down_count,touch.duration_count,swipe_length_count,swipe_length.x_count,swipe_length.y_count,button_touch_x_location_count,button_touch_y_location_count,target_touch_x_location_count,target_touch_y_location_count,time_between_touches_count,x_location.release_count,y_location.release_count,difference.touch_buttonCenter_x_count,difference.touch_buttonCenter_y_count,touchAccuracy_count,touchAccuracy_x_count,touchAccuracy_y_count,hit_rate,UserId,Session,PQ,ATT,HQI,HQS,HQ,IconSize
1,Spell,TinyIcons,190,653.1,418.475,4.3,332.8578249,208.3,235.925,5.775,3.45,5.32954494,9.0795455,3.2,575.15,654.4,28.1,4.35,-3.854666667,0.346666667,-0.286666667,720.75,503.25,1,250.6558527,113,193.25,7.25,2,0,12.5,1,608.25,712.25,5.5,2.5,-0.022222222,0.633333333,-0.033333333,-0.006045085,0.971269914,3.132810976,2.32909455,0.524684079,1.113025356,0.551373029,1.162221518,0.039218491,2.192226021,2.996853922,-2.910065274,-2.86094543,-1.808616799,-1.061694357,-0.516091984,-0.629508833,-2.240118977,0.143451234,-1.384945333,8.873306167,-1.024735835,0.412998683,-1.182226472,-1.968608996,0.538855174,0.958325945,-1.837393838,4.082995284,-0.923468785,6.431833929,10.44579717,5.123207804,7.514921546,12.36527561,3.422822404,7.25,2,5.5,2.5,250.6558527,113,193.25,0,12.5,1,1,-0.022222222,0.633333333,-0.033333333,720.75,608.25,503.25,712.25,242.1982985,170.8904293,8.150556972,274.6522796,209.6168434,209.4221545,5.559427744,4.035695988,7.464018561,8.772372726,4.969379925,196.3326326,101.9429149,61.06394405,5.657086846,11.07186595,8.996649149,0.91462452,5.1975,3.4,37.37,3.64,233.3592492,170.91,176.86,6.226135754,8.17159095,3.42,4.71,6.458266667,3.521333333,0.619333333,187.81,162.735,150.5825,76.62,938.5,582,33,828.5555202,724.5,587.5,13.5,14,25.22727,22.95455,18,840.5,734,254.5,21.5,0.84,13.93333333,0.866666667,122,135,0,0,0,0,0,0,-2.954545,0,0,214,307,0,0,-39.94222222,-33.93333333,-2.866666667,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0.55,190,1,2,3.5,5.5,3.5,4.5,TinyIcons
2,Spell,Normal,190,528.5675676,401.9594595,1.27027027,401.083714,241.8648649,287.1351351,41.86486486,31.71621622,39.71375927,55.19164568,5.72972973,523.7027027,678.6621622,10.51351351,8.337837838,-0.059674573,0.196138996,-0.093822394,590,410,0,425.0417627,234.5,268,41,31.5,43.63636,53.18182,1,509,685.5,9.5,7,-0.015510204,0.171428571,-0.1,0.214613059,-0.460751088,1.014222214,1.722416676,-0.332819362,0.51835421,0.16833222,-2.94769723,4.307344344,2.222944973,4.833959044,-1.291256633,0.214613059,-0.460751088,-0.020274244,0.019426244,-0.115280873,-5.340324034,-1.505173558,-0.980467477,26.05479746,-0.763584764,-0.51738707,-1.02690851,-0.426457182,1.211775029,13.06546843,23.20588338,4.188685079,-1.095120443,30.94172848,0.815568557,4.494710009,0.793130952,-0.426457182,1.211775029,41,31.5,9.5,7,425.0417627,234.5,268,43.63636,53.18182,1,0,-0.015510204,0.171428571,-0.1,590,509,410,685.5,311.1797927,136.0954719,3.245926068,134.2355011,145.1418199,132.0203924,11.15711572,10.40335185,21.5841584,22.13931178,9.28454106,199.4503022,50.81475809,7.701448715,6.918226786,0.098501011,0.318774735,0.297238624,8.96201607,7.870708546,5.826880935,5.185536888,109.6940808,116.7531045,111.2812272,13.46078681,10.92622381,6.387143901,1.548575603,0.077680416,0.256057602,0.224877387,275.1738495,170.018992,112.4200146,20.81738495,965,616.5,19,619.944554,536,528.5,66.5,53.5,65,173,35,860.5,712.5,31.5,34.5,0.040816327,0.9,0.528571429,75,161.5,0,129.3029389,26,81,23,0.5,-61.5,30.90909,0,155,390,0.5,0.5,-0.331428571,-0.342857143,-0.985714286,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,0.972972973,190,2,5.25,6.5,4,5,4.5,Normal
3,Spell,TinyIcons,190,657.462963,379.7592593,1.888888889,330.49896,190.2592593,259.6481481,2.833333333,2.092592593,2.861952667,5.319865556,6.962962963,571.7592593,639.4074074,8.962962963,4.481481481,-0.002304527,1.096296296,-0.113580247,794.5,432,1,298.0037751,172.5,250,0,0,0,0,1,633.5,628.5,8.5,4.5,0.08,1.133333333,-0.2,1.38066098,1.768634711,0.094107327,-0.165959515,0.314390437,1.052451567,0.34684181,1.860219223,1.240017003,4.386377088,4.64993404,-0.171930429,-0.342852258,0.048781154,-1.103504925,-0.692724082,-0.72646882,-0.165334919,0.241530863,-1.01021854,23.06734394,-1.067905456,0.994717526,-1.331408296,0.31685115,1.797279153,2.427383077,-0.079698004,20.69177902,-0.67492857,-0.580978289,-1.210056873,-1.45965689,0.023880098,-0.89201134,-1.388341174,0,0,8.5,4.5,298.0037751,172.5,250,0,0,1,1,0.08,1.133333333,-0.2,794.5,633.5,432,628.5,201.8049289,134.0577065,3.954873657,173.0623011,111.7519033,152.6165264,4.829795345,4.066838304,5.308077783,8.744097495,18.65987361,155.699808,63.10202926,5.323976835,2.517177454,0.903404026,0.859603036,0.685581621,3.987654321,3.144032922,4.480109739,2.241426612,153.7643667,83.1042524,131.8943759,4.027933383,7.487218189,9.492455418,1.777777778,0.683054412,0.697942387,0.593324188,167.6337449,131.3223594,116.3223594,50.40877915,857,504,21,710.3761328,478,525.5,14.5,13.5,17.04545,25.68182,95,779.5,731.5,17.5,8,1.8,2.333333333,1,163.5,140.5,0,82.92466461,29.5,69,0,0,0,0,0,248,512.5,0.5,0,-2.022222222,-0.4,-1.066666667,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,0.296296296,190,3,1.5,2.5,3.5,2.5,3,TinyIcons
4,Spell,Normal,190,552.797619,374.5952381,2.476190476,419.8715747,229.797619,310.9047619,35.33333333,31.29761905,32.3701296,50.16233833,6.880952381,510.3809524,685.5,9.178571429,8.880952381,0.027507289,0.077891156,-0.087755102,538.75,357.5,1,443.7533887,201.25,322.25,36.75,29.5,33.40909,52.5,1,488.5,684.75,7,7.75,0.017142857,0.064285714,-0.157142857,-0.712903316,-0.365723326,1.716367062,1.827239299,-0.122433322,0.405745302,-0.122383057,-0.277493178,-1.424334039,4.093369019,5.729245049,1.174927235,0.458280834,-0.238603523,0.099255879,0.020018954,0.091723913,0.224557926,-1.057415882,-1.301954604,34.80036756,-0.186064511,-1.033363914,-1.303954628,1.331300447,1.107251383,-0.389673673,3.676274015,18.52418847,-0.932777768,-0.735524906,3.082712105,5.799643506,3.465644213,0.925078988,1.621397166,36.75,29.5,7,7.75,443.7533887,201.25,322.25,33.40909,52.5,1,1,0.017142857,0.064285714,-0.157142857,538.75,488.5,357.5,684.75,251.8612921,142.5997827,8.178610101,158.4266701,178.7780358,143.5795113,13.10588523,11.89745798,15.35954137,15.62538312,16.83666496,211.988173,12.30209183,7.560988957,7.141265793,0.094244511,0.333020961,0.31574844,9.849206349,9.216553288,5.539115646,5.024943311,124.0079554,155.0782313,123.4421769,12.29591854,10.81787183,8.843537415,3.26984127,0.063324309,0.256430191,0.246161322,213.5833333,178.0419501,122.4659864,10.14285714,952.5,592,52,783.6073634,611,552,62,59.5,64.54546,81.36364,94,920.5,710.5,35.5,38,0.367346939,1.014285714,0.7,71,138.5,0,77.88452991,8,75,0,0,0,0,0,144.5,663.5,1,0,-0.159387755,-0.714285714,-1.085714286,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,0.952380952,190,4,4.5,6,5,5,5,Normal
5,Spell,TinyIcons,190,587.4714286,343.4142857,1.428571429,358.4568005,222.0714286,245.6714286,3.928571429,3.271428571,4.383117229,9.5779226,3.971428571,598.6857143,589.0857143,13.77142857,5.514285714,-3.281269841,-0.441904762,-0.312380952,664.5,317.5,1,314.1273627,150,204.5,0.5,0.5,0,9.772727,1,612,715.5,6.5,4,-0.346666667,0.6,-0.266666667,0.974017865,0.772855727,5.794149541,1.509840661,0.282759279,0.644251095,0.746411061,1.121270032,0.348464048,5.759627925,4.408004812,-5.877516436,-5.65614397,1.247575724,-0.73625216,-0.201235651,0.289780597,-0.648710643,-0.945240567,-1.370866818,22.01324705,-1.294830967,-0.844997345,-0.329247913,-0.375451636,-0.957710251,0.108139233,-1.433744666,33.68418712,-0.647756279,-1.457251962,33.99573326,2.082245065,34.68239771,32.92182205,3.457186631,0.5,0.5,6.5,4,314.1273627,150,204.5,0,9.772727,1,1,-0.346666667,0.6,-0.266666667,664.5,612,317.5,715.5,323.4024979,136.8937698,3.012578672,208.1282677,204.1426168,144.9752993,4.960346965,4.013475202,7.616493867,9.839676636,14.74984689,172.1103479,168.9854887,41.64173932,4.981562645,16.18944816,5.839265011,0.947203856,4.179591837,3.554285714,14.2522449,3.81877551,186.0090227,179.3102041,117.3869388,6.397031958,8.756957806,5.152653061,1.510204082,5.39261678,2.01229932,0.656544218,271.7518367,139.9983673,121.2212245,155.435102,931,591.5,17,718.5332282,691,553,14.5,11.5,23.40909,27.95455,88,868.5,734,251.5,21.5,1.377777778,3.133333333,2.866666667,26,173,0,0,0,0,0,0,-5.227273,0,0,213.5,306,1,0.5,-96.12888889,-33.53333333,-2.066666667,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,0.542857143,190,5,4,4.5,4.5,2.5,3.5,TinyIcons
6,Spell,Normal,190,514.7826087,413.2608696,2,441.084171,311.6304348,270.076087,34.51086957,28.97826087,30.22233167,50.52470348,6.913043478,516.3043478,683.3369565,9.445652174,10.05434783,0.026051464,-0.015217391,-0.163043478,588,432.5,1,409.5032537,315.25,244.75,36.75,29.75,31.59091,46.59091,2,510.25,681.25,8.5,8,0.00122449,0.05,-0.15,-0.728905939,0.042836845,1.499352973,0.687579632,0.577366354,0.566292192,0.137175881,-2.106120703,4.894503752,3.658641482,4.506537435,2.378561268,-0.790475051,0.311711466,-0.140603503,-0.019563857,-0.120956229,0.252559727,-1.247514905,-1.232311168,20.19197314,0.141110981,-0.284567249,-1.119382942,0.601397366,0.408109447,9.025383068,30.27372445,14.15530687,-0.9268339,-0.002681262,2.800933917,-0.482718364,7.337887433,0.834272882,0.163087864,36.75,29.75,8.5,8,409.5032537,315.25,244.75,31.59091,46.59091,2,1,0.00122449,0.05,-0.15,588,510.25,432.5,681.25,297.902886,144.041882,5.509587603,210.4182311,218.7794789,146.4802212,12.12503797,11.83964926,23.30815718,28.27036545,15.77455911,213.3645675,18.34667828,7.697927759,7.484968835,0.14278938,0.350126665,0.320806468,9.444706994,9.133270321,5.653591682,6.324669187,162.124955,178.7391304,124.9120983,16.1514013,13.04678669,8.584120983,2.434782609,0.088398596,0.271199028,0.251863354,256.7457467,178.4565217,123.5964083,14.45321361,973,650.5,30,991.2236125,860.5,554.5,60,58.5,62.27273,220.5,84,938,731,37,29.5,0.619183673,0.714285714,0.671428571,56,153.5,0,9.656603958,3.5,9,0,0,-77.5,0,0,89.5,647,1,0,-0.171428571,-1.057142857,-0.842857143,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0.956521739,190,6,4.75,5.5,4.5,4,4.25,Normal
7,Spell,TinyIcons,190,528.3285714,387.2,0.942857143,329.7735366,176.1285714,249.2857143,3,2.685714286,2.577922171,8.422078,3.057142857,478.0857143,636.4857143,5.728571429,7.214285714,0.315555556,0.12,-0.177142857,640.5,378,1,330.5862217,117,250.5,0,0,0,0,1,529.5,711,5,5.5,0.213333333,0.2,-0.466666667,1.431661723,1.607701965,0.906760169,0.727561208,0.106292743,1.136449271,0.377615358,1.04919267,0.344727718,5.457149617,2.389640049,0.360702245,0.046191417,0.313765608,-0.605077242,-0.2964627,-0.124185208,-1.307990333,-0.813883238,-0.621594659,9.60842402,-1.370902659,0.246307892,-0.828162294,0.808250149,1.554753632,0.449598672,-1.567734456,30.8482435,-0.834301244,1.240500165,0.869006294,-0.153170728,0.761292243,-0.308422112,-0.371672171,0,0,5,5.5,330.5862217,117,250.5,0,0,1,1,0.213333333,0.2,-0.466666667,640.5,529.5,378,711,258.5617159,131.9861401,0.937545517,178.7852606,143.3812966,165.6814043,4.449058063,4.078432719,4.339219624,9.194091035,11.63398383,198.3679174,115.1580427,3.900118507,4.737655343,0.920058727,0.925287449,1.148564646,3.428571429,3.083265306,2.988571429,3.857142857,154.5624585,115.997551,142.1632653,3.565862816,8.6627088,4.558367347,0.53877551,0.673015873,0.760380952,0.923863946,215.8253061,166.7069388,106.9028571,95.10285714,913.5,615,5,628.9691964,514,588.5,14.5,13.5,14.77273,24.77273,68,804,740,16,19,2.453333333,2.133333333,2.533333333,36,135,0,65.29931087,21.5,25,0,0,-5.227273,0,0,91,285.5,0,0.5,-1.791111111,-2.066666667,-2.066666667,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,0.485714286,190,7,1.5,3.5,3,3.5,3.25,TinyIcons
8,Spell,TinyIcons,190,465.0178571,331.8928571,2.642857143,377.5289593,202.0357143,293.875,2.75,3.696428571,1.534090707,9.5373375,7,488.1607143,625.7678571,6.232142857,7.642857143,0.712063492,-0.597619048,-0.619047619,448.75,307,1,355.4265114,167,236,0,0,0,0,2,530.5,715.75,5.25,5.5,0.32,-0.6,-0.4,1.257471926,0.691818849,0.443628938,0.667529216,0.530609751,1.788983209,0.433326647,1.831821617,0.309566153,2.468931139,5.244946742,1.182907982,0.050958259,-0.056678958,0.412024605,-0.129272811,0.681697425,-1.045562226,-0.209449677,-0.538978954,27.65734028,-0.410799102,3.693923109,-1.299036266,0.221493441,-1.16693511,4.481622701,-1.849559072,4.788056961,-1.276849899,-0.621019031,-0.870089911,-0.753989652,1.423993552,-1.125242087,-0.377952163,0,0,5.25,5.5,355.4265114,167,236,0,0,2,1,0.32,-0.6,-0.4,448.75,530.5,307,715.75,217.1580105,136.7424151,9.503271506,199.7897068,167.8852082,166.2710652,4.228431107,4.591335007,4.258907094,10.71810971,14.58563474,246.1000268,156.5304066,4.30004768,6.414476023,1.313726544,0.821217032,1.187847539,3.535714286,4.153061224,3.658163265,5.566326531,164.2327169,115.9005102,148.6785714,2.698863331,10.21857589,9.428571429,3.479591837,0.955759637,0.693027211,0.978911565,170.8762755,213.8520408,106.8265306,137.1721939,916,603.5,51,835.3503756,702.5,599.5,13.5,13,15.22727,26.59091,50,914,746,15.5,22,4.053333333,0.8,2.066666667,128,136,0,102.3291259,8.5,101.5,0,0,-6.590909,0,0,79.5,303.5,0,0.5,-1.555555556,-2.066666667,-2.933333333,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,0.464285714,190,8,1.75,3,3.5,5,4.25,TinyIcons
9,Spell,Normal,190,538.254717,427.2075472,2.849056604,398.2688062,257.245283,259.6037736,37.69811321,30.31132075,31.27015413,63.67324189,6.679245283,513.4056604,683,29.89622642,10.04716981,-0.093629713,0.664935065,-0.099656947,567.5,415,1,404.4007913,259,278,39,32.5,30,51.81818,3,500,688,7.5,9,0.000612245,0.114285714,-0.071428571,-0.811546796,-0.468786387,4.998655665,0.723805768,-0.041165633,0.460463743,0.035609973,-3.667591456,4.402711425,3.106620006,3.231489743,-3.506327195,4.939441244,-0.234855722,-0.070946828,-0.12347319,-0.160032999,-3.46887165,-1.282440992,-1.014620717,10.37670197,-0.215802224,-0.370208792,-0.980314187,1.521027504,-0.266822452,21.31113957,19.93363423,10.38179484,-0.750912488,14.11324433,24.10758332,-0.029979954,31.24643988,23.70916205,-0.69183456,39,32.5,7.5,9,404.4007913,259,278,30,51.81818,3,1,0.000612245,0.114285714,-0.071428571,567.5,500,415,688,278.7136424,143.9789125,5.558763789,155.6657708,174.9195041,138.4394952,12.61460525,12.98232023,34.91411852,65.02539732,11.50212954,169.3933479,37.56494376,106.6256192,7.340132145,1.397751795,2.801959773,0.340611511,9.488786045,10.55784977,40.10217159,5.996796013,125.9312509,144.6746173,115.5279459,19.88578969,26.9737537,7.152011392,3.185475258,0.374286884,1.055084538,0.283391511,243.1082236,140.5229619,119.2160911,20.73584906,979.5,680,26,788.1969931,733.5,506.5,62.5,52.5,85.90909,382.5,57,823.5,717.5,595.5,29,5.155338168,15.46753247,0.5,79.5,166,0,24.62722071,2,14.5,0,0,-170.5,0,0,133.5,500.5,1,0,-8.637712936,-0.5,-0.828571429,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,0.886792453,190,9,5.25,6,4.5,4,4.25,Normal
10,Spell,Normal,190,548.0803571,393.5714286,3.160714286,439.2766814,265,301.1875,37.21428571,30.92857143,34.98214318,57.65178607,4.875,514.8303571,682.2410714,11.11607143,11.19642857,0.013206997,0.099744898,-0.100510204,601,389.75,0,449.3088079,260.5,301,38.25,30.25,32.272725,57.272725,1,519.25,698,9.75,10,0.002040816,0.135714286,-0.135714286,-0.624449843,0.071517211,1.299925773,0.488603913,-0.203497533,0.084637626,-0.028007025,0.60113829,0.857197318,3.14013115,4.454442386,-1.50778722,-0.230096858,0.373016517,-0.35844553,0.015576784,-0.02499173,-4.471138134,-0.870259268,-1.303674008,20.17299137,-0.326460708,-1.359727708,-1.104667319,0.461557146,-0.153720009,0.066661493,4.506069537,10.16994226,-0.699242583,20.75547835,2.450537961,-0.766546735,8.943106592,0.81393197,-0.397978623,38.25,30.25,9.75,10,449.3088079,260.5,301,32.272725,57.272725,1,0,0.002040816,0.135714286,-0.135714286,601,519.25,389.75,698,251.6583864,154.6927873,9.26729692,143.6915314,174.6465522,150.8416558,13.50045694,14.07396971,23.98640637,24.94952905,10.10141754,191.4106788,81.20070483,8.456837509,7.571884941,0.165959983,0.388532189,0.375116203,10.82142857,11.06887755,6.517219388,6.460459184,115.7831167,151.6607143,129.1160714,18.7451881,17.20048714,5.991071429,4.406887755,0.105458142,0.309447886,0.301986152,211.5153061,157.6221301,136.75,36.61128827,986.5,657,49,728.4438894,532,545,62.5,62,97.72727,159.5,48,910,741.5,39.5,27.5,0.465306122,1.128571429,0.771428571,67,138.5,0,96.00130207,0.5,4,0,0,-9.090909,0,0,136,279.5,0,0,-0.773877551,-1.085714286,-0.785714286,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,0.928571429,190,10,5.25,6,4.5,5,4.75,Normal
