"","User.ids","VP.numbers"
"1",190,611
"2",191,612
"3",192,613
"4",193,614
"5",194,615
"6",195,616
"7",196,617
"8",197,618
"9",198,619
"10",199,620
"11",200,621
"12",201,622
"13",202,623
"14",203,624
"15",204,625
"16",205,626
"17",206,627
"18",207,628
"19",208,629
"20",209,630
"21",210,631
"22",211,632
"23",212,633
"24",213,634
"25",214,635
"26",215,636
"27",216,637
"28",217,638
"29",218,639
"30",219,640
"31",220,641
"32",221,642
"33",222,643
"34",223,644
"35",224,645
"36",225,646
"37",226,647
"38",227,648
"39",228,649
"40",229,650
"41",230,651
"42",231,652
"43",232,653
"44",233,654
"45",234,655
"46",235,656
"47",236,657
"48",237,658
"49",238,659
"50",239,660
"51",240,661
"52",241,662
"53",242,663
"54",243,664
"55",244,665
"56",245,666
"57",246,667
"58",247,668
"59",248,669
"60",249,670
"61",250,671
