,UserId,Condition,VP,Session,PQ,ATT,HQI,HQS,HQ,PQ.levels,PQ.2levels,PQ.2levels.split.at.4,PQ.2BalancedClasses,HQ.levels,HQ.2levels,HQ.2levels.split.at.4,HQ.2BalancedClasses,ATT.levels,ATT.2levels,IconSize,Position,Handedness,HandUsed,DominantHand,,sessionNr
7,190,4,611,1,2,3.5,5.5,3.5,4.5,low,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,RIGHT,Right,dominant,,1
8,190,5,611,2,5.25,6.5,4,5,4.5,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Hand,RIGHT,Right,dominant,,2
9,190,6,611,3,1.5,2.5,3.5,2.5,3,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,RIGHT,Right,dominant,,3
12,190,9,611,4,4.5,6,5,5,5,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Stand,RIGHT,Left,non-dominant,,4
5,190,2,611,5,4,4.5,4.5,2.5,3.5,medium,STRONG,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,TinyIcons,Table,RIGHT,Right,dominant,,5
10,190,7,611,6,4.75,5.5,4.5,4,4.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Table,RIGHT,Left,non-dominant,,6
2,190,10,611,7,1.5,3.5,3,3.5,3.25,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,RIGHT,Left,non-dominant,,7
4,190,12,611,8,1.75,3,3.5,5,4.25,low,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,RIGHT,Left,non-dominant,,8
6,190,3,611,9,5.25,6,4.5,4,4.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Stand,RIGHT,Right,dominant,,9
1,190,1,611,10,5.25,6,4.5,5,4.75,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Table,RIGHT,Right,dominant,,10
3,190,11,611,11,4.5,5.5,4,3.5,3.75,medium,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,high,STRONG,Normal,Hand,RIGHT,Left,non-dominant,,11
11,190,8,611,12,1.75,2,3,3,3,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Table,RIGHT,Left,non-dominant,,12
24,191,9,612,1,4.5,5.5,5.5,4,4.75,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Stand,RIGHT,Left,non-dominant,,13
20,191,5,612,2,4.75,6,4.5,5,4.75,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Hand,RIGHT,Right,dominant,,14
23,191,8,612,3,2.25,2.5,3,2.5,2.75,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Table,RIGHT,Left,non-dominant,,15
15,191,11,612,4,6.5,6,5.5,4,4.75,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Hand,RIGHT,Left,non-dominant,,16
21,191,6,612,5,2.25,3,4.5,3.5,4,low,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,RIGHT,Right,dominant,,17
22,191,7,612,6,6.25,6.5,5,4.5,4.75,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Table,RIGHT,Left,non-dominant,,18
18,191,3,612,7,6.5,6.5,5.5,3.5,4.5,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Stand,RIGHT,Right,dominant,,19
19,191,4,612,8,1.75,2.5,3,2.5,2.75,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,RIGHT,Right,dominant,,20
16,191,12,612,9,2.25,2.5,4,2.5,3.25,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,RIGHT,Left,non-dominant,,21
13,191,1,612,10,6.25,7,5,5,5,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Table,RIGHT,Right,dominant,,22
17,191,2,612,11,2.25,3,4,3.5,3.75,low,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Table,RIGHT,Right,dominant,,23
14,191,10,612,12,2.5,3,4.5,3.5,4,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,RIGHT,Left,non-dominant,,24
31,192,4,613,1,5,5,5,3.5,4.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,TinyIcons,Stand,RIGHT,Right,dominant,,25
32,192,5,613,2,6.5,4.5,5.5,4,4.75,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,Normal,Hand,RIGHT,Right,dominant,,26
25,192,1,613,3,5.5,4.5,4.5,4,4.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,Normal,Table,RIGHT,Right,dominant,,27
28,192,12,613,4,3.75,4,4,3,3.5,medium,STRONG,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,TinyIcons,Hand,RIGHT,Left,non-dominant,,28
