"","VP","age","sex","occupation","graduation","ownsSmartphone","SmartphoneUsageFrequency","SmartphoneType","ownsTablet","TabletUsageFrequency","TabletType","Neuroticism","Extraversion","Openness","Agreeableness","Conscientiousness","user_id"
"3",3,24,"w","Student","Abitur","ja","stuendlich","Samsung","ja","oft","Lenovo",36,25.09090909,39,36,27,100
"4",4,20,"m","Student","Abitur","ja","oft","Huawei","nein","","",8,25,29,32,37,101
"5",5,29,"w","Student","Abitur","ja","stuendlich","Huawei","ja","stuendlich","Amazon Fire",14,24,36,39,29,102
"6",6,28,"w","Student","Abitur","ja","oft","Samsung","nein","","",15,27,43,38,36,103
"7",7,23,"w","Student","Abitur","ja","oft","Samsung","ja","abUndZu","k.A.",33,23,30.54545455,37,27,104
"8",8,31,"w","Fitness Trainer","Hochschulreife","ja","oft","Google Nexus","nein","woechentlich","Google Nexus",31,18,25,27,28,105
"9",9,28,"w","Student","Abitur","ja","oft","Samsung","ja","taeglich","k.A.",26,33,21,35,31,106
"10",10,29,"m","Student","Abitur","ja","oft","Sony","ja","taeglich","Samsung",22,23,32,24,29,107
"11",11,28,"w","Gesundheits- und Krankenpflegerin","Abitur","ja","stuendlich","Sony","ja","taeglich","Microsoft",11,24,27,33,41,108
"12",12,30,"w","Gro¤handelskauffrau","Abitur","ja","taeglich","HTC","ja","oft","Toshiba",31,9,30,26,34,109
"13",13,27,"w","Student","Hochschulreife","ja","oft","Huawei","nein","","",22,26,32,35,24,110
"14",14,33,"m","Student","Abitur","ja","oft","Huawei","ja","abUndZu","Kindle",16,32,31,35,36,111
"15",15,33,"m","Angestellter","Hochschulabschluss","ja","stuendlich","Apple, Huawei","ja","woechentlich","Lenovo",29,31,44,22,23,112
"16",16,28,"w","Student","Abitur","ja","stuendlich","Samsung","ja","stuendlich","Lenovo",8,29,21,32,31,113
"17",17,29,"w","Student","Abitur","ja","stuendlich","XIAOMI","nein","","",19,24,37,39,33,114
"18",18,24,"w","Student","Abitur","ja","","Cubot","nein","","",19,24,27,29,35,115
"19",19,34,"m","Selbststaendig","Abitur","ja","oft","Samsung","ja","stuendlich","Samsung",12,23,25,32,32.72727273,116
"20",20,36,"w","Kinderg_rtnerin","12. Klasse","ja","oft","Samsung","ja","abUndZu","Samsung",13,29,33,34.90909091,33,117
"21",21,25,"w","Student","Allgemeine Hochschulreife","ja","stuendlich","Apple","nein","abUndZu","Samsung",36,26,34,24,33,118
"22",22,31,"w","Medienwissenschaftler","Abitur","ja","oft","Sony","nein","","",12,25,45,33,37,119
"23",23,20,"m","Student","Abitur","ja","oft","Apple","ja","abUndZu","Apple",6,29,27.27272727,27,37,120
"24",24,28,"m","Student","Abitur","ja","stuendlich","Sony","nein","","",20,27,20,27,35,121
"25",25,27,"m","Student","Abitur","ja","oft","Apple","nein","","",18,25,23,30,19,122
"26",26,27,"m","Student","Abitur","ja","oft","XiaoMI","ja","abUndZu","Odys",11,30,32,34,28,123
"27",27,31,"w","Student","Abitur","ja","stuendlich","Samsung","nein","","",13,33,35,36,40,124
"28",28,27,"m","Airport-BaggageHandling","Abitur","ja","stuendlich","Samsung","nein","","",28,27,25,30,25,125
"29",29,25,"m","Student","Abitur","ja","stuendlich","XiAOMI","ja","abUndZu","HP",8,24,28,31,43,126
"30",30,30,"m","Student","Abitur","ja","oft","Apple, Samsung","ja","taeglich","Apple",14,37,19,22,38,127
"31",31,28,"m","Ingenieur","Abitur","ja","stuendlich","Apple","nein","","",15,25,21,27,33,128
"32",32,26,"m","Student","Abitur","ja","stuendlich","Sony","nein","","",11,36,34,35,28,129
"33",33,27,"m","Student","Abitur","ja","oft","Apple","ja","taeglich","Samsung",17,29,39,34,36,130
